SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C67,Malignant neoplasm of bladder,155,Age-standardised,16.7,14.2,19.6
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C67,Malignant neoplasm of bladder,129,Age-standardised,16.7,14,19.9
E38000258,NHS Birmingham and Solihull ICB - 15E,C67,Malignant neoplasm of bladder,179,Age-standardised,17.4,14.9,20.2
E38000259,NHS Black Country ICB - D2P2L,C67,Malignant neoplasm of bladder,221,Age-standardised,20.3,17.7,23.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C67,Malignant neoplasm of bladder,166,Age-standardised,19.4,16.5,22.6
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C67,Malignant neoplasm of bladder,109,Age-standardised,17.1,14,20.6
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C67,Malignant neoplasm of bladder,74,Age-standardised,13.9,10.9,17.4
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C67,Malignant neoplasm of bladder,61,Age-standardised,14.6,11.2,18.8
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C67,Malignant neoplasm of bladder,130,Age-standardised,16,13.3,19
E38000068,NHS Cheshire and Merseyside ICB - 01F,C67,Malignant neoplasm of bladder,27,Age-standardised,23.2,15.3,33.8
E38000091,NHS Cheshire and Merseyside ICB - 01J,C67,Malignant neoplasm of bladder,30,Age-standardised,22,14.8,31.4
E38000161,NHS Cheshire and Merseyside ICB - 01T,C67,Malignant neoplasm of bladder,28,Age-standardised,16.1,10.7,23.3
E38000170,NHS Cheshire and Merseyside ICB - 01V,C67,Malignant neoplasm of bladder,29,Age-standardised,18.4,12.2,26.6
E38000172,NHS Cheshire and Merseyside ICB - 01X,C67,Malignant neoplasm of bladder,34,Age-standardised,18.2,12.6,25.5
E38000194,NHS Cheshire and Merseyside ICB - 02E,C67,Malignant neoplasm of bladder,27,Age-standardised,13.2,8.7,19.2
E38000208,NHS Cheshire and Merseyside ICB - 12F,C67,Malignant neoplasm of bladder,46,Age-standardised,13,9.5,17.3
E38000233,NHS Cheshire and Merseyside ICB - 27D,C67,Malignant neoplasm of bladder,134,Age-standardised,16.5,13.9,19.6
E38000101,NHS Cheshire and Merseyside ICB - 99A,C67,Malignant neoplasm of bladder,69,Age-standardised,18.1,14,22.9
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C67,Malignant neoplasm of bladder,126,Age-standardised,18.1,15.1,21.6
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C67,Malignant neoplasm of bladder,156,Age-standardised,17.8,15.2,20.9
E38000261,NHS Derby and Derbyshire ICB - 15M,C67,Malignant neoplasm of bladder,175,Age-standardised,15.9,13.7,18.5
E38000230,NHS Devon ICB - 15N,C67,Malignant neoplasm of bladder,225,Age-standardised,15.6,13.6,17.8
E38000045,NHS Dorset ICB - 11J,C67,Malignant neoplasm of bladder,158,Age-standardised,16,13.5,18.7
E38000252,NHS Frimley ICB - D4U1Y,C67,Malignant neoplasm of bladder,128,Age-standardised,20.1,16.8,23.9
E38000062,NHS Gloucestershire ICB - 11M,C67,Malignant neoplasm of bladder,95,Age-standardised,13.6,11,16.6
E38000016,NHS Greater Manchester ICB - 00T,C67,Malignant neoplasm of bladder,43,Age-standardised,17.2,12.5,23.2
E38000024,NHS Greater Manchester ICB - 00V,C67,Malignant neoplasm of bladder,40,Age-standardised,22.6,16.1,30.7
E38000135,NHS Greater Manchester ICB - 00Y,C67,Malignant neoplasm of bladder,46,Age-standardised,23.2,17,30.9
E38000080,NHS Greater Manchester ICB - 01D,C67,Malignant neoplasm of bladder,47,Age-standardised,25.4,18.7,33.8
E38000143,NHS Greater Manchester ICB - 01G,C67,Malignant neoplasm of bladder,33,Age-standardised,17.2,11.8,24.1
E38000174,NHS Greater Manchester ICB - 01W,C67,Malignant neoplasm of bladder,49,Age-standardised,16.1,11.9,21.3
