SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C67,Malignant neoplasm of bladder,Age-standardised,16.6,14.1,19.4,161
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C67,Malignant neoplasm of bladder,Age-standardised,15.5,12.9,18.4,126
E38000258,NHS Birmingham and Solihull ICB - 15E,C67,Malignant neoplasm of bladder,Age-standardised,14.1,11.9,16.6,148
E38000259,NHS Black Country ICB - D2P2L,C67,Malignant neoplasm of bladder,Age-standardised,17,14.6,19.6,188
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C67,Malignant neoplasm of bladder,Age-standardised,18.4,15.7,21.5,162
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C67,Malignant neoplasm of bladder,Age-standardised,13.4,10.8,16.5,91
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C67,Malignant neoplasm of bladder,Age-standardised,13.3,10.5,16.7,74
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C67,Malignant neoplasm of bladder,Age-standardised,16.9,13.3,21.2,74
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C67,Malignant neoplasm of bladder,Age-standardised,15.4,12.9,18.3,131
E38000068,NHS Cheshire and Merseyside ICB - 01F,C67,Malignant neoplasm of bladder,Age-standardised,18.4,11.5,27.9,22
E38000091,NHS Cheshire and Merseyside ICB - 01J,C67,Malignant neoplasm of bladder,Age-standardised,21,14,30.2,29
E38000161,NHS Cheshire and Merseyside ICB - 01T,C67,Malignant neoplasm of bladder,Age-standardised,21.1,14.9,29.1,37
E38000170,NHS Cheshire and Merseyside ICB - 01V,C67,Malignant neoplasm of bladder,Age-standardised,19.2,12.9,27.4,31
E38000172,NHS Cheshire and Merseyside ICB - 01X,C67,Malignant neoplasm of bladder,Age-standardised,15.3,10.2,21.9,29
E38000194,NHS Cheshire and Merseyside ICB - 02E,C67,Malignant neoplasm of bladder,Age-standardised,12.9,8.5,18.8,27
E38000208,NHS Cheshire and Merseyside ICB - 12F,C67,Malignant neoplasm of bladder,Age-standardised,16.7,12.8,21.4,61
E38000233,NHS Cheshire and Merseyside ICB - 27D,C67,Malignant neoplasm of bladder,Age-standardised,16.2,13.6,19.1,137
E38000101,NHS Cheshire and Merseyside ICB - 99A,C67,Malignant neoplasm of bladder,Age-standardised,18.7,14.6,23.4,74
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C67,Malignant neoplasm of bladder,Age-standardised,14.4,11.7,17.4,105
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C67,Malignant neoplasm of bladder,Age-standardised,16,13.5,18.8,143
E38000261,NHS Derby and Derbyshire ICB - 15M,C67,Malignant neoplasm of bladder,Age-standardised,17.9,15.5,20.5,202
E38000230,NHS Devon ICB - 15N,C67,Malignant neoplasm of bladder,Age-standardised,14.8,12.9,16.9,221
E38000045,NHS Dorset ICB - 11J,C67,Malignant neoplasm of bladder,Age-standardised,16.5,14.1,19.2,168
E38000252,NHS Frimley ICB - D4U1Y,C67,Malignant neoplasm of bladder,Age-standardised,16,13.1,19.4,105
E38000062,NHS Gloucestershire ICB - 11M,C67,Malignant neoplasm of bladder,Age-standardised,15.9,13.1,19.1,114
E38000016,NHS Greater Manchester ICB - 00T,C67,Malignant neoplasm of bladder,Age-standardised,18.1,13.3,24.1,47
E38000024,NHS Greater Manchester ICB - 00V,C67,Malignant neoplasm of bladder,Age-standardised,13.5,8.8,20,25
E38000135,NHS Greater Manchester ICB - 00Y,C67,Malignant neoplasm of bladder,Age-standardised,19.1,13.5,26.2,38
E38000080,NHS Greater Manchester ICB - 01D,C67,Malignant neoplasm of bladder,Age-standardised,12.9,8.4,19.1,25
E38000143,NHS Greater Manchester ICB - 01G,C67,Malignant neoplasm of bladder,Age-standardised,17.9,12.5,25,35
E38000174,NHS Greater Manchester ICB - 01W,C67,Malignant neoplasm of bladder,Age-standardised,15.2,11.2,20.1,48
E38000263,NHS Greater Manchester ICB - 01Y,C67,Malignant neoplasm of bladder,Age-standardised,17.7,12.4,24.4,37
E38000187,NHS Greater Manchester ICB - 02A,C67,Malignant neoplasm of bladder,Age-standardised,19.4,14.1,26.1,44
E38000205,NHS Greater Manchester ICB - 02H,C67,Malignant neoplasm of bladder,Age-standardised,14.3,10.4,19.1,45
E38000217,NHS Greater Manchester ICB - 14L,C67,Malignant neoplasm of bladder,Age-standardised,17.4,12.8,23,50
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C67,Malignant neoplasm of bladder,Age-standardised,16.4,10.8,23.9,27
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C67,Malignant neoplasm of bladder,Age-standardised,15.9,14.1,17.9,291
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C67,Malignant neoplasm of bladder,Age-standardised,16.1,13.6,18.9,152
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C67,Malignant neoplasm of bladder,Age-standardised,15.4,12.3,19.1,85
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C67,Malignant neoplasm of bladder,Age-standardised,17.4,14.1,21.3,97
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C67,Malignant neoplasm of bladder,Age-standardised,14,10.2,18.9,43
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C67,Malignant neoplasm of bladder,Age-standardised,17.8,14,22.2,77
E38000085,NHS Humber and North Yorkshire ICB - 03F,C67,Malignant neoplasm of bladder,Age-standardised,17,11.8,23.6,35
E38000119,NHS Humber and North Yorkshire ICB - 03H,C67,Malignant neoplasm of bladder,Age-standardised,14.4,9.3,21.2,25
E38000122,NHS Humber and North Yorkshire ICB - 03K,C67,Malignant neoplasm of bladder,Age-standardised,18.5,12.9,25.7,35
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C67,Malignant neoplasm of bladder,Age-standardised,13,9.7,17.1,52
E38000241,NHS Humber and North Yorkshire ICB - 42D,C67,Malignant neoplasm of bladder,Age-standardised,15.3,12.3,18.9,86
E38000237,NHS Kent and Medway ICB - 91Q,C67,Malignant neoplasm of bladder,Age-standardised,20.3,18.4,22.5,389
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C67,Malignant neoplasm of bladder,Age-standardised,,,,9
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C67,Malignant neoplasm of bladder,Age-standardised,23.2,16.2,32.3,35
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C67,Malignant neoplasm of bladder,Age-standardised,13.6,8.8,20.1,25
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C67,Malignant neoplasm of bladder,Age-standardised,17.8,13.8,22.6,68
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C67,Malignant neoplasm of bladder,Age-standardised,17.1,11.7,24.1,32
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C67,Malignant neoplasm of bladder,Age-standardised,14.8,11.3,19.2,59
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C67,Malignant neoplasm of bladder,Age-standardised,17.5,11.1,26.2,23
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C67,Malignant neoplasm of bladder,Age-standardised,15.8,11.5,21.2,45
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C67,Malignant neoplasm of bladder,Age-standardised,16.3,12.6,20.8,65
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C67,Malignant neoplasm of bladder,Age-standardised,11.1,7.2,16.3,26
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C67,Malignant neoplasm of bladder,Age-standardised,15.9,12.3,20.2,66
E38000238,NHS Lincolnshire ICB - 71E,C67,Malignant neoplasm of bladder,Age-standardised,15.7,13.3,18.5,145
E38000106,NHS Mid and South Essex ICB - 06Q,C67,Malignant neoplasm of bladder,Age-standardised,14.4,11.1,18.5,62
E38000185,NHS Mid and South Essex ICB - 07G,C67,Malignant neoplasm of bladder,Age-standardised,15,9,23.5,19
E38000007,NHS Mid and South Essex ICB - 99E,C67,Malignant neoplasm of bladder,Age-standardised,14.8,10.5,20.3,39
E38000030,NHS Mid and South Essex ICB - 99F,C67,Malignant neoplasm of bladder,Age-standardised,21.1,15.6,27.9,49
E38000168,NHS Mid and South Essex ICB - 99G,C67,Malignant neoplasm of bladder,Age-standardised,19.7,13.8,27.2,36
E38000239,NHS Norfolk and Waveney ICB - 26A,C67,Malignant neoplasm of bladder,Age-standardised,16.5,14.4,18.9,219
E38000240,NHS North Central London ICB - 93C,C67,Malignant neoplasm of bladder,Age-standardised,11,9,13.2,114
E38000130,NHS North East and North Cumbria ICB - 00L,C67,Malignant neoplasm of bladder,Age-standardised,16.3,12.7,20.7,68
E38000163,NHS North East and North Cumbria ICB - 00N,C67,Malignant neoplasm of bladder,Age-standardised,16.3,10.7,24,26
E38000176,NHS North East and North Cumbria ICB - 00P,C67,Malignant neoplasm of bladder,Age-standardised,19.8,14.9,25.7,56
E38000215,NHS North East and North Cumbria ICB - 01H,C67,Malignant neoplasm of bladder,Age-standardised,13.2,9.8,17.3,52
E38000212,NHS North East and North Cumbria ICB - 13T,C67,Malignant neoplasm of bladder,Age-standardised,16.9,13.3,21.2,76
E38000247,NHS North East and North Cumbria ICB - 16C,C67,Malignant neoplasm of bladder,Age-standardised,15.8,13,19.1,109
E38000234,NHS North East and North Cumbria ICB - 84H,C67,Malignant neoplasm of bladder,Age-standardised,19.4,15.9,23.3,110
E38000127,NHS North East and North Cumbria ICB - 99C,C67,Malignant neoplasm of bladder,Age-standardised,13.7,9.2,19.5,30
E38000255,NHS North East London ICB - A3A8R,C67,Malignant neoplasm of bladder,Age-standardised,11.7,9.7,13.8,136
E38000256,NHS North West London ICB - W2U3Z,C67,Malignant neoplasm of bladder,Age-standardised,11.8,10.1,13.6,183
E38000262,NHS Northamptonshire ICB - 78H,C67,Malignant neoplasm of bladder,Age-standardised,12.9,10.4,15.8,92
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C67,Malignant neoplasm of bladder,Age-standardised,17,10.8,25.6,23
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C67,Malignant neoplasm of bladder,Age-standardised,16.4,13.9,19.1,160
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C67,Malignant neoplasm of bladder,Age-standardised,16.5,13.3,20.2,95
E38000150,NHS Somerset ICB - 11X,C67,Malignant neoplasm of bladder,Age-standardised,14.1,11.5,17.1,101
E38000244,NHS South East London ICB - 72Q,C67,Malignant neoplasm of bladder,Age-standardised,14.7,12.6,17.1,173
E38000245,NHS South West London ICB - 36L,C67,Malignant neoplasm of bladder,Age-standardised,14.3,12.2,16.8,156
E38000006,NHS South Yorkshire ICB - 02P,C67,Malignant neoplasm of bladder,Age-standardised,20.9,15.6,27.4,52
E38000044,NHS South Yorkshire ICB - 02X,C67,Malignant neoplasm of bladder,Age-standardised,19.8,15.2,25.4,62
E38000141,NHS South Yorkshire ICB - 03L,C67,Malignant neoplasm of bladder,Age-standardised,20.5,15.5,26.7,56
E38000146,NHS South Yorkshire ICB - 03N,C67,Malignant neoplasm of bladder,Age-standardised,16.3,13,20.3,81
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C67,Malignant neoplasm of bladder,Age-standardised,15.4,9.7,23.4,22
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C67,Malignant neoplasm of bladder,Age-standardised,13.4,8,21.2,18
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C67,Malignant neoplasm of bladder,Age-standardised,20.7,15.5,27.1,53
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C67,Malignant neoplasm of bladder,Age-standardised,23.3,17.9,29.9,62
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C67,Malignant neoplasm of bladder,Age-standardised,17.6,12.1,24.8,33
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C67,Malignant neoplasm of bladder,Age-standardised,16.4,11.7,22.4,40
