SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C50,Malignant neoplasm of breast,758,Age-standardised,155,144.1,166.5
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C50,Malignant neoplasm of breast,708,Age-standardised,157.3,145.8,169.3
E38000258,NHS Birmingham and Solihull ICB - 15E,C50,Malignant neoplasm of breast,754,Age-standardised,129.8,120.6,139.4
E38000259,NHS Black Country ICB - D2P2L,C50,Malignant neoplasm of breast,744,Age-standardised,126.9,117.9,136.4
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C50,Malignant neoplasm of breast,687,Age-standardised,148.3,137.3,159.9
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C50,Malignant neoplasm of breast,568,Age-standardised,166,152.5,180.2
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C50,Malignant neoplasm of breast,422,Age-standardised,148.2,134.4,163.2
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C50,Malignant neoplasm of breast,354,Age-standardised,149.8,134.6,166.3
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C50,Malignant neoplasm of breast,713,Age-standardised,164.4,152.5,176.9
E38000068,NHS Cheshire and Merseyside ICB - 01F,C50,Malignant neoplasm of breast,109,Age-standardised,163.2,134,196.9
E38000091,NHS Cheshire and Merseyside ICB - 01J,C50,Malignant neoplasm of breast,107,Age-standardised,133.5,109.3,161.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C50,Malignant neoplasm of breast,142,Age-standardised,159.6,134.3,188.3
E38000170,NHS Cheshire and Merseyside ICB - 01V,C50,Malignant neoplasm of breast,109,Age-standardised,147.5,119.7,179.5
E38000172,NHS Cheshire and Merseyside ICB - 01X,C50,Malignant neoplasm of breast,98,Age-standardised,101.7,82.5,124
E38000194,NHS Cheshire and Merseyside ICB - 02E,C50,Malignant neoplasm of breast,186,Age-standardised,169.2,145.7,195.4
E38000208,NHS Cheshire and Merseyside ICB - 12F,C50,Malignant neoplasm of breast,289,Age-standardised,155.9,138.3,175.1
E38000233,NHS Cheshire and Merseyside ICB - 27D,C50,Malignant neoplasm of breast,642,Age-standardised,155.4,143.5,168.1
E38000101,NHS Cheshire and Merseyside ICB - 99A,C50,Malignant neoplasm of breast,321,Age-standardised,144.6,129.1,161.3
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C50,Malignant neoplasm of breast,472,Age-standardised,137,124.6,150.2
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C50,Malignant neoplasm of breast,664,Age-standardised,142.1,131.5,153.4
E38000261,NHS Derby and Derbyshire ICB - 15M,C50,Malignant neoplasm of breast,822,Age-standardised,142.1,132.5,152.2
E38000230,NHS Devon ICB - 15N,C50,Malignant neoplasm of breast,986,Age-standardised,139.8,131,149
E38000045,NHS Dorset ICB - 11J,C50,Malignant neoplasm of breast,679,Age-standardised,145.2,134.2,156.9
E38000252,NHS Frimley ICB - D4U1Y,C50,Malignant neoplasm of breast,578,Age-standardised,161.6,148.6,175.4
E38000062,NHS Gloucestershire ICB - 11M,C50,Malignant neoplasm of breast,565,Age-standardised,160.3,147.3,174.2
E38000016,NHS Greater Manchester ICB - 00T,C50,Malignant neoplasm of breast,185,Age-standardised,133.1,114.6,153.8
E38000024,NHS Greater Manchester ICB - 00V,C50,Malignant neoplasm of breast,121,Age-standardised,124.5,103.3,148.8
E38000135,NHS Greater Manchester ICB - 00Y,C50,Malignant neoplasm of breast,150,Age-standardised,134.9,114.2,158.4
E38000080,NHS Greater Manchester ICB - 01D,C50,Malignant neoplasm of breast,144,Age-standardised,134.1,113,157.8
E38000143,NHS Greater Manchester ICB - 01G,C50,Malignant neoplasm of breast,131,Age-standardised,119.6,99.9,142.1
