SICBL23CD,SICBL23NM,Age_at_Diagnosis,Geography_code,Geography_name,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",All ages,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C53,Malignant neoplasm of cervix uteri,50,Age-standardised,11.2,8.3,14.8
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",All ages,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C53,Malignant neoplasm of cervix uteri,26,Age-standardised,5.5,3.6,8.1
E38000258,NHS Birmingham and Solihull ICB - 15E,All ages,E38000258,NHS Birmingham and Solihull ICB - 15E,C53,Malignant neoplasm of cervix uteri,57,Age-standardised,8.9,6.7,11.5
E38000259,NHS Black Country ICB - D2P2L,All ages,E38000259,NHS Black Country ICB - D2P2L,C53,Malignant neoplasm of cervix uteri,58,Age-standardised,10,7.6,12.9
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",All ages,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C53,Malignant neoplasm of cervix uteri,53,Age-standardised,11.1,8.3,14.5
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",All ages,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C53,Malignant neoplasm of cervix uteri,31,Age-standardised,9.5,6.5,13.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",All ages,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C53,Malignant neoplasm of cervix uteri,12,Age-standardised,4.3,2.2,7.4
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",All ages,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C53,Malignant neoplasm of cervix uteri,18,Age-standardised,7.5,4.4,11.8
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,All ages,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C53,Malignant neoplasm of cervix uteri,36,Age-standardised,8.4,5.9,11.6
E38000068,NHS Cheshire and Merseyside ICB - 01F,All ages,E38000068,NHS Cheshire and Merseyside ICB - 01F,C53,Malignant neoplasm of cervix uteri,8,Age-standardised,,,
E38000091,NHS Cheshire and Merseyside ICB - 01J,All ages,E38000091,NHS Cheshire and Merseyside ICB - 01J,C53,Malignant neoplasm of cervix uteri,9,Age-standardised,,,
E38000161,NHS Cheshire and Merseyside ICB - 01T,All ages,E38000161,NHS Cheshire and Merseyside ICB - 01T,C53,Malignant neoplasm of cervix uteri,11,Age-standardised,14.2,7,25.5
E38000170,NHS Cheshire and Merseyside ICB - 01V,All ages,E38000170,NHS Cheshire and Merseyside ICB - 01V,C53,Malignant neoplasm of cervix uteri,7,Age-standardised,,,
E38000172,NHS Cheshire and Merseyside ICB - 01X,All ages,E38000172,NHS Cheshire and Merseyside ICB - 01X,C53,Malignant neoplasm of cervix uteri,16,Age-standardised,17.8,10.1,28.9
E38000194,NHS Cheshire and Merseyside ICB - 02E,All ages,E38000194,NHS Cheshire and Merseyside ICB - 02E,C53,Malignant neoplasm of cervix uteri,17,Age-standardised,16.2,9.4,25.9
E38000208,NHS Cheshire and Merseyside ICB - 12F,All ages,E38000208,NHS Cheshire and Merseyside ICB - 12F,C53,Malignant neoplasm of cervix uteri,16,Age-standardised,10.4,5.9,17
E38000233,NHS Cheshire and Merseyside ICB - 27D,All ages,E38000233,NHS Cheshire and Merseyside ICB - 27D,C53,Malignant neoplasm of cervix uteri,57,Age-standardised,16.2,12.3,21.1
E38000101,NHS Cheshire and Merseyside ICB - 99A,All ages,E38000101,NHS Cheshire and Merseyside ICB - 99A,C53,Malignant neoplasm of cervix uteri,23,Age-standardised,9.7,6.1,14.6
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,All ages,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C53,Malignant neoplasm of cervix uteri,38,Age-standardised,13.2,9.2,18.2
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,All ages,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C53,Malignant neoplasm of cervix uteri,42,Age-standardised,9.2,6.7,12.5
E38000261,NHS Derby and Derbyshire ICB - 15M,All ages,E38000261,NHS Derby and Derbyshire ICB - 15M,C53,Malignant neoplasm of cervix uteri,67,Age-standardised,12.7,9.8,16.1
