SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C18-C20,Malignant neoplasm of colon and rectum,670,Age-standardised,65.8,76.7,71.1
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C18-C20,Malignant neoplasm of colon and rectum,540,Age-standardised,61.3,72.7,66.8
E38000258,NHS Birmingham and Solihull ICB - 15E,C18-C20,Malignant neoplasm of colon and rectum,760,Age-standardised,67.6,78.1,72.8
E38000259,NHS Black Country ICB - D2P2L,C18-C20,Malignant neoplasm of colon and rectum,822,Age-standardised,69.9,80.2,74.9
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C18-C20,Malignant neoplasm of colon and rectum,604,Age-standardised,63.8,75,69.2
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C18-C20,Malignant neoplasm of colon and rectum,461,Age-standardised,64.4,77.5,70.7
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C18-C20,Malignant neoplasm of colon and rectum,386,Age-standardised,63.7,78,70.6
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C18-C20,Malignant neoplasm of colon and rectum,318,Age-standardised,65.4,81.7,73.2
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C18-C20,Malignant neoplasm of colon and rectum,551,Age-standardised,60.9,72.1,66.3
E38000068,NHS Cheshire and Merseyside ICB - 01F,C18-C20,Malignant neoplasm of colon and rectum,87,Age-standardised,56.6,87.3,70.7
E38000091,NHS Cheshire and Merseyside ICB - 01J,C18-C20,Malignant neoplasm of colon and rectum,102,Age-standardised,58.9,87.9,72.3
E38000161,NHS Cheshire and Merseyside ICB - 01T,C18-C20,Malignant neoplasm of colon and rectum,110,Age-standardised,51.8,76.1,63.1
E38000170,NHS Cheshire and Merseyside ICB - 01V,C18-C20,Malignant neoplasm of colon and rectum,91,Age-standardised,47.4,72.7,59
E38000172,NHS Cheshire and Merseyside ICB - 01X,C18-C20,Malignant neoplasm of colon and rectum,120,Age-standardised,52.8,76.2,63.7
E38000194,NHS Cheshire and Merseyside ICB - 02E,C18-C20,Malignant neoplasm of colon and rectum,133,Age-standardised,53.9,76.4,64.4
E38000208,NHS Cheshire and Merseyside ICB - 12F,C18-C20,Malignant neoplasm of colon and rectum,259,Age-standardised,64.5,82.6,73.1
E38000233,NHS Cheshire and Merseyside ICB - 27D,C18-C20,Malignant neoplasm of colon and rectum,630,Age-standardised,71.2,83.4,77.1
E38000101,NHS Cheshire and Merseyside ICB - 99A,C18-C20,Malignant neoplasm of colon and rectum,293,Age-standardised,65.7,82.9,73.9
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C18-C20,Malignant neoplasm of colon and rectum,463,Age-standardised,60.9,73.4,66.9
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C18-C20,Malignant neoplasm of colon and rectum,611,Age-standardised,63.8,74.9,69.2
E38000261,NHS Derby and Derbyshire ICB - 15M,C18-C20,Malignant neoplasm of colon and rectum,843,Age-standardised,70.8,81.2,75.9
E38000230,NHS Devon ICB - 15N,C18-C20,Malignant neoplasm of colon and rectum,1003,Age-standardised,65.9,74.8,70.2
E38000045,NHS Dorset ICB - 11J,C18-C20,Malignant neoplasm of colon and rectum,660,Age-standardised,63.4,74.1,68.6
E38000252,NHS Frimley ICB - D4U1Y,C18-C20,Malignant neoplasm of colon and rectum,489,Age-standardised,68.3,81.8,74.8
E38000062,NHS Gloucestershire ICB - 11M,C18-C20,Malignant neoplasm of colon and rectum,488,Age-standardised,64.4,77.1,70.5
E38000016,NHS Greater Manchester ICB - 00T,C18-C20,Malignant neoplasm of colon and rectum,183,Age-standardised,60.8,81.7,70.7
E38000024,NHS Greater Manchester ICB - 00V,C18-C20,Malignant neoplasm of colon and rectum,141,Age-standardised,65.3,91.5,77.6
