SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,67.3,62.2,72.8,643
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.7,58.4,69.4,523
E38000258,NHS Birmingham and Solihull ICB - 15E,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,61.8,57.1,66.7,654
E38000259,NHS Black Country ICB - D2P2L,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.6,59,68.5,699
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,62.2,57,67.6,546
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,65.1,59.1,71.6,432
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,56.6,50.5,63.3,313
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,66.8,59.3,74.8,295
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63,57.7,68.6,530
E38000068,NHS Cheshire and Merseyside ICB - 01F,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,60,47.1,75.2,75
E38000091,NHS Cheshire and Merseyside ICB - 01J,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,68.5,55.6,83.5,99
E38000161,NHS Cheshire and Merseyside ICB - 01T,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,66.6,55,79.8,117
E38000170,NHS Cheshire and Merseyside ICB - 01V,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.6,51.6,77.5,101
E38000172,NHS Cheshire and Merseyside ICB - 01X,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.2,52.4,75.6,120
E38000194,NHS Cheshire and Merseyside ICB - 02E,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.9,53.5,75.6,135
E38000208,NHS Cheshire and Merseyside ICB - 12F,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,66.3,58.1,75.4,238
E38000233,NHS Cheshire and Merseyside ICB - 27D,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,67.1,61.7,73,559
E38000101,NHS Cheshire and Merseyside ICB - 99A,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,56.9,49.7,64.8,229
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,63.8,58,70.1,448
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,65.1,59.9,70.7,580
E38000261,NHS Derby and Derbyshire ICB - 15M,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,64.7,60.1,69.5,730
E38000230,NHS Devon ICB - 15N,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,56.1,52.2,60.1,809
E38000045,NHS Dorset ICB - 11J,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,68,62.9,73.5,661
E38000252,NHS Frimley ICB - D4U1Y,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,69.3,63,76,456
E38000062,NHS Gloucestershire ICB - 11M,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,59.8,54.2,65.8,424
E38000016,NHS Greater Manchester ICB - 00T,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,53.9,45.3,63.5,141
E38000024,NHS Greater Manchester ICB - 00V,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,69.3,57.7,82.4,127
E38000135,NHS Greater Manchester ICB - 00Y,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,66.7,55.9,78.9,135
E38000080,NHS Greater Manchester ICB - 01D,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,61.2,50.7,73.3,119
E38000143,NHS Greater Manchester ICB - 01G,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,65,54.2,77.3,129
E38000174,NHS Greater Manchester ICB - 01W,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,60,51.6,69.3,185
E38000263,NHS Greater Manchester ICB - 01Y,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,71.3,60.4,83.7,151
E38000187,NHS Greater Manchester ICB - 02A,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,67.6,57.2,79.4,150
E38000205,NHS Greater Manchester ICB - 02H,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,53.9,46.2,62.5,176
E38000217,NHS Greater Manchester ICB - 14L,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,65.1,56,75.2,195
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,58.9,47.9,71.8,99
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,65.8,62.1,69.7,1177
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,72.4,67,78.2,669
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,67,60.2,74.3,360
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,64.5,57.9,71.6,353
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,59.8,51.5,69.1,184
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,61.8,54.5,69.9,259
E38000085,NHS Humber and North Yorkshire ICB - 03F,C18-C20,Malignant neoplasm of colon and rectum,Age-standardised,64.9,54.4,76.7,137
