Geography_name,Year,icb23cd,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI,Gender
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,E54000040,Brain,All Brain,91,Age-standardised,18.2,14.7,22.4,Females
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2022,E54000024,Brain,All Brain,80,Age-standardised,17,13.4,21.2,Females
NHS Birmingham and Solihull Integrated Care Board,2022,E54000055,Brain,All Brain,81,Age-standardised,13.2,10.5,16.5,Females
NHS Black Country Integrated Care Board,2022,E54000062,Brain,All Brain,91,Age-standardised,15.2,12.2,18.7,Females
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2022,E54000039,Brain,All Brain,131,Age-standardised,27.9,23.3,33.2,Females
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2022,E54000044,Brain,All Brain,151,Age-standardised,16.9,14.3,19.8,Females
NHS Cambridgeshire and Peterborough Integrated Care Board,2022,E54000056,Brain,All Brain,81,Age-standardised,17.4,13.8,21.6,Females
NHS Cheshire and Merseyside Integrated Care Board,2022,E54000008,Brain,All Brain,207,Age-standardised,15.2,13.2,17.4,Females
NHS Cornwall and the Isles of Scilly Integrated Care Board,2022,E54000036,Brain,All Brain,100,Age-standardised,28.7,23.2,35,Females
NHS Coventry and Warwickshire Integrated Care Board,2022,E54000018,Brain,All Brain,79,Age-standardised,16.1,12.8,20.1,Females
NHS Derby and Derbyshire Integrated Care Board,2022,E54000058,Brain,All Brain,110,Age-standardised,19,15.6,23,Females
NHS Devon Integrated Care Board,2022,E54000037,Brain,All Brain,192,Age-standardised,26.3,22.6,30.4,Females
NHS Dorset Integrated Care Board,2022,E54000041,Brain,All Brain,96,Age-standardised,20.4,16.4,25,Females
NHS Frimley Integrated Care Board,2022,E54000034,Brain,All Brain,53,Age-standardised,14.8,11,19.4,Females
NHS Gloucestershire Integrated Care Board,2022,E54000043,Brain,All Brain,78,Age-standardised,21.4,16.9,26.7,Females
NHS Greater Manchester Integrated Care Board,2022,E54000057,Brain,All Brain,212,Age-standardised,15.5,13.5,17.7,Females
NHS Hampshire and Isle of Wight Integrated Care Board,2022,E54000042,Brain,All Brain,227,Age-standardised,22.7,19.8,25.9,Females
NHS Herefordshire and Worcestershire Integrated Care Board,2022,E54000019,Brain,All Brain,83,Age-standardised,17.8,14.1,22.2,Females
NHS Hertfordshire and West Essex Integrated Care Board,2022,E54000025,Brain,All Brain,96,Age-standardised,12.7,10.3,15.5,Females
NHS Humber and North Yorkshire Integrated Care Board,2022,E54000051,Brain,All Brain,338,Age-standardised,35.6,31.9,39.7,Females
NHS Kent and Medway Integrated Care Board,2022,E54000032,Brain,All Brain,86,Age-standardised,8.5,6.8,10.5,Females
NHS Lancashire and South Cumbria Integrated Care Board,2022,E54000048,Brain,All Brain,110,Age-standardised,12,9.8,14.5,Females
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2022,E54000015,Brain,All Brain,98,Age-standardised,17.6,14.3,21.4,Females
NHS Lincolnshire Integrated Care Board,2022,E54000013,Brain,All Brain,85,Age-standardised,19.4,15.4,24.1,Females
NHS Mid and South Essex Integrated Care Board,2022,E54000026,Brain,All Brain,91,Age-standardised,14.3,11.5,17.6,Females
NHS Norfolk and Waveney Integrated Care Board,2022,E54000022,Brain,All Brain,97,Age-standardised,16.5,13.3,20.2,Females
NHS North Central London Integrated Care Board,2022,E54000028,Brain,All Brain,77,Age-standardised,12.8,10,16,Females
NHS North East and North Cumbria Integrated Care Board,2022,E54000050,Brain,All Brain,318,Age-standardised,19.8,17.7,22.1,Females
NHS North East London Integrated Care Board,2022,E54000029,Brain,All Brain,123,Age-standardised,14.9,12.3,18,Females
NHS North West London Integrated Care Board,2022,E54000027,Brain,All Brain,171,Age-standardised,18.2,15.5,21.2,Females
NHS Northamptonshire Integrated Care Board,2022,E54000059,Brain,All Brain,68,Age-standardised,17.5,13.6,22.2,Females
NHS Nottingham and Nottinghamshire Integrated Care Board,2022,E54000060,Brain,All Brain,109,Age-standardised,18.6,15.2,22.4,Females
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2022,E54000011,Brain,All Brain,67,Age-standardised,22.6,17.5,28.9,Females
NHS Somerset Integrated Care Board,2022,E54000038,Brain,All Brain,83,Age-standardised,25.1,19.8,31.2,Females
NHS South East London Integrated Care Board,2022,E54000030,Brain,All Brain,65,Age-standardised,8.7,6.6,11.1,Females
NHS South West London Integrated Care Board,2022,E54000031,Brain,All Brain,78,Age-standardised,11.6,9.1,14.5,Females
NHS South Yorkshire Integrated Care Board,2022,E54000061,Brain,All Brain,116,Age-standardised,16.9,13.9,20.3,Females
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022,E54000010,Brain,All Brain,89,Age-standardised,14.7,11.8,18.1,Females
NHS Suffolk and North East Essex Integrated Care Board,2022,E54000023,Brain,All Brain,96,Age-standardised,17.5,14.2,21.5,Females
NHS Surrey Heartlands Integrated Care Board,2022,E54000063,Brain,All Brain,64,Age-standardised,11.2,8.6,14.3,Females
NHS Sussex Integrated Care Board,2022,E54000064,Brain,All Brain,150,Age-standardised,15.5,13.1,18.2,Females
NHS West Yorkshire Integrated Care Board,2022,E54000054,Brain,All Brain,520,Age-standardised,44,40.3,47.9,Females
