Geography_name,Year,Count,icb23cd,Detailed_group,Main_group,type_of_rate,Rate,LCI,UCI,Gender
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,936,E54000040,All Breast,Breast,Age-standardised,187,175.1,199.4,Females
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,774,E54000024,All Breast,Breast,Age-standardised,169.9,158.1,182.4,Females
NHS Birmingham and Solihull Integrated Care Board,2021,984,E54000055,All Breast,Breast,Age-standardised,168.2,157.8,179.1,Females
NHS Black Country Integrated Care Board,2021,992,E54000062,All Breast,Breast,Age-standardised,171.1,160.6,182.1,Females
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,810,E54000039,All Breast,Breast,Age-standardised,176.3,164.3,188.9,Females
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,1685,E54000044,All Breast,Breast,Age-standardised,190.5,181.4,199.8,Females
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,785,E54000056,All Breast,Breast,Age-standardised,175.4,163.3,188.1,Females
NHS Cheshire and Merseyside Integrated Care Board,2021,2399,E54000008,All Breast,Breast,Age-standardised,177.7,170.7,185,Females
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,625,E54000036,All Breast,Breast,Age-standardised,179.3,165.2,194.2,Females
NHS Coventry and Warwickshire Integrated Care Board,2021,837,E54000018,All Breast,Breast,Age-standardised,179.8,167.7,192.4,Females
NHS Derby and Derbyshire Integrated Care Board,2021,1010,E54000058,All Breast,Breast,Age-standardised,174.8,164.1,186,Females
NHS Devon Integrated Care Board,2021,1212,E54000037,All Breast,Breast,Age-standardised,167.1,157.6,176.9,Females
NHS Dorset Integrated Care Board,2021,898,E54000041,All Breast,Breast,Age-standardised,192.6,179.9,205.9,Females
NHS Frimley Integrated Care Board,2021,675,E54000034,All Breast,Breast,Age-standardised,186.5,172.6,201.1,Females
NHS Gloucestershire Integrated Care Board,2021,734,E54000043,All Breast,Breast,Age-standardised,206.8,192,222.5,Females
NHS Greater Manchester Integrated Care Board,2021,2075,E54000057,All Breast,Breast,Age-standardised,158.6,151.9,165.6,Females
NHS Hampshire and Isle of Wight Integrated Care Board,2021,1736,E54000042,All Breast,Breast,Age-standardised,175.3,167.1,183.8,Females
NHS Herefordshire and Worcestershire Integrated Care Board,2021,816,E54000019,All Breast,Breast,Age-standardised,178.6,166.4,191.5,Females
NHS Hertfordshire and West Essex Integrated Care Board,2021,1290,E54000025,All Breast,Breast,Age-standardised,171.1,161.9,180.8,Females
NHS Humber and North Yorkshire Integrated Care Board,2021,1716,E54000051,All Breast,Breast,Age-standardised,180.1,171.6,188.9,Females
NHS Kent and Medway Integrated Care Board,2021,1783,E54000032,All Breast,Breast,Age-standardised,182.6,174.1,191.3,Females
NHS Lancashire and South Cumbria Integrated Care Board,2021,1504,E54000048,All Breast,Breast,Age-standardised,162.4,154.3,170.9,Females
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2021,873,E54000015,All Breast,Breast,Age-standardised,159,148.6,169.9,Females
NHS Lincolnshire Integrated Care Board,2021,707,E54000013,All Breast,Breast,Age-standardised,159.5,147.8,171.9,Females
NHS Mid and South Essex Integrated Care Board,2021,1096,E54000026,All Breast,Breast,Age-standardised,174.8,164.6,185.5,Females
NHS Norfolk and Waveney Integrated Care Board,2021,1219,E54000022,All Breast,Breast,Age-standardised,200.9,189.6,212.8,Females
NHS North Central London Integrated Care Board,2021,957,E54000028,All Breast,Breast,Age-standardised,160.1,150,170.8,Females
NHS North East and North Cumbria Integrated Care Board,2021,2838,E54000050,All Breast,Breast,Age-standardised,175.3,168.8,181.9,Females
NHS North East London Integrated Care Board,2021,1160,E54000029,All Breast,Breast,Age-standardised,158.6,149.2,168.3,Females
NHS North West London Integrated Care Board,2021,1432,E54000027,All Breast,Breast,Age-standardised,160.8,152.5,169.5,Females
NHS Northamptonshire Integrated Care Board,2021,632,E54000059,All Breast,Breast,Age-standardised,162.7,150.3,175.9,Females
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,1031,E54000060,All Breast,Breast,Age-standardised,179.7,168.8,191,Females
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,486,E54000011,All Breast,Breast,Age-standardised,165.3,150.8,180.8,Females
NHS Somerset Integrated Care Board,2021,633,E54000038,All Breast,Breast,Age-standardised,186,171.5,201.4,Females
NHS South East London Integrated Care Board,2021,1211,E54000030,All Breast,Breast,Age-standardised,163.4,154.1,173.1,Females
NHS South West London Integrated Care Board,2021,1123,E54000031,All Breast,Breast,Age-standardised,170.3,160.3,180.7,Females
NHS South Yorkshire Integrated Care Board,2021,1209,E54000061,All Breast,Breast,Age-standardised,175.2,165.4,185.4,Females
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,1015,E54000010,All Breast,Breast,Age-standardised,166.4,156.3,177.1,Females
NHS Suffolk and North East Essex Integrated Care Board,2021,947,E54000023,All Breast,Breast,Age-standardised,169.3,158.5,180.6,Females
NHS Surrey Heartlands Integrated Care Board,2021,1080,E54000063,All Breast,Breast,Age-standardised,196.5,184.9,208.7,Females
NHS Sussex Integrated Care Board,2021,1788,E54000064,All Breast,Breast,Age-standardised,182.8,174.3,191.5,Females
NHS West Yorkshire Integrated Care Board,2021,1840,E54000054,All Breast,Breast,Age-standardised,160.7,153.4,168.2,Females
