Geography_name,icb23cd,Gender,Main_group,Detailed_group,type_of_rate,LCI,UCI,Rate,Count,Year
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,Cervix,All Cervix,Age-standardised,8.6,14.9,11.4,54,2021
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,Cervix,All Cervix,Age-standardised,5,10.1,7.3,35,2021
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,Cervix,All Cervix,Age-standardised,8.6,14,11.1,71,2021
NHS Black Country Integrated Care Board,E54000062,Females,Cervix,All Cervix,Age-standardised,7.6,12.9,10,60,2021
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,Cervix,All Cervix,Age-standardised,7,12.7,9.5,48,2021
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,Cervix,All Cervix,Age-standardised,8.6,12.9,10.6,95,2021
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,Cervix,All Cervix,Age-standardised,3.8,8.4,5.8,27,2021
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,Cervix,All Cervix,Age-standardised,8.3,11.9,10,127,2021
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,Cervix,All Cervix,Age-standardised,8.1,17.1,12,31,2021
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,Cervix,All Cervix,Age-standardised,10.3,17.3,13.5,62,2021
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,Cervix,All Cervix,Age-standardised,9.4,15.7,12.3,64,2021
NHS Devon Integrated Care Board,E54000037,Females,Cervix,All Cervix,Age-standardised,6.8,11.8,9,57,2021
NHS Dorset Integrated Care Board,E54000041,Females,Cervix,All Cervix,Age-standardised,7.5,14.4,10.6,40,2021
NHS Frimley Integrated Care Board,E54000034,Females,Cervix,All Cervix,Age-standardised,5.3,11.3,7.9,30,2021
NHS Gloucestershire Integrated Care Board,E54000043,Females,Cervix,All Cervix,Age-standardised,7.7,15.2,11,36,2021
NHS Greater Manchester Integrated Care Board,E54000057,Females,Cervix,All Cervix,Age-standardised,8.4,11.9,10.1,139,2021
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,Cervix,All Cervix,Age-standardised,8.3,12.6,10.3,95,2021
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,Cervix,All Cervix,Age-standardised,4,9.1,6.2,27,2021
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,Cervix,All Cervix,Age-standardised,5.8,9.8,7.6,59,2021
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,Cervix,All Cervix,Age-standardised,8.7,13.3,10.8,92,2021
NHS Kent and Medway Integrated Care Board,E54000032,Females,Cervix,All Cervix,Age-standardised,8.8,13.2,10.8,101,2021
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,Cervix,All Cervix,Age-standardised,8.9,13.5,11,93,2021
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,Cervix,All Cervix,Age-standardised,7.9,13.5,10.4,57,2021
NHS Lincolnshire Integrated Care Board,E54000013,Females,Cervix,All Cervix,Age-standardised,9.6,17.4,13.1,48,2021
NHS Mid and South Essex Integrated Care Board,E54000026,Females,Cervix,All Cervix,Age-standardised,5.5,10,7.5,47,2021
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,Cervix,All Cervix,Age-standardised,6.9,12.5,9.4,49,2021
NHS North Central London Integrated Care Board,E54000028,Females,Cervix,All Cervix,Age-standardised,6.9,11.7,9.1,64,2021
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,Cervix,All Cervix,Age-standardised,9.6,13.1,11.2,168,2021
NHS North East London Integrated Care Board,E54000029,Females,Cervix,All Cervix,Age-standardised,6.4,10.4,8.2,76,2021
NHS North West London Integrated Care Board,E54000027,Females,Cervix,All Cervix,Age-standardised,4.6,7.7,6,64,2021
NHS Northamptonshire Integrated Care Board,E54000059,Females,Cervix,All Cervix,Age-standardised,8.9,16,12.1,48,2021
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,Cervix,All Cervix,Age-standardised,10.1,16.3,12.9,73,2021
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,Cervix,All Cervix,Age-standardised,4.2,11.3,7.1,18,2021
NHS Somerset Integrated Care Board,E54000038,Females,Cervix,All Cervix,Age-standardised,9,17.9,12.9,37,2021
NHS South East London Integrated Care Board,E54000030,Females,Cervix,All Cervix,Age-standardised,7,11,8.9,84,2021
NHS South West London Integrated Care Board,E54000031,Females,Cervix,All Cervix,Age-standardised,7.4,12,9.5,74,2021
NHS South Yorkshire Integrated Care Board,E54000061,Females,Cervix,All Cervix,Age-standardised,8.3,13.3,10.6,73,2021
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,Cervix,All Cervix,Age-standardised,9.6,15.7,12.4,69,2021
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,Cervix,All Cervix,Age-standardised,6.3,11.8,8.8,44,2021
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,Cervix,All Cervix,Age-standardised,6.6,11.9,8.9,48,2021
NHS Sussex Integrated Care Board,E54000064,Females,Cervix,All Cervix,Age-standardised,8.6,13.1,10.7,93,2021
NHS West Yorkshire Integrated Care Board,E54000054,Females,Cervix,All Cervix,Age-standardised,7.3,10.8,9,106,2021
