Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2021,Oesophagus,All Oesophagus,Age-standardised,48,8.9,6.6,11.9,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2021,Oesophagus,All Oesophagus,Age-standardised,33,7.6,5.2,10.7,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2021,Oesophagus,All Oesophagus,Age-standardised,49,8.4,6.2,11.1,E54000055
NHS Black Country Integrated Care Board,E54000062,Females,2021,Oesophagus,All Oesophagus,Age-standardised,66,11.1,8.6,14.2,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2021,Oesophagus,All Oesophagus,Age-standardised,39,8.2,5.8,11.2,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2021,Oesophagus,All Oesophagus,Age-standardised,64,7,5.4,8.9,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2021,Oesophagus,All Oesophagus,Age-standardised,32,7,4.8,9.9,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2021,Oesophagus,All Oesophagus,Age-standardised,147,10.2,8.6,12,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2021,Oesophagus,All Oesophagus,Age-standardised,34,8.5,5.9,11.9,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2021,Oesophagus,All Oesophagus,Age-standardised,57,11.6,8.7,15,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2021,Oesophagus,All Oesophagus,Age-standardised,60,9.8,7.5,12.7,E54000058
NHS Devon Integrated Care Board,E54000037,Females,2021,Oesophagus,All Oesophagus,Age-standardised,75,9.2,7.3,11.6,E54000037
NHS Dorset Integrated Care Board,E54000041,Females,2021,Oesophagus,All Oesophagus,Age-standardised,37,6.7,4.7,9.2,E54000041
NHS Frimley Integrated Care Board,E54000034,Females,2021,Oesophagus,All Oesophagus,Age-standardised,27,7.4,4.9,10.9,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Females,2021,Oesophagus,All Oesophagus,Age-standardised,34,8.8,6.1,12.3,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Females,2021,Oesophagus,All Oesophagus,Age-standardised,149,11.4,9.6,13.4,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2021,Oesophagus,All Oesophagus,Age-standardised,105,9.9,8,11.9,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2021,Oesophagus,All Oesophagus,Age-standardised,41,8.4,6,11.4,E54000019
