Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,2.3,1.2,4
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,11,Age-standardised,2.5,1.2,4.4
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,21,Age-standardised,3.7,2.3,5.7
NHS Black Country Integrated Care Board,E54000062,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,14,Age-standardised,2.4,1.3,4.1
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,13,Age-standardised,2.7,1.4,4.7
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,2.7,1.7,4
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,9,Age-standardised,,,
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,52,Age-standardised,3.6,2.7,4.7
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,13,Age-standardised,3.1,1.6,5.3
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,10,Age-standardised,2,1,3.7
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,2.7,1.6,4.3
NHS Devon Integrated Care Board,E54000037,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,24,Age-standardised,2.8,1.8,4.2
NHS Dorset Integrated Care Board,E54000041,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,18,Age-standardised,3.2,1.9,5.1
NHS Frimley Integrated Care Board,E54000034,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,10,Age-standardised,2.7,1.3,4.9
NHS Gloucestershire Integrated Care Board,E54000043,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,17,Age-standardised,4.4,2.5,7
NHS Greater Manchester Integrated Care Board,E54000057,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,36,Age-standardised,2.7,1.9,3.7
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,2.3,1.4,3.3
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,15,Age-standardised,2.8,1.6,4.7
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,2.1,1.2,3.5
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,42,Age-standardised,3.9,2.8,5.3
NHS Kent and Medway Integrated Care Board,E54000032,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,26,Age-standardised,2.5,1.6,3.7
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,28,Age-standardised,2.8,1.9,4.1
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,2.1,1.1,3.7
NHS Lincolnshire Integrated Care Board,E54000013,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,2.5,1.3,4.4
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,2.2,1.3,3.6
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,21,Age-standardised,2.9,1.8,4.5
NHS North Central London Integrated Care Board,E54000028,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,11,Age-standardised,2.1,1.1,3.8
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,70,Age-standardised,4,3.1,5.1
NHS North East London Integrated Care Board,E54000029,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,14,Age-standardised,2.4,1.3,4.1
NHS North West London Integrated Care Board,E54000027,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,15,Age-standardised,2,1.1,3.3
NHS Northamptonshire Integrated Care Board,E54000059,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,11,Age-standardised,2.8,1.4,4.9
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,15,Age-standardised,2.5,1.4,4.1
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,12,Age-standardised,3.6,1.9,6.4
NHS Somerset Integrated Care Board,E54000038,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,19,Age-standardised,4.8,2.9,7.5
NHS South East London Integrated Care Board,E54000030,Females,2022,Renal pelvis and ureter,All Renal pelvis and ureter,22,Age-standardised,3.4,2.1,5.2
