Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2022,Small intestine,All Small intestine,Age-standardised,2.6,1.4,4.4,13,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2022,Small intestine,All Small intestine,Age-standardised,,,,7,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2022,Small intestine,All Small intestine,Age-standardised,2,1,3.5,11,E54000055
NHS Black Country Integrated Care Board,E54000062,Females,2022,Small intestine,All Small intestine,Age-standardised,3.4,2.1,5.3,20,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2022,Small intestine,All Small intestine,Age-standardised,4.3,2.6,6.8,19,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2022,Small intestine,All Small intestine,Age-standardised,3,1.9,4.3,27,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2022,Small intestine,All Small intestine,Age-standardised,3.4,1.9,5.5,16,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2022,Small intestine,All Small intestine,Age-standardised,3,2.1,4,41,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2022,Small intestine,All Small intestine,Age-standardised,3.2,1.6,5.6,12,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2022,Small intestine,All Small intestine,Age-standardised,3.5,2,5.6,16,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.7,4.6,17,E54000058
NHS Devon Integrated Care Board,E54000037,Females,2022,Small intestine,All Small intestine,Age-standardised,3.1,2,4.7,24,E54000037
NHS Dorset Integrated Care Board,E54000041,Females,2022,Small intestine,All Small intestine,Age-standardised,3.6,2.1,5.7,18,E54000041
NHS Frimley Integrated Care Board,E54000034,Females,2022,Small intestine,All Small intestine,Age-standardised,,,,9,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Females,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.4,5.2,11,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Females,2022,Small intestine,All Small intestine,Age-standardised,3.4,2.5,4.6,45,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2022,Small intestine,All Small intestine,Age-standardised,3,2.1,4.3,32,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2022,Small intestine,All Small intestine,Age-standardised,2.7,1.4,4.6,13,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2022,Small intestine,All Small intestine,Age-standardised,1.7,0.9,3,13,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2022,Small intestine,All Small intestine,Age-standardised,3.4,2.3,4.7,34,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Females,2022,Small intestine,All Small intestine,Age-standardised,2.5,1.6,3.7,26,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2022,Small intestine,All Small intestine,Age-standardised,2.8,1.8,4,28,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2022,Small intestine,All Small intestine,Age-standardised,2.1,1.1,3.8,12,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Females,2022,Small intestine,All Small intestine,Age-standardised,3,1.6,5.1,14,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2022,Small intestine,All Small intestine,Age-standardised,2.4,1.3,3.9,15,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2022,Small intestine,All Small intestine,Age-standardised,2.7,1.6,4.3,19,E54000022
NHS North Central London Integrated Care Board,E54000028,Females,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.7,4.6,17,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2022,Small intestine,All Small intestine,Age-standardised,3.5,2.6,4.5,59,E54000050
NHS North East London Integrated Care Board,E54000029,Females,2022,Small intestine,All Small intestine,Age-standardised,3.5,2.2,5.2,24,E54000029
NHS North West London Integrated Care Board,E54000027,Females,2022,Small intestine,All Small intestine,Age-standardised,3.8,2.6,5.3,33,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Females,2022,Small intestine,All Small intestine,Age-standardised,2.8,1.4,5,11,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2022,Small intestine,All Small intestine,Age-standardised,2.4,1.4,4,15,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2022,Small intestine,All Small intestine,Age-standardised,4.3,2.3,7.5,13,E54000011
NHS Somerset Integrated Care Board,E54000038,Females,2022,Small intestine,All Small intestine,Age-standardised,,,,6,E54000038
NHS South East London Integrated Care Board,E54000030,Females,2022,Small intestine,All Small intestine,Age-standardised,2.2,1.3,3.6,17,E54000030
NHS South West London Integrated Care Board,E54000031,Females,2022,Small intestine,All Small intestine,Age-standardised,2.5,1.4,4.1,16,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Females,2022,Small intestine,All Small intestine,Age-standardised,2.5,1.5,4,18,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2022,Small intestine,All Small intestine,Age-standardised,2.3,1.3,3.8,15,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2022,Small intestine,All Small intestine,Age-standardised,2.1,1.1,3.6,13,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2022,Small intestine,All Small intestine,Age-standardised,3.9,2.4,5.9,21,E54000063
NHS Sussex Integrated Care Board,E54000064,Females,2022,Small intestine,All Small intestine,Age-standardised,2.1,1.3,3.2,22,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Females,2022,Small intestine,All Small intestine,Age-standardised,3.2,2.2,4.4,37,E54000054
