Geography_name,icb23cd,Main_group,Detailed_group,Gender,Year,Count,type_of_rate,Rate,UCI,LCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Stomach,All Stomach,Females,2021,19,Age-standardised,3.6,5.6,2.2
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Stomach,All Stomach,Females,2021,29,Age-standardised,6.4,9.2,4.3
NHS Birmingham and Solihull Integrated Care Board,E54000055,Stomach,All Stomach,Females,2021,50,Age-standardised,8.2,10.8,6.1
NHS Black Country Integrated Care Board,E54000062,Stomach,All Stomach,Females,2021,52,Age-standardised,8.5,11.2,6.4
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Stomach,All Stomach,Females,2021,22,Age-standardised,4.6,7,2.9
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Stomach,All Stomach,Females,2021,38,Age-standardised,4,5.6,2.9
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Stomach,All Stomach,Females,2021,18,Age-standardised,4,6.3,2.4
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Stomach,All Stomach,Females,2021,83,Age-standardised,5.7,7.1,4.5
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Stomach,All Stomach,Females,2021,18,Age-standardised,5.1,8.1,3
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Stomach,All Stomach,Females,2021,25,Age-standardised,5.2,7.6,3.3
NHS Derby and Derbyshire Integrated Care Board,E54000058,Stomach,All Stomach,Females,2021,43,Age-standardised,7.1,9.6,5.1
NHS Devon Integrated Care Board,E54000037,Stomach,All Stomach,Females,2021,34,Age-standardised,4.2,6,2.9
NHS Dorset Integrated Care Board,E54000041,Stomach,All Stomach,Females,2021,25,Age-standardised,4.7,7,3
NHS Frimley Integrated Care Board,E54000034,Stomach,All Stomach,Females,2021,22,Age-standardised,6.3,9.5,3.9
NHS Gloucestershire Integrated Care Board,E54000043,Stomach,All Stomach,Females,2021,18,Age-standardised,4.5,7.1,2.7
NHS Greater Manchester Integrated Care Board,E54000057,Stomach,All Stomach,Females,2021,85,Age-standardised,6.5,8,5.2
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Stomach,All Stomach,Females,2021,60,Age-standardised,5.7,7.3,4.3
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Stomach,All Stomach,Females,2021,20,Age-standardised,4,6.2,2.4
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Stomach,All Stomach,Females,2021,55,Age-standardised,7.2,9.3,5.4
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Stomach,All Stomach,Females,2021,67,Age-standardised,6.4,8.1,4.9
NHS Kent and Medway Integrated Care Board,E54000032,Stomach,All Stomach,Females,2021,36,Age-standardised,3.5,4.8,2.4
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Stomach,All Stomach,Females,2021,53,Age-standardised,5.5,7.2,4.1
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Stomach,All Stomach,Females,2021,27,Age-standardised,4.7,6.8,3.1
NHS Lincolnshire Integrated Care Board,E54000013,Stomach,All Stomach,Females,2021,28,Age-standardised,6.2,8.9,4.1
NHS Mid and South Essex Integrated Care Board,E54000026,Stomach,All Stomach,Females,2021,36,Age-standardised,5.6,7.7,3.9
NHS Norfolk and Waveney Integrated Care Board,E54000022,Stomach,All Stomach,Females,2021,36,Age-standardised,5.3,7.4,3.7
NHS North Central London Integrated Care Board,E54000028,Stomach,All Stomach,Females,2021,49,Age-standardised,8.7,11.5,6.4
NHS North East and North Cumbria Integrated Care Board,E54000050,Stomach,All Stomach,Females,2021,114,Age-standardised,6.7,8,5.5
NHS North East London Integrated Care Board,E54000029,Stomach,All Stomach,Females,2021,45,Age-standardised,7.2,9.7,5.2
NHS North West London Integrated Care Board,E54000027,Stomach,All Stomach,Females,2021,63,Age-standardised,7.6,9.8,5.8
NHS Northamptonshire Integrated Care Board,E54000059,Stomach,All Stomach,Females,2021,24,Age-standardised,6.2,9.3,4
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Stomach,All Stomach,Females,2021,31,Age-standardised,5.4,7.7,3.7
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Stomach,All Stomach,Females,2021,20,Age-standardised,6.3,9.7,3.8
NHS Somerset Integrated Care Board,E54000038,Stomach,All Stomach,Females,2021,13,Age-standardised,3.1,5.3,1.6
NHS South East London Integrated Care Board,E54000030,Stomach,All Stomach,Females,2021,51,Age-standardised,6.9,9.1,5.1
NHS South West London Integrated Care Board,E54000031,Stomach,All Stomach,Females,2021,43,Age-standardised,6.9,9.3,5
NHS South Yorkshire Integrated Care Board,E54000061,Stomach,All Stomach,Females,2021,45,Age-standardised,6.3,8.4,4.6
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Stomach,All Stomach,Females,2021,41,Age-standardised,6.3,8.5,4.5
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Stomach,All Stomach,Females,2021,30,Age-standardised,4.8,6.9,3.2
NHS Surrey Heartlands Integrated Care Board,E54000063,Stomach,All Stomach,Females,2021,25,Age-standardised,4.3,6.4,2.8
NHS Sussex Integrated Care Board,E54000064,Stomach,All Stomach,Females,2021,45,Age-standardised,4.2,5.6,3
NHS West Yorkshire Integrated Care Board,E54000054,Stomach,All Stomach,Females,2021,65,Age-standardised,5.7,7.3,4.4
