icb23cd,Geography_code,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,Year
E54000008,NHS Cheshire and Merseyside Integrated Care Board,Uterus,All Uterus,Age-standardised,29.9,27.1,32.9,412,2021
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Uterus,All Uterus,Age-standardised,29.4,25.3,33.9,187,2021
E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Uterus,All Uterus,Age-standardised,29.8,23.9,36.8,89,2021
E54000013,NHS Lincolnshire Integrated Care Board,Uterus,All Uterus,Age-standardised,32.3,27.3,38,148,2021
E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Uterus,All Uterus,Age-standardised,33.4,28.8,38.6,185,2021
E54000018,NHS Coventry and Warwickshire Integrated Care Board,Uterus,All Uterus,Age-standardised,35.3,30,41.1,164,2021
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Uterus,All Uterus,Age-standardised,31.7,26.9,37.2,153,2021
E54000022,NHS Norfolk and Waveney Integrated Care Board,Uterus,All Uterus,Age-standardised,32.1,27.8,36.9,204,2021
E54000023,NHS Suffolk and North East Essex Integrated Care Board,Uterus,All Uterus,Age-standardised,30.3,25.9,35.2,173,2021
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Uterus,All Uterus,Age-standardised,32.4,27.3,38.2,143,2021
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Uterus,All Uterus,Age-standardised,31.5,27.6,35.9,233,2021
E54000026,NHS Mid and South Essex Integrated Care Board,Uterus,All Uterus,Age-standardised,26.5,22.6,30.8,167,2021
E54000027,NHS North West London Integrated Care Board,Uterus,All Uterus,Age-standardised,30.9,27.2,34.8,268,2021
E54000028,NHS North Central London Integrated Care Board,Uterus,All Uterus,Age-standardised,29.1,24.9,33.9,170,2021
E54000029,NHS North East London Integrated Care Board,Uterus,All Uterus,Age-standardised,35.4,31,40.3,242,2021
E54000030,NHS South East London Integrated Care Board,Uterus,All Uterus,Age-standardised,30.5,26.4,35,212,2021
E54000031,NHS South West London Integrated Care Board,Uterus,All Uterus,Age-standardised,32,27.7,36.8,201,2021
E54000032,NHS Kent and Medway Integrated Care Board,Uterus,All Uterus,Age-standardised,27,23.8,30.4,268,2021
E54000034,NHS Frimley Integrated Care Board,Uterus,All Uterus,Age-standardised,27.1,21.9,33.1,96,2021
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Uterus,All Uterus,Age-standardised,28.8,23.5,35,105,2021
E54000037,NHS Devon Integrated Care Board,Uterus,All Uterus,Age-standardised,26.7,23.1,30.7,204,2021
E54000038,NHS Somerset Integrated Care Board,Uterus,All Uterus,Age-standardised,32.4,26.6,39,114,2021
E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Uterus,All Uterus,Age-standardised,28,23.4,33.3,130,2021
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Uterus,All Uterus,Age-standardised,29.7,25.1,34.8,152,2021
E54000041,NHS Dorset Integrated Care Board,Uterus,All Uterus,Age-standardised,24.3,20,29.1,120,2021
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Uterus,All Uterus,Age-standardised,27.6,24.4,31,281,2021
E54000043,NHS Gloucestershire Integrated Care Board,Uterus,All Uterus,Age-standardised,35.5,29.7,42.2,133,2021
E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Uterus,All Uterus,Age-standardised,25.5,22.3,29.1,224,2021
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Uterus,All Uterus,Age-standardised,30.5,27.1,34.3,288,2021
E54000050,NHS North East and North Cumbria Integrated Care Board,Uterus,All Uterus,Age-standardised,27.5,25.1,30.2,458,2021
E54000051,NHS Humber and North Yorkshire Integrated Care Board,Uterus,All Uterus,Age-standardised,28.9,25.6,32.4,289,2021
E54000054,NHS West Yorkshire Integrated Care Board,Uterus,All Uterus,Age-standardised,29.5,26.5,32.9,338,2021
E54000055,NHS Birmingham and Solihull Integrated Care Board,Uterus,All Uterus,Age-standardised,34.5,29.8,39.8,194,2021
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Uterus,All Uterus,Age-standardised,35.7,30.4,41.8,159,2021
E54000057,NHS Greater Manchester Integrated Care Board,Uterus,All Uterus,Age-standardised,29.9,27,33,389,2021
E54000058,NHS Derby and Derbyshire Integrated Care Board,Uterus,All Uterus,Age-standardised,29.4,25.2,34.2,175,2021
E54000059,NHS Northamptonshire Integrated Care Board,Uterus,All Uterus,Age-standardised,30.5,25.2,36.6,117,2021
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Uterus,All Uterus,Age-standardised,32.7,28.2,37.7,190,2021
E54000061,NHS South Yorkshire Integrated Care Board,Uterus,All Uterus,Age-standardised,28.2,24.4,32.4,196,2021
E54000062,NHS Black Country Integrated Care Board,Uterus,All Uterus,Age-standardised,31.4,27.1,36.3,185,2021
E54000063,NHS Surrey Heartlands Integrated Care Board,Uterus,All Uterus,Age-standardised,26,21.9,30.6,147,2021
E54000064,NHS Sussex Integrated Care Board,Uterus,All Uterus,Age-standardised,31.8,28.4,35.5,318,2021
