Geography_name,ICB23NM,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],2
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],2
NHS Birmingham and Solihull Integrated Care Board,E54000055,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],2
NHS Black Country Integrated Care Board,E54000062,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],4
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Females,2022,Vagina,All Vagina,Age-standardised,0.8,0.4,1.4,11
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],6
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
NHS Derby and Derbyshire Integrated Care Board,E54000058,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Devon Integrated Care Board,E54000037,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Dorset Integrated Care Board,E54000041,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Frimley Integrated Care Board,E54000034,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],6
NHS Gloucestershire Integrated Care Board,E54000043,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
NHS Greater Manchester Integrated Care Board,E54000057,Females,2022,Vagina,All Vagina,Age-standardised,1.2,0.7,2,16
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],6
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],6
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2022,Vagina,All Vagina,Age-standardised,0.9,0.4,1.7,10
NHS Kent and Medway Integrated Care Board,E54000032,Females,2022,Vagina,All Vagina,Age-standardised,1.2,0.7,2.1,13
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Lincolnshire Integrated Care Board,E54000013,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],7
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2022,Vagina,All Vagina,Age-standardised,1.7,0.8,3.1,11
NHS North Central London Integrated Care Board,E54000028,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],7
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2022,Vagina,All Vagina,Age-standardised,1.4,0.9,2.1,23
NHS North East London Integrated Care Board,E54000029,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
NHS North West London Integrated Care Board,E54000027,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Northamptonshire Integrated Care Board,E54000059,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],5
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],4
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],2
NHS Somerset Integrated Care Board,E54000038,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],1
NHS South East London Integrated Care Board,E54000030,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],4
NHS South West London Integrated Care Board,E54000031,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],6
NHS South Yorkshire Integrated Care Board,E54000061,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],9
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],2
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],3
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],7
NHS Sussex Integrated Care Board,E54000064,Females,2022,Vagina,All Vagina,Age-standardised,[u],[u],[u],4
NHS West Yorkshire Integrated Care Board,E54000054,Females,2022,Vagina,All Vagina,Age-standardised,0.9,0.4,1.6,10
