SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C23,Malignant neoplasm of gallbladder,11,Age-standardised,1.2,0.6,2.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C23,Malignant neoplasm of gallbladder,15,Age-standardised,1.9,1.1,3.2
E38000258,NHS Birmingham and Solihull ICB - 15E,C23,Malignant neoplasm of gallbladder,24,Age-standardised,2.3,1.5,3.5
E38000259,NHS Black Country ICB - D2P2L,C23,Malignant neoplasm of gallbladder,13,Age-standardised,1.2,0.6,2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C23,Malignant neoplasm of gallbladder,11,Age-standardised,1.3,0.6,2.3
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C23,Malignant neoplasm of gallbladder,11,Age-standardised,1.7,0.9,3.1
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C23,Malignant neoplasm of gallbladder,8,Age-standardised,,,
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C23,Malignant neoplasm of gallbladder,4,Age-standardised,,,
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C23,Malignant neoplasm of gallbladder,16,Age-standardised,2,1.1,3.2
E38000068,NHS Cheshire and Merseyside ICB - 01F,C23,Malignant neoplasm of gallbladder,1,Age-standardised,,,
E38000091,NHS Cheshire and Merseyside ICB - 01J,C23,Malignant neoplasm of gallbladder,2,Age-standardised,,,
E38000161,NHS Cheshire and Merseyside ICB - 01T,C23,Malignant neoplasm of gallbladder,0,Age-standardised,,,
E38000170,NHS Cheshire and Merseyside ICB - 01V,C23,Malignant neoplasm of gallbladder,2,Age-standardised,,,
E38000172,NHS Cheshire and Merseyside ICB - 01X,C23,Malignant neoplasm of gallbladder,0,Age-standardised,,,
E38000194,NHS Cheshire and Merseyside ICB - 02E,C23,Malignant neoplasm of gallbladder,5,Age-standardised,,,
E38000208,NHS Cheshire and Merseyside ICB - 12F,C23,Malignant neoplasm of gallbladder,6,Age-standardised,,,
E38000233,NHS Cheshire and Merseyside ICB - 27D,C23,Malignant neoplasm of gallbladder,20,Age-standardised,2.5,1.5,3.8
E38000101,NHS Cheshire and Merseyside ICB - 99A,C23,Malignant neoplasm of gallbladder,6,Age-standardised,,,
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C23,Malignant neoplasm of gallbladder,16,Age-standardised,2.3,1.3,3.7
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C23,Malignant neoplasm of gallbladder,13,Age-standardised,1.5,0.8,2.6
E38000261,NHS Derby and Derbyshire ICB - 15M,C23,Malignant neoplasm of gallbladder,22,Age-standardised,2,1.3,3
E38000230,NHS Devon ICB - 15N,C23,Malignant neoplasm of gallbladder,21,Age-standardised,1.4,0.9,2.2
E38000045,NHS Dorset ICB - 11J,C23,Malignant neoplasm of gallbladder,14,Age-standardised,1.4,0.7,2.3
E38000252,NHS Frimley ICB - D4U1Y,C23,Malignant neoplasm of gallbladder,2,Age-standardised,,,
E38000062,NHS Gloucestershire ICB - 11M,C23,Malignant neoplasm of gallbladder,7,Age-standardised,,,
E38000016,NHS Greater Manchester ICB - 00T,C23,Malignant neoplasm of gallbladder,10,Age-standardised,4,1.9,7.3
E38000024,NHS Greater Manchester ICB - 00V,C23,Malignant neoplasm of gallbladder,2,Age-standardised,,,
E38000135,NHS Greater Manchester ICB - 00Y,C23,Malignant neoplasm of gallbladder,4,Age-standardised,,,
E38000080,NHS Greater Manchester ICB - 01D,C23,Malignant neoplasm of gallbladder,3,Age-standardised,,,
E38000143,NHS Greater Manchester ICB - 01G,C23,Malignant neoplasm of gallbladder,2,Age-standardised,,,
E38000174,NHS Greater Manchester ICB - 01W,C23,Malignant neoplasm of gallbladder,6,Age-standardised,,,
