SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C64,"Malignant neoplasm of kidney, except renal pelvis",146,Age-standardised,16,13.5,18.8
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C64,"Malignant neoplasm of kidney, except renal pelvis",135,Age-standardised,16.8,14.1,19.9
E38000258,NHS Birmingham and Solihull ICB - 15E,C64,"Malignant neoplasm of kidney, except renal pelvis",159,Age-standardised,14.9,12.7,17.5
E38000259,NHS Black Country ICB - D2P2L,C64,"Malignant neoplasm of kidney, except renal pelvis",200,Age-standardised,18.5,16,21.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C64,"Malignant neoplasm of kidney, except renal pelvis",169,Age-standardised,20,17.1,23.3
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C64,"Malignant neoplasm of kidney, except renal pelvis",128,Age-standardised,20.2,16.9,24.1
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C64,"Malignant neoplasm of kidney, except renal pelvis",95,Age-standardised,18,14.5,22
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C64,"Malignant neoplasm of kidney, except renal pelvis",65,Age-standardised,15.2,11.7,19.4
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C64,"Malignant neoplasm of kidney, except renal pelvis",132,Age-standardised,16.3,13.6,19.3
E38000068,NHS Cheshire and Merseyside ICB - 01F,C64,"Malignant neoplasm of kidney, except renal pelvis",28,Age-standardised,22.6,15,32.8
E38000091,NHS Cheshire and Merseyside ICB - 01J,C64,"Malignant neoplasm of kidney, except renal pelvis",29,Age-standardised,20.4,13.6,29.4
E38000161,NHS Cheshire and Merseyside ICB - 01T,C64,"Malignant neoplasm of kidney, except renal pelvis",48,Age-standardised,28.2,20.7,37.4
E38000170,NHS Cheshire and Merseyside ICB - 01V,C64,"Malignant neoplasm of kidney, except renal pelvis",36,Age-standardised,24.7,17.1,34.3
E38000172,NHS Cheshire and Merseyside ICB - 01X,C64,"Malignant neoplasm of kidney, except renal pelvis",37,Age-standardised,20,14.1,27.6
E38000194,NHS Cheshire and Merseyside ICB - 02E,C64,"Malignant neoplasm of kidney, except renal pelvis",57,Age-standardised,27.7,20.9,35.9
E38000208,NHS Cheshire and Merseyside ICB - 12F,C64,"Malignant neoplasm of kidney, except renal pelvis",74,Age-standardised,21.3,16.7,26.7
E38000233,NHS Cheshire and Merseyside ICB - 27D,C64,"Malignant neoplasm of kidney, except renal pelvis",153,Age-standardised,19.5,16.5,22.9
E38000101,NHS Cheshire and Merseyside ICB - 99A,C64,"Malignant neoplasm of kidney, except renal pelvis",56,Age-standardised,13.6,10.3,17.7
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C64,"Malignant neoplasm of kidney, except renal pelvis",165,Age-standardised,24.4,20.8,28.5
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C64,"Malignant neoplasm of kidney, except renal pelvis",152,Age-standardised,17.5,14.9,20.6
E38000261,NHS Derby and Derbyshire ICB - 15M,C64,"Malignant neoplasm of kidney, except renal pelvis",163,Age-standardised,15.1,12.9,17.6
