SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C64,"Malignant neoplasm of kidney, except renal pelvis",168,Age-standardised,15.4,21,18.1
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C64,"Malignant neoplasm of kidney, except renal pelvis",149,Age-standardised,15.4,21.5,18.3
E38000258,NHS Birmingham and Solihull ICB - 15E,C64,"Malignant neoplasm of kidney, except renal pelvis",182,Age-standardised,14.7,19.8,17.1
E38000259,NHS Black Country ICB - D2P2L,C64,"Malignant neoplasm of kidney, except renal pelvis",232,Age-standardised,18.7,24.3,21.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C64,"Malignant neoplasm of kidney, except renal pelvis",169,Age-standardised,16.8,22.9,19.6
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C64,"Malignant neoplasm of kidney, except renal pelvis",110,Age-standardised,13.9,20.4,16.9
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C64,"Malignant neoplasm of kidney, except renal pelvis",93,Age-standardised,13.8,21,17.1
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C64,"Malignant neoplasm of kidney, except renal pelvis",68,Age-standardised,11.9,19.4,15.3
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C64,"Malignant neoplasm of kidney, except renal pelvis",175,Age-standardised,18.2,24.6,21.2
E38000068,NHS Cheshire and Merseyside ICB - 01F,C64,"Malignant neoplasm of kidney, except renal pelvis",27,Age-standardised,14.2,31.5,21.6
E38000091,NHS Cheshire and Merseyside ICB - 01J,C64,"Malignant neoplasm of kidney, except renal pelvis",28,Age-standardised,12.6,27.5,19
E38000161,NHS Cheshire and Merseyside ICB - 01T,C64,"Malignant neoplasm of kidney, except renal pelvis",36,Age-standardised,14.9,29.6,21.4
E38000170,NHS Cheshire and Merseyside ICB - 01V,C64,"Malignant neoplasm of kidney, except renal pelvis",31,Age-standardised,13.4,28.5,19.9
E38000172,NHS Cheshire and Merseyside ICB - 01X,C64,"Malignant neoplasm of kidney, except renal pelvis",45,Age-standardised,17.4,31.8,23.8
E38000194,NHS Cheshire and Merseyside ICB - 02E,C64,"Malignant neoplasm of kidney, except renal pelvis",58,Age-standardised,21.2,36.1,27.9
E38000208,NHS Cheshire and Merseyside ICB - 12F,C64,"Malignant neoplasm of kidney, except renal pelvis",66,Age-standardised,14.5,24,18.8
E38000233,NHS Cheshire and Merseyside ICB - 27D,C64,"Malignant neoplasm of kidney, except renal pelvis",153,Age-standardised,16.3,22.5,19.2
E38000101,NHS Cheshire and Merseyside ICB - 99A,C64,"Malignant neoplasm of kidney, except renal pelvis",99,Age-standardised,19.4,29.2,23.9
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C64,"Malignant neoplasm of kidney, except renal pelvis",152,Age-standardised,18.7,26,22.1
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C64,"Malignant neoplasm of kidney, except renal pelvis",163,Age-standardised,15.8,21.7,18.6
E38000261,NHS Derby and Derbyshire ICB - 15M,C64,"Malignant neoplasm of kidney, except renal pelvis",206,Age-standardised,16.2,21.4,18.7
E38000230,NHS Devon ICB - 15N,C64,"Malignant neoplasm of kidney, except renal pelvis",283,Age-standardised,18,22.9,20.4
E38000045,NHS Dorset ICB - 11J,C64,"Malignant neoplasm of kidney, except renal pelvis",206,Age-standardised,19,25.2,21.9
E38000252,NHS Frimley ICB - D4U1Y,C64,"Malignant neoplasm of kidney, except renal pelvis",151,Age-standardised,19.7,27.3,23.3
E38000062,NHS Gloucestershire ICB - 11M,C64,"Malignant neoplasm of kidney, except renal pelvis",106,Age-standardised,12.6,18.7,15.4
E38000016,NHS Greater Manchester ICB - 00T,C64,"Malignant neoplasm of kidney, except renal pelvis",43,Age-standardised,11.8,22,16.3
E38000024,NHS Greater Manchester ICB - 00V,C64,"Malignant neoplasm of kidney, except renal pelvis",39,Age-standardised,15.2,29.3,21.4
