SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.7,14.2,19.5,160
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.3,10.9,16,111
E38000258,NHS Birmingham and Solihull ICB - 15E,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.3,14,19,172
E38000259,NHS Black Country ICB - D2P2L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.3,11.3,15.7,146
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.2,18.2,24.5,185
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.1,13.2,19.5,106
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16,12.8,19.7,88
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.3,10.1,17.1,60
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.9,16,22,159
E38000068,NHS Cheshire and Merseyside ICB - 01F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.1,13.9,30.8,27
E38000091,NHS Cheshire and Merseyside ICB - 01J,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.3,13.7,29,30
E38000161,NHS Cheshire and Merseyside ICB - 01T,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.8,10.5,22.8,28
E38000170,NHS Cheshire and Merseyside ICB - 01V,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.1,11.8,26.6,27
E38000172,NHS Cheshire and Merseyside ICB - 01X,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.6,13.8,27.1,37
E38000194,NHS Cheshire and Merseyside ICB - 02E,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.6,13.2,25.5,39
E38000208,NHS Cheshire and Merseyside ICB - 12F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.6,12.6,21.5,59
E38000233,NHS Cheshire and Merseyside ICB - 27D,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.7,15.8,21.9,153
E38000101,NHS Cheshire and Merseyside ICB - 99A,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.6,12.9,21.1,68
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.4,17.1,24.1,141
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.7,12.3,17.5,130
E38000261,NHS Derby and Derbyshire ICB - 15M,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.1,12,16.5,159
E38000230,NHS Devon ICB - 15N,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.6,12.6,16.7,206
E38000045,NHS Dorset ICB - 11J,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.3,18.4,24.5,200
E38000252,NHS Frimley ICB - D4U1Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,23.1,19.5,27,153
E38000062,NHS Gloucestershire ICB - 11M,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12.5,10,15.4,87
E38000016,NHS Greater Manchester ICB - 00T,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.9,13.2,23.7,48
E38000024,NHS Greater Manchester ICB - 00V,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.6,11.3,23.6,31
E38000135,NHS Greater Manchester ICB - 00Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.2,12.9,25,38
E38000080,NHS Greater Manchester ICB - 01D,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.7,15.8,29.2,44
E38000143,NHS Greater Manchester ICB - 01G,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.2,12.8,25.1,37
E38000174,NHS Greater Manchester ICB - 01W,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,22,17,28,66
E38000263,NHS Greater Manchester ICB - 01Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.2,10.5,21.4,33
E38000187,NHS Greater Manchester ICB - 02A,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,11.5,7.5,16.9,26
E38000205,NHS Greater Manchester ICB - 02H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.9,17.1,27.6,72
E38000217,NHS Greater Manchester ICB - 14L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.7,13.3,23.1,58
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.7,9.5,21.7,25
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.7,16.7,20.8,325
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.3,13.7,19.1,148
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.7,11.6,18.4,79
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.5,11.5,18.1,80
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15,11,20.1,46
