SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C91-C95,Leukaemia,145,Age-standardised,15.7,13.3,18.5
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C91-C95,Leukaemia,133,Age-standardised,16.3,13.6,19.3
E38000258,NHS Birmingham and Solihull ICB - 15E,C91-C95,Leukaemia,177,Age-standardised,16.6,14.2,19.3
E38000259,NHS Black Country ICB - D2P2L,C91-C95,Leukaemia,144,Age-standardised,13,11,15.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C91-C95,Leukaemia,159,Age-standardised,18.1,15.4,21.1
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C91-C95,Leukaemia,80,Age-standardised,12.4,9.9,15.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C91-C95,Leukaemia,87,Age-standardised,16.4,13.1,20.3
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C91-C95,Leukaemia,62,Age-standardised,13.9,10.6,17.8
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C91-C95,Leukaemia,93,Age-standardised,11.3,9.1,13.8
E38000068,NHS Cheshire and Merseyside ICB - 01F,C91-C95,Leukaemia,13,Age-standardised,10.7,5.7,18.3
E38000091,NHS Cheshire and Merseyside ICB - 01J,C91-C95,Leukaemia,30,Age-standardised,21.2,14.3,30.3
E38000161,NHS Cheshire and Merseyside ICB - 01T,C91-C95,Leukaemia,18,Age-standardised,10.5,6.2,16.7
E38000170,NHS Cheshire and Merseyside ICB - 01V,C91-C95,Leukaemia,17,Age-standardised,11.3,6.4,18.4
E38000172,NHS Cheshire and Merseyside ICB - 01X,C91-C95,Leukaemia,33,Age-standardised,17.9,12.3,25.1
E38000194,NHS Cheshire and Merseyside ICB - 02E,C91-C95,Leukaemia,32,Age-standardised,15.5,10.6,22
E38000208,NHS Cheshire and Merseyside ICB - 12F,C91-C95,Leukaemia,84,Age-standardised,24.1,19.2,29.8
E38000233,NHS Cheshire and Merseyside ICB - 27D,C91-C95,Leukaemia,122,Age-standardised,15.4,12.8,18.4
E38000101,NHS Cheshire and Merseyside ICB - 99A,C91-C95,Leukaemia,70,Age-standardised,17.2,13.4,21.8
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C91-C95,Leukaemia,89,Age-standardised,13.4,10.7,16.5
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C91-C95,Leukaemia,137,Age-standardised,15.5,13,18.3
E38000261,NHS Derby and Derbyshire ICB - 15M,C91-C95,Leukaemia,170,Age-standardised,15.6,13.4,18.2
E38000230,NHS Devon ICB - 15N,C91-C95,Leukaemia,199,Age-standardised,14.6,12.6,16.8
E38000045,NHS Dorset ICB - 11J,C91-C95,Leukaemia,177,Age-standardised,19.4,16.6,22.5
E38000252,NHS Frimley ICB - D4U1Y,C91-C95,Leukaemia,102,Age-standardised,15.6,12.7,19
E38000062,NHS Gloucestershire ICB - 11M,C91-C95,Leukaemia,74,Age-standardised,10.9,8.6,13.7
E38000016,NHS Greater Manchester ICB - 00T,C91-C95,Leukaemia,33,Age-standardised,12.7,8.7,17.8
E38000024,NHS Greater Manchester ICB - 00V,C91-C95,Leukaemia,34,Age-standardised,19,13.2,26.6
E38000135,NHS Greater Manchester ICB - 00Y,C91-C95,Leukaemia,35,Age-standardised,17.3,12,24.1
E38000080,NHS Greater Manchester ICB - 01D,C91-C95,Leukaemia,36,Age-standardised,18.5,12.9,25.7
E38000143,NHS Greater Manchester ICB - 01G,C91-C95,Leukaemia,49,Age-standardised,23.8,17.6,31.6
