SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C91-C95,Leukaemia,174,Age-standardised,15.9,21.6,18.6
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C91-C95,Leukaemia,135,Age-standardised,13.4,18.9,16
E38000258,NHS Birmingham and Solihull ICB - 15E,C91-C95,Leukaemia,160,Age-standardised,11.9,16.4,14
E38000259,NHS Black Country ICB - D2P2L,C91-C95,Leukaemia,193,Age-standardised,14.9,19.8,17.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C91-C95,Leukaemia,153,Age-standardised,14.7,20.3,17.3
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C91-C95,Leukaemia,72,Age-standardised,8.4,13.6,10.8
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C91-C95,Leukaemia,101,Age-standardised,15.1,22.5,18.5
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C91-C95,Leukaemia,61,Age-standardised,10.6,17.8,13.8
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C91-C95,Leukaemia,115,Age-standardised,11.3,16.4,13.7
E38000068,NHS Cheshire and Merseyside ICB - 01F,C91-C95,Leukaemia,10,Age-standardised,3.8,14.6,7.9
E38000091,NHS Cheshire and Merseyside ICB - 01J,C91-C95,Leukaemia,22,Age-standardised,9.7,23.5,15.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C91-C95,Leukaemia,25,Age-standardised,9.5,21.7,14.7
E38000170,NHS Cheshire and Merseyside ICB - 01V,C91-C95,Leukaemia,21,Age-standardised,8.3,20.8,13.5
E38000172,NHS Cheshire and Merseyside ICB - 01X,C91-C95,Leukaemia,27,Age-standardised,9.5,21,14.4
E38000194,NHS Cheshire and Merseyside ICB - 02E,C91-C95,Leukaemia,32,Age-standardised,10.6,22,15.6
E38000208,NHS Cheshire and Merseyside ICB - 12F,C91-C95,Leukaemia,59,Age-standardised,12.5,21.3,16.5
E38000233,NHS Cheshire and Merseyside ICB - 27D,C91-C95,Leukaemia,140,Age-standardised,14.6,20.5,17.3
E38000101,NHS Cheshire and Merseyside ICB - 99A,C91-C95,Leukaemia,78,Age-standardised,14.8,23.5,18.8
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C91-C95,Leukaemia,94,Age-standardised,11.3,17.2,14
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C91-C95,Leukaemia,130,Age-standardised,12.1,17.3,14.5
E38000261,NHS Derby and Derbyshire ICB - 15M,C91-C95,Leukaemia,153,Age-standardised,11.6,16.1,13.7
E38000230,NHS Devon ICB - 15N,C91-C95,Leukaemia,225,Age-standardised,14,18.3,16
E38000045,NHS Dorset ICB - 11J,C91-C95,Leukaemia,130,Age-standardised,11.6,16.6,13.9
E38000252,NHS Frimley ICB - D4U1Y,C91-C95,Leukaemia,88,Age-standardised,10.7,16.4,13.3
E38000062,NHS Gloucestershire ICB - 11M,C91-C95,Leukaemia,84,Age-standardised,9.7,15,12.1
E38000016,NHS Greater Manchester ICB - 00T,C91-C95,Leukaemia,37,Age-standardised,9.7,19.1,13.9
E38000024,NHS Greater Manchester ICB - 00V,C91-C95,Leukaemia,33,Age-standardised,12.3,25.2,17.9
E38000135,NHS Greater Manchester ICB - 00Y,C91-C95,Leukaemia,34,Age-standardised,11.2,22.6,16.2
E38000080,NHS Greater Manchester ICB - 01D,C91-C95,Leukaemia,38,Age-standardised,13.2,25.7,18.7
E38000143,NHS Greater Manchester ICB - 01G,C91-C95,Leukaemia,39,Age-standardised,13.7,26.4,19.3
E38000174,NHS Greater Manchester ICB - 01W,C91-C95,Leukaemia,46,Age-standardised,11.1,20.3,15.2
E38000263,NHS Greater Manchester ICB - 01Y,C91-C95,Leukaemia,26,Age-standardised,8.1,18.3,12.5
E38000187,NHS Greater Manchester ICB - 02A,C91-C95,Leukaemia,34,Age-standardised,10.8,21.8,15.6
E38000205,NHS Greater Manchester ICB - 02H,C91-C95,Leukaemia,56,Age-standardised,12.8,22.1,17
E38000217,NHS Greater Manchester ICB - 14L,C91-C95,Leukaemia,74,Age-standardised,18,29.5,23.3
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C91-C95,Leukaemia,20,Age-standardised,7,17.9,11.6
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C91-C95,Leukaemia,242,Age-standardised,12.2,15.7,13.9
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C91-C95,Leukaemia,142,Age-standardised,13.4,18.8,15.9
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C91-C95,Leukaemia,103,Age-standardised,15.6,23.3,19.2
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C91-C95,Leukaemia,92,Age-standardised,13.4,20.5,16.7
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C91-C95,Leukaemia,40,Age-standardised,9.4,18,13.2
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C91-C95,Leukaemia,84,Age-standardised,16.6,26,20.9
E38000085,NHS Humber and North Yorkshire ICB - 03F,C91-C95,Leukaemia,30,Age-standardised,9.4,20,14
E38000119,NHS Humber and North Yorkshire ICB - 03H,C91-C95,Leukaemia,27,Age-standardised,10.6,23.5,16.2
E38000122,NHS Humber and North Yorkshire ICB - 03K,C91-C95,Leukaemia,38,Age-standardised,14.5,28.1,20.5
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C91-C95,Leukaemia,54,Age-standardised,10.6,18.5,14.2
E38000241,NHS Humber and North Yorkshire ICB - 42D,C91-C95,Leukaemia,83,Age-standardised,12.9,20.2,16.3
E38000237,NHS Kent and Medway ICB - 91Q,C91-C95,Leukaemia,279,Age-standardised,13.2,16.7,14.9
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C91-C95,Leukaemia,34,Age-standardised,19.3,39.3,28
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C91-C95,Leukaemia,29,Age-standardised,13.3,28.6,19.9
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C91-C95,Leukaemia,38,Age-standardised,14.8,28.7,20.9
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C91-C95,Leukaemia,49,Age-standardised,9.5,17.1,12.9
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C91-C95,Leukaemia,35,Age-standardised,12.9,25.8,18.5
