SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C91-C95,Leukaemia,Age-standardised,14.8,12.4,17.4,140
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C91-C95,Leukaemia,Age-standardised,11,8.9,13.5,94
E38000258,NHS Birmingham and Solihull ICB - 15E,C91-C95,Leukaemia,Age-standardised,12.5,10.5,14.8,142
E38000259,NHS Black Country ICB - D2P2L,C91-C95,Leukaemia,Age-standardised,12.8,10.8,15,143
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C91-C95,Leukaemia,Age-standardised,15.3,12.8,18.1,137
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C91-C95,Leukaemia,Age-standardised,12.1,9.6,15,81
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C91-C95,Leukaemia,Age-standardised,14.9,11.8,18.5,82
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C91-C95,Leukaemia,Age-standardised,11.7,8.8,15.4,53
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C91-C95,Leukaemia,Age-standardised,12.6,10.4,15.3,108
E38000068,NHS Cheshire and Merseyside ICB - 01F,C91-C95,Leukaemia,Age-standardised,9.5,4.9,16.6,12
E38000091,NHS Cheshire and Merseyside ICB - 01J,C91-C95,Leukaemia,Age-standardised,8.2,4.2,14.4,12
E38000161,NHS Cheshire and Merseyside ICB - 01T,C91-C95,Leukaemia,Age-standardised,16.2,10.8,23.5,28
E38000170,NHS Cheshire and Merseyside ICB - 01V,C91-C95,Leukaemia,Age-standardised,9.1,4.5,16.1,12
E38000172,NHS Cheshire and Merseyside ICB - 01X,C91-C95,Leukaemia,Age-standardised,10.6,6.5,16.4,20
E38000194,NHS Cheshire and Merseyside ICB - 02E,C91-C95,Leukaemia,Age-standardised,17.2,12,23.8,36
E38000208,NHS Cheshire and Merseyside ICB - 12F,C91-C95,Leukaemia,Age-standardised,17.9,13.8,22.9,64
E38000233,NHS Cheshire and Merseyside ICB - 27D,C91-C95,Leukaemia,Age-standardised,16.8,14.1,19.9,136
E38000101,NHS Cheshire and Merseyside ICB - 99A,C91-C95,Leukaemia,Age-standardised,12.9,9.6,16.9,53
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C91-C95,Leukaemia,Age-standardised,13.8,11.1,16.9,95
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C91-C95,Leukaemia,Age-standardised,13.4,11.1,16,121
E38000261,NHS Derby and Derbyshire ICB - 15M,C91-C95,Leukaemia,Age-standardised,15.6,13.4,18.1,174
E38000230,NHS Devon ICB - 15N,C91-C95,Leukaemia,Age-standardised,11.7,10,13.6,166
E38000045,NHS Dorset ICB - 11J,C91-C95,Leukaemia,Age-standardised,16.3,13.8,19.2,151
E38000252,NHS Frimley ICB - D4U1Y,C91-C95,Leukaemia,Age-standardised,13.9,11.2,17,95
E38000062,NHS Gloucestershire ICB - 11M,C91-C95,Leukaemia,Age-standardised,12.7,10.2,15.6,89
E38000016,NHS Greater Manchester ICB - 00T,C91-C95,Leukaemia,Age-standardised,9.7,6.3,14.2,26
E38000024,NHS Greater Manchester ICB - 00V,C91-C95,Leukaemia,Age-standardised,13.5,8.7,20,25
E38000135,NHS Greater Manchester ICB - 00Y,C91-C95,Leukaemia,Age-standardised,16.6,11.6,23,36
E38000080,NHS Greater Manchester ICB - 01D,C91-C95,Leukaemia,Age-standardised,17.6,12.3,24.4,36
E38000143,NHS Greater Manchester ICB - 01G,C91-C95,Leukaemia,Age-standardised,11,6.9,16.5,23
E38000174,NHS Greater Manchester ICB - 01W,C91-C95,Leukaemia,Age-standardised,16.3,12.1,21.5,50
E38000263,NHS Greater Manchester ICB - 01Y,C91-C95,Leukaemia,Age-standardised,10.6,6.7,15.9,23
E38000187,NHS Greater Manchester ICB - 02A,C91-C95,Leukaemia,Age-standardised,14.1,9.6,20,31
E38000205,NHS Greater Manchester ICB - 02H,C91-C95,Leukaemia,Age-standardised,15.6,11.6,20.5,51
E38000217,NHS Greater Manchester ICB - 14L,C91-C95,Leukaemia,Age-standardised,12.6,8.9,17.3,42
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C91-C95,Leukaemia,Age-standardised,14.5,9.4,21.5,25
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C91-C95,Leukaemia,Age-standardised,12.4,10.8,14.1,218
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C91-C95,Leukaemia,Age-standardised,11,9,13.4,101
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C91-C95,Leukaemia,Age-standardised,16.8,13.5,20.6,91
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C91-C95,Leukaemia,Age-standardised,13.5,10.7,16.9,77
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C91-C95,Leukaemia,Age-standardised,10.3,7,14.6,32
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C91-C95,Leukaemia,Age-standardised,17.8,13.9,22.4,74
E38000085,NHS Humber and North Yorkshire ICB - 03F,C91-C95,Leukaemia,Age-standardised,14,9.5,20,31
E38000119,NHS Humber and North Yorkshire ICB - 03H,C91-C95,Leukaemia,Age-standardised,19.9,13.7,27.9,33
E38000122,NHS Humber and North Yorkshire ICB - 03K,C91-C95,Leukaemia,Age-standardised,14.8,9.8,21.4,28
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C91-C95,Leukaemia,Age-standardised,14.4,10.8,18.7,55
E38000241,NHS Humber and North Yorkshire ICB - 42D,C91-C95,Leukaemia,Age-standardised,17.8,14.4,21.9,93
E38000237,NHS Kent and Medway ICB - 91Q,C91-C95,Leukaemia,Age-standardised,14.8,13.1,16.6,280
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C91-C95,Leukaemia,Age-standardised,12.2,6.8,20.2,15
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C91-C95,Leukaemia,Age-standardised,21,14.1,30,30
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C91-C95,Leukaemia,Age-standardised,15,9.8,21.8,27
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C91-C95,Leukaemia,Age-standardised,15.2,11.5,19.6,58
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C91-C95,Leukaemia,Age-standardised,12.5,8,18.7,24
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C91-C95,Leukaemia,Age-standardised,13.9,10.4,18.2,53
