SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C22,Malignant neoplasm of liver and intrahepatic bile ducts,82,Age-standardised,8.9,7.1,11.1
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C22,Malignant neoplasm of liver and intrahepatic bile ducts,69,Age-standardised,8.9,6.9,11.2
E38000258,NHS Birmingham and Solihull ICB - 15E,C22,Malignant neoplasm of liver and intrahepatic bile ducts,115,Age-standardised,11.2,9.2,13.5
E38000259,NHS Black Country ICB - D2P2L,C22,Malignant neoplasm of liver and intrahepatic bile ducts,120,Age-standardised,11,9.1,13.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C22,Malignant neoplasm of liver and intrahepatic bile ducts,98,Age-standardised,11.5,9.3,14
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C22,Malignant neoplasm of liver and intrahepatic bile ducts,65,Age-standardised,10.2,7.9,13
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C22,Malignant neoplasm of liver and intrahepatic bile ducts,34,Age-standardised,6.3,4.4,8.8
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C22,Malignant neoplasm of liver and intrahepatic bile ducts,43,Age-standardised,10,7.2,13.5
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C22,Malignant neoplasm of liver and intrahepatic bile ducts,65,Age-standardised,8,6.2,10.2
E38000068,NHS Cheshire and Merseyside ICB - 01F,C22,Malignant neoplasm of liver and intrahepatic bile ducts,22,Age-standardised,18.2,11.3,27.5
E38000091,NHS Cheshire and Merseyside ICB - 01J,C22,Malignant neoplasm of liver and intrahepatic bile ducts,11,Age-standardised,8,4,14.3
E38000161,NHS Cheshire and Merseyside ICB - 01T,C22,Malignant neoplasm of liver and intrahepatic bile ducts,20,Age-standardised,11.6,7.1,18
E38000170,NHS Cheshire and Merseyside ICB - 01V,C22,Malignant neoplasm of liver and intrahepatic bile ducts,16,Age-standardised,10.6,6,17.3
E38000172,NHS Cheshire and Merseyside ICB - 01X,C22,Malignant neoplasm of liver and intrahepatic bile ducts,25,Age-standardised,13.5,8.7,19.9
E38000194,NHS Cheshire and Merseyside ICB - 02E,C22,Malignant neoplasm of liver and intrahepatic bile ducts,20,Age-standardised,9.9,6.1,15.4
E38000208,NHS Cheshire and Merseyside ICB - 12F,C22,Malignant neoplasm of liver and intrahepatic bile ducts,50,Age-standardised,14.2,10.5,18.7
E38000233,NHS Cheshire and Merseyside ICB - 27D,C22,Malignant neoplasm of liver and intrahepatic bile ducts,80,Age-standardised,9.9,7.8,12.3
E38000101,NHS Cheshire and Merseyside ICB - 99A,C22,Malignant neoplasm of liver and intrahepatic bile ducts,45,Age-standardised,11.5,8.4,15.4
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C22,Malignant neoplasm of liver and intrahepatic bile ducts,61,Age-standardised,8.9,6.8,11.4
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C22,Malignant neoplasm of liver and intrahepatic bile ducts,98,Age-standardised,11.3,9.2,13.8
E38000261,NHS Derby and Derbyshire ICB - 15M,C22,Malignant neoplasm of liver and intrahepatic bile ducts,107,Age-standardised,9.8,8.1,11.9
E38000230,NHS Devon ICB - 15N,C22,Malignant neoplasm of liver and intrahepatic bile ducts,147,Age-standardised,10.4,8.8,12.2
E38000045,NHS Dorset ICB - 11J,C22,Malignant neoplasm of liver and intrahepatic bile ducts,104,Age-standardised,11.1,9.1,13.5
E38000252,NHS Frimley ICB - D4U1Y,C22,Malignant neoplasm of liver and intrahepatic bile ducts,63,Age-standardised,9.8,7.5,12.6
E38000062,NHS Gloucestershire ICB - 11M,C22,Malignant neoplasm of liver and intrahepatic bile ducts,56,Age-standardised,8.2,6.2,10.6
E38000016,NHS Greater Manchester ICB - 00T,C22,Malignant neoplasm of liver and intrahepatic bile ducts,31,Age-standardised,12.3,8.4,17.5
E38000024,NHS Greater Manchester ICB - 00V,C22,Malignant neoplasm of liver and intrahepatic bile ducts,25,Age-standardised,14,9,20.6
E38000135,NHS Greater Manchester ICB - 00Y,C22,Malignant neoplasm of liver and intrahepatic bile ducts,22,Age-standardised,11,6.9,16.7
E38000080,NHS Greater Manchester ICB - 01D,C22,Malignant neoplasm of liver and intrahepatic bile ducts,19,Age-standardised,10.3,6.2,16
E38000143,NHS Greater Manchester ICB - 01G,C22,Malignant neoplasm of liver and intrahepatic bile ducts,20,Age-standardised,9.8,6,15.2
E38000174,NHS Greater Manchester ICB - 01W,C22,Malignant neoplasm of liver and intrahepatic bile ducts,30,Age-standardised,9.9,6.7,14.2
E38000263,NHS Greater Manchester ICB - 01Y,C22,Malignant neoplasm of liver and intrahepatic bile ducts,27,Age-standardised,12.9,8.5,18.8
E38000187,NHS Greater Manchester ICB - 02A,C22,Malignant neoplasm of liver and intrahepatic bile ducts,21,Age-standardised,9.7,6,14.9
E38000205,NHS Greater Manchester ICB - 02H,C22,Malignant neoplasm of liver and intrahepatic bile ducts,43,Age-standardised,13.7,9.9,18.5
E38000217,NHS Greater Manchester ICB - 14L,C22,Malignant neoplasm of liver and intrahepatic bile ducts,44,Age-standardised,14.9,10.7,20.2
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C22,Malignant neoplasm of liver and intrahepatic bile ducts,16,Age-standardised,10,5.7,16.2
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C22,Malignant neoplasm of liver and intrahepatic bile ducts,157,Age-standardised,9.1,7.7,10.6
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C22,Malignant neoplasm of liver and intrahepatic bile ducts,87,Age-standardised,9.7,7.8,12
