SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,11.9,8,17,30
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,9,5.7,13.5,23
E38000258,NHS Birmingham and Solihull ICB - 15E,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,,,,9
E38000259,NHS Black Country ICB - D2P2L,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,10.2,5.3,17.9,12
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,14.2,8.8,21.8,21
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,11.5,7.8,16.5,30
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,11,7,16.4,24
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,15.1,10,21.8,28
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,8,4.6,12.8,17
E38000068,NHS Cheshire and Merseyside ICB - 01F,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,13.5,8.1,21.1,19
E38000091,NHS Cheshire and Merseyside ICB - 01J,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,7.5,4.2,12.2,16
E38000161,NHS Cheshire and Merseyside ICB - 01T,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,8.8,5,14.3,16
E38000170,NHS Cheshire and Merseyside ICB - 01V,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Age-standardised,9.6,6.5,13.7,30
