SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",522,Age-standardised,57.1,52.3,62.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",523,Age-standardised,67.2,61.5,73.2
E38000258,NHS Birmingham and Solihull ICB - 15E,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",835,Age-standardised,81.9,76.4,87.7
E38000259,NHS Black Country ICB - D2P2L,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",891,Age-standardised,83,77.6,88.6
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",616,Age-standardised,73.2,67.5,79.2
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",404,Age-standardised,64,57.9,70.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",301,Age-standardised,57,50.7,63.8
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",224,Age-standardised,53.1,46.4,60.6
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",496,Age-standardised,61.4,56.1,67
E38000068,NHS Cheshire and Merseyside ICB - 01F,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",151,Age-standardised,124.8,105.6,146.4
E38000091,NHS Cheshire and Merseyside ICB - 01J,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",213,Age-standardised,159.2,138.5,182.3
E38000161,NHS Cheshire and Merseyside ICB - 01T,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",159,Age-standardised,92.7,78.8,108.4
E38000170,NHS Cheshire and Merseyside ICB - 01V,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",98,Age-standardised,62.1,50.3,75.8
E38000172,NHS Cheshire and Merseyside ICB - 01X,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",170,Age-standardised,91.1,77.9,105.8
E38000194,NHS Cheshire and Merseyside ICB - 02E,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",144,Age-standardised,71,59.8,83.6
E38000208,NHS Cheshire and Merseyside ICB - 12F,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",309,Age-standardised,86.9,77.4,97.1
E38000233,NHS Cheshire and Merseyside ICB - 27D,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",558,Age-standardised,68.9,63.3,74.9
E38000101,NHS Cheshire and Merseyside ICB - 99A,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",543,Age-standardised,141.3,129.6,153.7
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",469,Age-standardised,67.5,61.5,73.9
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",622,Age-standardised,72.2,66.7,78.2
E38000261,NHS Derby and Derbyshire ICB - 15M,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",765,Age-standardised,70.1,65.2,75.2
E38000230,NHS Devon ICB - 15N,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",952,Age-standardised,67.2,63,71.6
E38000045,NHS Dorset ICB - 11J,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",581,Age-standardised,60.9,56,66.1
E38000252,NHS Frimley ICB - D4U1Y,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",386,Age-standardised,61.6,55.6,68.1
E38000062,NHS Gloucestershire ICB - 11M,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",392,Age-standardised,57.3,51.8,63.3
E38000016,NHS Greater Manchester ICB - 00T,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",224,Age-standardised,88.2,77,100.6
E38000024,NHS Greater Manchester ICB - 00V,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",160,Age-standardised,90.2,76.7,105.3
E38000135,NHS Greater Manchester ICB - 00Y,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",187,Age-standardised,94,81,108.5
E38000080,NHS Greater Manchester ICB - 01D,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",188,Age-standardised,100.6,86.7,116.1
E38000143,NHS Greater Manchester ICB - 01G,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",231,Age-standardised,120.6,105.5,137.3
E38000174,NHS Greater Manchester ICB - 01W,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",271,Age-standardised,90.3,79.8,101.7
E38000263,NHS Greater Manchester ICB - 01Y,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",234,Age-standardised,114.4,100.2,130.1
E38000187,NHS Greater Manchester ICB - 02A,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",190,Age-standardised,88.2,76,101.7
E38000205,NHS Greater Manchester ICB - 02H,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",311,Age-standardised,97.8,87.2,109.3
E38000217,NHS Greater Manchester ICB - 14L,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",413,Age-standardised,145.2,131.4,160.2
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",147,Age-standardised,91.9,77.6,108.1
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",1113,Age-standardised,64.6,60.8,68.5
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",544,Age-standardised,60.6,55.6,66
