SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",492,Age-standardised,47.9,57.3,52.4
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",573,Age-standardised,66.3,78.3,72.1
E38000258,NHS Birmingham and Solihull ICB - 15E,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",798,Age-standardised,72.2,83.2,77.6
E38000259,NHS Black Country ICB - D2P2L,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",873,Age-standardised,75.2,86,80.5
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",612,Age-standardised,66.2,77.7,71.8
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",393,Age-standardised,54.5,66.7,60.4
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",287,Age-standardised,47.2,59.7,53.1
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",239,Age-standardised,48.5,62.8,55.3
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",559,Age-standardised,62.3,73.6,67.8
E38000068,NHS Cheshire and Merseyside ICB - 01F,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",105,Age-standardised,70.4,104.4,86.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",194,Age-standardised,120.5,160.7,139.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",188,Age-standardised,93.8,125.6,108.8
E38000170,NHS Cheshire and Merseyside ICB - 01V,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",92,Age-standardised,46.9,72,58.5
E38000172,NHS Cheshire and Merseyside ICB - 01X,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",179,Age-standardised,81,109.2,94.3
E38000194,NHS Cheshire and Merseyside ICB - 02E,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",171,Age-standardised,71,96.3,82.9
E38000208,NHS Cheshire and Merseyside ICB - 12F,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",298,Age-standardised,73.2,92.2,82.3
E38000233,NHS Cheshire and Merseyside ICB - 27D,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",537,Age-standardised,59.7,70.8,65.1
E38000101,NHS Cheshire and Merseyside ICB - 99A,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",515,Age-standardised,121.2,144.4,132.4
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",518,Age-standardised,66.7,79.4,72.8
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",600,Age-standardised,62.8,73.8,68.1
E38000261,NHS Derby and Derbyshire ICB - 15M,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",846,Age-standardised,70.7,81,75.7
E38000230,NHS Devon ICB - 15N,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",977,Age-standardised,63.5,72.1,67.7
