SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,56.1,51.5,61.1,538
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,60.6,55.4,66.2,490
E38000258,NHS Birmingham and Solihull ICB - 15E,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,76,70.7,81.5,781
E38000259,NHS Black Country ICB - D2P2L,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,70.3,65.4,75.4,766
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,61.7,56.5,67.1,533
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,65.2,59.2,71.7,430
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,55,49,61.6,304
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,48.4,42,55.4,210
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,66.6,61.2,72.3,559
E38000068,NHS Cheshire and Merseyside ICB - 01F,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,95.3,78.8,114.3,117
E38000091,NHS Cheshire and Merseyside ICB - 01J,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,109.1,92.4,127.9,153
E38000161,NHS Cheshire and Merseyside ICB - 01T,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,95.9,81.9,111.6,167
E38000170,NHS Cheshire and Merseyside ICB - 01V,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,70.9,58.1,85.7,111
E38000172,NHS Cheshire and Merseyside ICB - 01X,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Age-standardised,81.9,69.5,95.8,156
