SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C82-C86,Non-Hodgkin lymphoma,212,Age-standardised,23.1,20.1,26.4
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C82-C86,Non-Hodgkin lymphoma,212,Age-standardised,26.3,22.9,30.1
E38000258,NHS Birmingham and Solihull ICB - 15E,C82-C86,Non-Hodgkin lymphoma,242,Age-standardised,22.4,19.6,25.4
E38000259,NHS Black Country ICB - D2P2L,C82-C86,Non-Hodgkin lymphoma,192,Age-standardised,17.6,15.2,20.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C82-C86,Non-Hodgkin lymphoma,206,Age-standardised,23.9,20.7,27.4
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C82-C86,Non-Hodgkin lymphoma,146,Age-standardised,22.9,19.3,26.9
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C82-C86,Non-Hodgkin lymphoma,112,Age-standardised,21,17.3,25.3
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C82-C86,Non-Hodgkin lymphoma,107,Age-standardised,25,20.4,30.2
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C82-C86,Non-Hodgkin lymphoma,208,Age-standardised,25.6,22.3,29.4
E38000068,NHS Cheshire and Merseyside ICB - 01F,C82-C86,Non-Hodgkin lymphoma,28,Age-standardised,23.3,15.5,33.8
E38000091,NHS Cheshire and Merseyside ICB - 01J,C82-C86,Non-Hodgkin lymphoma,27,Age-standardised,19.5,12.8,28.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C82-C86,Non-Hodgkin lymphoma,46,Age-standardised,26.9,19.7,35.9
E38000170,NHS Cheshire and Merseyside ICB - 01V,C82-C86,Non-Hodgkin lymphoma,22,Age-standardised,13.9,8.6,21.2
E38000172,NHS Cheshire and Merseyside ICB - 01X,C82-C86,Non-Hodgkin lymphoma,37,Age-standardised,20.1,14.2,27.7
E38000194,NHS Cheshire and Merseyside ICB - 02E,C82-C86,Non-Hodgkin lymphoma,56,Age-standardised,27.8,21,36.1
E38000208,NHS Cheshire and Merseyside ICB - 12F,C82-C86,Non-Hodgkin lymphoma,86,Age-standardised,24.6,19.6,30.3
E38000233,NHS Cheshire and Merseyside ICB - 27D,C82-C86,Non-Hodgkin lymphoma,181,Age-standardised,23,19.8,26.6
E38000101,NHS Cheshire and Merseyside ICB - 99A,C82-C86,Non-Hodgkin lymphoma,73,Age-standardised,18.1,14.2,22.8
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C82-C86,Non-Hodgkin lymphoma,138,Age-standardised,20.9,17.5,24.7
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C82-C86,Non-Hodgkin lymphoma,174,Age-standardised,19.9,17,23.1
E38000261,NHS Derby and Derbyshire ICB - 15M,C82-C86,Non-Hodgkin lymphoma,233,Age-standardised,21.6,18.9,24.5
E38000230,NHS Devon ICB - 15N,C82-C86,Non-Hodgkin lymphoma,333,Age-standardised,24.4,21.9,27.2
E38000045,NHS Dorset ICB - 11J,C82-C86,Non-Hodgkin lymphoma,194,Age-standardised,21.1,18.2,24.3
E38000252,NHS Frimley ICB - D4U1Y,C82-C86,Non-Hodgkin lymphoma,135,Age-standardised,20.9,17.5,24.8
E38000062,NHS Gloucestershire ICB - 11M,C82-C86,Non-Hodgkin lymphoma,116,Age-standardised,17.2,14.2,20.6
E38000016,NHS Greater Manchester ICB - 00T,C82-C86,Non-Hodgkin lymphoma,55,Age-standardised,21.1,15.9,27.4
E38000024,NHS Greater Manchester ICB - 00V,C82-C86,Non-Hodgkin lymphoma,39,Age-standardised,21.7,15.4,29.6
E38000135,NHS Greater Manchester ICB - 00Y,C82-C86,Non-Hodgkin lymphoma,41,Age-standardised,20.5,14.7,27.8
E38000080,NHS Greater Manchester ICB - 01D,C82-C86,Non-Hodgkin lymphoma,34,Age-standardised,17.7,12.2,24.7
E38000143,NHS Greater Manchester ICB - 01G,C82-C86,Non-Hodgkin lymphoma,34,Age-standardised,16.6,11.4,23.3
E38000174,NHS Greater Manchester ICB - 01W,C82-C86,Non-Hodgkin lymphoma,52,Age-standardised,17.6,13.1,23
E38000263,NHS Greater Manchester ICB - 01Y,C82-C86,Non-Hodgkin lymphoma,36,Age-standardised,17.5,12.2,24.2
E38000187,NHS Greater Manchester ICB - 02A,C82-C86,Non-Hodgkin lymphoma,50,Age-standardised,22.5,16.6,29.6
E38000205,NHS Greater Manchester ICB - 02H,C82-C86,Non-Hodgkin lymphoma,65,Age-standardised,20.7,15.9,26.4
E38000217,NHS Greater Manchester ICB - 14L,C82-C86,Non-Hodgkin lymphoma,56,Age-standardised,17.7,13.2,23.2
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C82-C86,Non-Hodgkin lymphoma,22,Age-standardised,12.6,7.8,19.1
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C82-C86,Non-Hodgkin lymphoma,399,Age-standardised,23.5,21.2,25.9
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C82-C86,Non-Hodgkin lymphoma,186,Age-standardised,21.3,18.3,24.6
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C82-C86,Non-Hodgkin lymphoma,125,Age-standardised,23.6,19.6,28.1
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C82-C86,Non-Hodgkin lymphoma,142,Age-standardised,26.7,22.4,31.5
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C82-C86,Non-Hodgkin lymphoma,56,Age-standardised,18.7,14.1,24.3
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C82-C86,Non-Hodgkin lymphoma,69,Age-standardised,18.2,14.1,23.1
E38000085,NHS Humber and North Yorkshire ICB - 03F,C82-C86,Non-Hodgkin lymphoma,50,Age-standardised,23.3,17.2,30.8
E38000119,NHS Humber and North Yorkshire ICB - 03H,C82-C86,Non-Hodgkin lymphoma,33,Age-standardised,20,13.8,28.1
