SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C82-C86,Non-Hodgkin lymphoma,236,Age-standardised,22.1,28.6,25.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C82-C86,Non-Hodgkin lymphoma,190,Age-standardised,20,26.8,23.2
E38000258,NHS Birmingham and Solihull ICB - 15E,C82-C86,Non-Hodgkin lymphoma,219,Age-standardised,17.5,23,20.1
E38000259,NHS Black Country ICB - D2P2L,C82-C86,Non-Hodgkin lymphoma,209,Age-standardised,16.3,21.5,18.8
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C82-C86,Non-Hodgkin lymphoma,245,Age-standardised,24.6,31.8,28.1
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C82-C86,Non-Hodgkin lymphoma,149,Age-standardised,19.3,26.8,22.8
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C82-C86,Non-Hodgkin lymphoma,118,Age-standardised,17.9,25.9,21.6
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C82-C86,Non-Hodgkin lymphoma,101,Age-standardised,18.7,28,23
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C82-C86,Non-Hodgkin lymphoma,191,Age-standardised,19.9,26.6,23.1
E38000068,NHS Cheshire and Merseyside ICB - 01F,C82-C86,Non-Hodgkin lymphoma,19,Age-standardised,9.3,24.2,15.5
E38000091,NHS Cheshire and Merseyside ICB - 01J,C82-C86,Non-Hodgkin lymphoma,29,Age-standardised,13.8,29.7,20.7
E38000161,NHS Cheshire and Merseyside ICB - 01T,C82-C86,Non-Hodgkin lymphoma,24,Age-standardised,9.2,21.5,14.4
E38000170,NHS Cheshire and Merseyside ICB - 01V,C82-C86,Non-Hodgkin lymphoma,35,Age-standardised,16,32.6,23.2
E38000172,NHS Cheshire and Merseyside ICB - 01X,C82-C86,Non-Hodgkin lymphoma,30,Age-standardised,10.9,23.1,16.2
E38000194,NHS Cheshire and Merseyside ICB - 02E,C82-C86,Non-Hodgkin lymphoma,47,Age-standardised,16.7,30.3,22.8
E38000208,NHS Cheshire and Merseyside ICB - 12F,C82-C86,Non-Hodgkin lymphoma,76,Age-standardised,16.9,26.9,21.4
E38000233,NHS Cheshire and Merseyside ICB - 27D,C82-C86,Non-Hodgkin lymphoma,181,Age-standardised,19,25.6,22.1
E38000101,NHS Cheshire and Merseyside ICB - 99A,C82-C86,Non-Hodgkin lymphoma,74,Age-standardised,14.1,22.6,18
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C82-C86,Non-Hodgkin lymphoma,144,Age-standardised,17.5,24.5,20.8
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C82-C86,Non-Hodgkin lymphoma,204,Age-standardised,20.1,26.6,23.2
E38000261,NHS Derby and Derbyshire ICB - 15M,C82-C86,Non-Hodgkin lymphoma,262,Age-standardised,20.8,26.6,23.6
E38000230,NHS Devon ICB - 15N,C82-C86,Non-Hodgkin lymphoma,326,Age-standardised,20.6,25.7,23
E38000045,NHS Dorset ICB - 11J,C82-C86,Non-Hodgkin lymphoma,195,Age-standardised,18,24.1,20.9
E38000252,NHS Frimley ICB - D4U1Y,C82-C86,Non-Hodgkin lymphoma,142,Age-standardised,18,25.2,21.4
E38000062,NHS Gloucestershire ICB - 11M,C82-C86,Non-Hodgkin lymphoma,166,Age-standardised,20.7,28.2,24.2
E38000016,NHS Greater Manchester ICB - 00T,C82-C86,Non-Hodgkin lymphoma,50,Age-standardised,14.3,25.4,19.3
E38000024,NHS Greater Manchester ICB - 00V,C82-C86,Non-Hodgkin lymphoma,37,Age-standardised,14.3,27.9,20.3
E38000135,NHS Greater Manchester ICB - 00Y,C82-C86,Non-Hodgkin lymphoma,36,Age-standardised,12.5,24.7,17.8
E38000080,NHS Greater Manchester ICB - 01D,C82-C86,Non-Hodgkin lymphoma,51,Age-standardised,19.1,33.7,25.6
E38000143,NHS Greater Manchester ICB - 01G,C82-C86,Non-Hodgkin lymphoma,40,Age-standardised,14,26.8,19.6
E38000174,NHS Greater Manchester ICB - 01W,C82-C86,Non-Hodgkin lymphoma,66,Age-standardised,17,28,22
E38000263,NHS Greater Manchester ICB - 01Y,C82-C86,Non-Hodgkin lymphoma,34,Age-standardised,11.1,22.3,16
E38000187,NHS Greater Manchester ICB - 02A,C82-C86,Non-Hodgkin lymphoma,47,Age-standardised,15.8,28.7,21.6
E38000205,NHS Greater Manchester ICB - 02H,C82-C86,Non-Hodgkin lymphoma,53,Age-standardised,11.9,20.8,15.9
E38000217,NHS Greater Manchester ICB - 14L,C82-C86,Non-Hodgkin lymphoma,60,Age-standardised,13.6,23.4,18
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C82-C86,Non-Hodgkin lymphoma,47,Age-standardised,20.5,37.3,28
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C82-C86,Non-Hodgkin lymphoma,391,Age-standardised,20.2,24.7,22.4
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C82-C86,Non-Hodgkin lymphoma,190,Age-standardised,18.4,24.6,21.3
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C82-C86,Non-Hodgkin lymphoma,135,Age-standardised,21,29.7,25.1
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C82-C86,Non-Hodgkin lymphoma,122,Age-standardised,18.3,26.4,22.1
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C82-C86,Non-Hodgkin lymphoma,79,Age-standardised,20.4,32.2,25.8
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C82-C86,Non-Hodgkin lymphoma,78,Age-standardised,15.6,24.9,19.9
E38000085,NHS Humber and North Yorkshire ICB - 03F,C82-C86,Non-Hodgkin lymphoma,59,Age-standardised,20.4,34.7,26.9
E38000119,NHS Humber and North Yorkshire ICB - 03H,C82-C86,Non-Hodgkin lymphoma,28,Age-standardised,11.1,24.1,16.7
E38000122,NHS Humber and North Yorkshire ICB - 03K,C82-C86,Non-Hodgkin lymphoma,39,Age-standardised,15.3,29.4,21.5
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C82-C86,Non-Hodgkin lymphoma,79,Age-standardised,16.4,25.9,20.8
E38000241,NHS Humber and North Yorkshire ICB - 42D,C82-C86,Non-Hodgkin lymphoma,123,Age-standardised,19.7,28.4,23.7
E38000237,NHS Kent and Medway ICB - 91Q,C82-C86,Non-Hodgkin lymphoma,462,Age-standardised,22.5,27,24.7
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C82-C86,Non-Hodgkin lymphoma,31,Age-standardised,17.5,36.8,25.8
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C82-C86,Non-Hodgkin lymphoma,26,Age-standardised,11.6,26.1,17.8
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C82-C86,Non-Hodgkin lymphoma,40,Age-standardised,15.8,30.1,22.1
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C82-C86,Non-Hodgkin lymphoma,65,Age-standardised,13.2,21.8,17.1
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C82-C86,Non-Hodgkin lymphoma,42,Age-standardised,16.2,30.4,22.5
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C82-C86,Non-Hodgkin lymphoma,93,Age-standardised,20.2,30.8,25.1
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C82-C86,Non-Hodgkin lymphoma,28,Age-standardised,14.7,32.2,22.2
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C82-C86,Non-Hodgkin lymphoma,43,Age-standardised,12.5,23.6,17.4
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C82-C86,Non-Hodgkin lymphoma,76,Age-standardised,16,25.5,20.3
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C82-C86,Non-Hodgkin lymphoma,37,Age-standardised,10.1,20.1,14.5
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C82-C86,Non-Hodgkin lymphoma,81,Age-standardised,15.8,24.8,19.9
E38000238,NHS Lincolnshire ICB - 71E,C82-C86,Non-Hodgkin lymphoma,171,Age-standardised,16.6,22.6,19.5
E38000106,NHS Mid and South Essex ICB - 06Q,C82-C86,Non-Hodgkin lymphoma,82,Age-standardised,15.6,24.4,19.6
E38000185,NHS Mid and South Essex ICB - 07G,C82-C86,Non-Hodgkin lymphoma,23,Age-standardised,9.9,23.8,15.8
E38000007,NHS Mid and South Essex ICB - 99E,C82-C86,Non-Hodgkin lymphoma,66,Age-standardised,20.1,33,25.9
E38000030,NHS Mid and South Essex ICB - 99F,C82-C86,Non-Hodgkin lymphoma,41,Age-standardised,14.6,27.8,20.4
