SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C82-C86,Non-Hodgkin lymphoma,Age-standardised,22.3,19.4,25.6,213
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C82-C86,Non-Hodgkin lymphoma,Age-standardised,18.2,15.4,21.3,151
E38000258,NHS Birmingham and Solihull ICB - 15E,C82-C86,Non-Hodgkin lymphoma,Age-standardised,18.9,16.4,21.7,208
E38000259,NHS Black Country ICB - D2P2L,C82-C86,Non-Hodgkin lymphoma,Age-standardised,17.2,14.8,19.8,190
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C82-C86,Non-Hodgkin lymphoma,Age-standardised,21.1,18.1,24.3,185
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.7,16.4,23.4,131
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C82-C86,Non-Hodgkin lymphoma,Age-standardised,23.9,20,28.3,133
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C82-C86,Non-Hodgkin lymphoma,Age-standardised,22.5,18.3,27.4,100
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C82-C86,Non-Hodgkin lymphoma,Age-standardised,17.6,14.9,20.7,149
E38000068,NHS Cheshire and Merseyside ICB - 01F,C82-C86,Non-Hodgkin lymphoma,Age-standardised,18.7,12,27.9,24
E38000091,NHS Cheshire and Merseyside ICB - 01J,C82-C86,Non-Hodgkin lymphoma,Age-standardised,18,11.7,26.5,26
E38000161,NHS Cheshire and Merseyside ICB - 01T,C82-C86,Non-Hodgkin lymphoma,Age-standardised,17.9,12,25.6,30
E38000170,NHS Cheshire and Merseyside ICB - 01V,C82-C86,Non-Hodgkin lymphoma,Age-standardised,20.1,13.1,29.2,29
E38000172,NHS Cheshire and Merseyside ICB - 01X,C82-C86,Non-Hodgkin lymphoma,Age-standardised,20.5,14.6,28,39
E38000194,NHS Cheshire and Merseyside ICB - 02E,C82-C86,Non-Hodgkin lymphoma,Age-standardised,22,16.1,29.4,46
E38000208,NHS Cheshire and Merseyside ICB - 12F,C82-C86,Non-Hodgkin lymphoma,Age-standardised,23.6,18.8,29.3,84
E38000233,NHS Cheshire and Merseyside ICB - 27D,C82-C86,Non-Hodgkin lymphoma,Age-standardised,20.6,17.6,23.9,169
E38000101,NHS Cheshire and Merseyside ICB - 99A,C82-C86,Non-Hodgkin lymphoma,Age-standardised,16.5,12.8,20.8,70
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.6,16.4,23.3,134
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C82-C86,Non-Hodgkin lymphoma,Age-standardised,18,15.3,21,161
E38000261,NHS Derby and Derbyshire ICB - 15M,C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.2,16.7,22,215
E38000230,NHS Devon ICB - 15N,C82-C86,Non-Hodgkin lymphoma,Age-standardised,21.1,18.8,23.7,301
E38000045,NHS Dorset ICB - 11J,C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.1,16.4,22.2,180
E38000252,NHS Frimley ICB - D4U1Y,C82-C86,Non-Hodgkin lymphoma,Age-standardised,21.6,18.2,25.5,145
E38000062,NHS Gloucestershire ICB - 11M,C82-C86,Non-Hodgkin lymphoma,Age-standardised,22.9,19.5,26.8,160
E38000016,NHS Greater Manchester ICB - 00T,C82-C86,Non-Hodgkin lymphoma,Age-standardised,12.5,8.6,17.6,33
E38000024,NHS Greater Manchester ICB - 00V,C82-C86,Non-Hodgkin lymphoma,Age-standardised,14.6,9.6,21.3,27
E38000135,NHS Greater Manchester ICB - 00Y,C82-C86,Non-Hodgkin lymphoma,Age-standardised,12.4,8.1,18.2,26
E38000080,NHS Greater Manchester ICB - 01D,C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.2,13.5,26.3,38
E38000143,NHS Greater Manchester ICB - 01G,C82-C86,Non-Hodgkin lymphoma,Age-standardised,19.5,13.9,26.5,41
