icb23cd,Year,Geography_name,Gender,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Sum of Count,ICB23CD
E54000008,2021,NHS Cheshire and Merseyside Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.9,1.2,2.8,23,E54000008
E54000010,2021,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,7,E54000010
E54000011,2021,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,1,E54000011
E54000013,2021,NHS Lincolnshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5,E54000013
E54000015,2021,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,8,E54000015
E54000018,2021,NHS Coventry and Warwickshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.3,1.1,4.3,10,E54000018
E54000019,2021,NHS Herefordshire and Worcestershire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9,E54000019
E54000022,2021,NHS Norfolk and Waveney Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.3,1.3,3.9,14,E54000022
E54000023,2021,NHS Suffolk and North East Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.7,1.5,4.6,14,E54000023
E54000024,2021,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Males,Anus,All Anus,Age-standardised,2.7,1.3,4.9,11,E54000024
E54000025,2021,NHS Hertfordshire and West Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5,E54000025
E54000026,2021,NHS Mid and South Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.1,3.9,12,E54000026
E54000027,2021,NHS North West London Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.3,3.6,17,E54000027
E54000028,2021,NHS North Central London Integrated Care Board,Males,Anus,All Anus,Age-standardised,3.4,1.9,5.5,16,E54000028
E54000029,2021,NHS North East London Integrated Care Board,Males,Anus,All Anus,Age-standardised,3.3,1.9,5.4,18,E54000029
E54000030,2021,NHS South East London Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.8,0.9,3.2,11,E54000030
E54000031,2021,NHS South West London Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.4,1.3,4.2,13,E54000031
E54000032,2021,NHS Kent and Medway Integrated Care Board,Males,Anus,All Anus,Age-standardised,2,1.2,3.2,18,E54000032
E54000034,2021,NHS Frimley Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,8,E54000034
E54000036,2021,NHS Cornwall and the Isles of Scilly Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5,E54000036
E54000037,2021,NHS Devon Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.2,3.8,14,E54000037
E54000038,2021,NHS Somerset Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5,E54000038
E54000039,2021,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,7,E54000039
E54000040,2021,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,8,E54000040
E54000041,2021,NHS Dorset Integrated Care Board,Males,Anus,All Anus,Age-standardised,3.9,2.2,6.3,16,E54000041
E54000042,2021,NHS Hampshire and Isle of Wight Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.7,1,2.8,16,E54000042
E54000043,2021,NHS Gloucestershire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,7,E54000043
E54000044,2021,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Males,Anus,All Anus,Age-standardised,1.9,1.1,3.1,15,E54000044
E54000048,2021,NHS Lancashire and South Cumbria Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.6,1.7,4,23,E54000048
E54000050,2021,NHS North East and North Cumbria Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.8,1.2,2.6,27,E54000050
E54000051,2021,NHS Humber and North Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.3,3.4,19,E54000051
E54000054,2021,NHS West Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.5,0.9,2.5,16,E54000054
E54000055,2021,NHS Birmingham and Solihull Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,7,E54000055
E54000056,2021,NHS Cambridgeshire and Peterborough Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,8,E54000056
E54000057,2021,NHS Greater Manchester Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.1,1.3,3.2,24,E54000057
E54000058,2021,NHS Derby and Derbyshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.1,3.8,12,E54000058
E54000059,2021,NHS Northamptonshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,4,E54000059
E54000060,2021,NHS Nottingham and Nottinghamshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.5,1.3,4.2,13,E54000060
E54000061,2021,NHS South Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,7,E54000061
E54000062,2021,NHS Black Country Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,6,E54000062
E54000063,2021,NHS Surrey Heartlands Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.1,1,3.9,10,E54000063
E54000064,2021,NHS Sussex Integrated Care Board,Males,Anus,All Anus,Age-standardised,3.1,2.1,4.5,27,E54000064
