icb23cd,Year,Geography_name,Gender,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Sum of Count
E54000008,2022,NHS Cheshire and Merseyside Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.8,1.1,2.8,22
E54000010,2022,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.7,1.5,4.4,15
E54000011,2022,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,3
E54000013,2022,NHS Lincolnshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.4,1.1,4.4,10
E54000015,2022,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,5
E54000018,2022,NHS Coventry and Warwickshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000019,2022,NHS Herefordshire and Worcestershire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,4
E54000022,2022,NHS Norfolk and Waveney Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,8
E54000023,2022,NHS Suffolk and North East Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000024,2022,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,9
E54000025,2022,NHS Hertfordshire and West Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.6,0.7,2.9,10
E54000026,2022,NHS Mid and South Essex Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.9,0.9,3.4,11
E54000027,2022,NHS North West London Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.3,0.6,2.4,11
E54000028,2022,NHS North Central London Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000029,2022,NHS North East London Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.7,1.5,4.4,17
E54000030,2022,NHS South East London Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.6,1.4,4.2,17
E54000031,2022,NHS South West London Integrated Care Board,Males,Anus,All Anus,Age-standardised,2,0.9,3.8,10
E54000032,2022,NHS Kent and Medway Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.1,1.3,3.3,19
E54000034,2022,NHS Frimley Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5
E54000036,2022,NHS Cornwall and the Isles of Scilly Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,6
E54000037,2022,NHS Devon Integrated Care Board,Males,Anus,All Anus,Age-standardised,2,1,3.4,13
E54000038,2022,NHS Somerset Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,5
E54000039,2022,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,9
E54000040,2022,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Males,Anus,All Anus,Age-standardised,,,,7
E54000041,2022,NHS Dorset Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000042,2022,NHS Hampshire and Isle of Wight Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.5,0.8,2.5,13
E54000043,2022,NHS Gloucestershire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,4
E54000044,2022,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Males,Anus,All Anus,Age-standardised,1.5,0.8,2.6,13
E54000048,2022,NHS Lancashire and South Cumbria Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.3,3.4,19
E54000050,2022,NHS North East and North Cumbria Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.2,1.5,3.1,33
E54000051,2022,NHS Humber and North Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.5,0.8,2.5,14
E54000054,2022,NHS West Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.3,1.5,3.5,24
E54000055,2022,NHS Birmingham and Solihull Integrated Care Board,Males,Anus,All Anus,Age-standardised,2.8,1.6,4.8,14
E54000056,2022,NHS Cambridgeshire and Peterborough Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,8
E54000057,2022,NHS Greater Manchester Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.3,0.7,2.1,16
E54000058,2022,NHS Derby and Derbyshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,3
E54000059,2022,NHS Northamptonshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,4
E54000060,2022,NHS Nottingham and Nottinghamshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000061,2022,NHS South Yorkshire Integrated Care Board,Males,Anus,All Anus,Age-standardised,2,1.1,3.5,13
E54000062,2022,NHS Black Country Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,8
E54000063,2022,NHS Surrey Heartlands Integrated Care Board,Males,Anus,All Anus,Age-standardised,,,,9
E54000064,2022,NHS Sussex Integrated Care Board,Males,Anus,All Anus,Age-standardised,1.8,1,2.9,16
