Geography_name,Year,Main_group,icb23cd,Detailed_group,Gender,Count,type_of_rate,Rate,LCI,UCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,Bladder,E54000040,All Bladder,Males,266,Age-standardised,59.4,52.4,67,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,Bladder,E54000024,All Bladder,Males,215,Age-standardised,59,51.3,67.5,E54000024
NHS Birmingham and Solihull Integrated Care Board,2021,Bladder,E54000055,All Bladder,Males,185,Age-standardised,39.2,33.7,45.4,E54000055
NHS Black Country Integrated Care Board,2021,Bladder,E54000062,All Bladder,Males,277,Age-standardised,55.2,48.8,62.1,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,Bladder,E54000039,All Bladder,Males,227,Age-standardised,57.2,49.9,65.2,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,Bladder,E54000044,All Bladder,Males,404,Age-standardised,53,47.9,58.4,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,Bladder,E54000056,All Bladder,Males,202,Age-standardised,52.3,45.3,60.1,E54000056
NHS Cheshire and Merseyside Integrated Care Board,2021,Bladder,E54000008,All Bladder,Males,632,Age-standardised,53.8,49.7,58.2,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,Bladder,E54000036,All Bladder,Males,194,Age-standardised,59.3,51.1,68.3,E54000036
NHS Coventry and Warwickshire Integrated Care Board,2021,Bladder,E54000018,All Bladder,Males,216,Age-standardised,52.1,45.4,59.6,E54000018
NHS Derby and Derbyshire Integrated Care Board,2021,Bladder,E54000058,All Bladder,Males,245,Age-standardised,47.7,41.9,54.2,E54000058
NHS Devon Integrated Care Board,2021,Bladder,E54000037,All Bladder,Males,374,Age-standardised,55.2,49.7,61.1,E54000037
NHS Dorset Integrated Care Board,2021,Bladder,E54000041,All Bladder,Males,267,Age-standardised,57.3,50.6,64.7,E54000041
NHS Frimley Integrated Care Board,2021,Bladder,E54000034,All Bladder,Males,159,Age-standardised,53.1,45.1,62.1,E54000034
NHS Gloucestershire Integrated Care Board,2021,Bladder,E54000043,All Bladder,Males,150,Age-standardised,45.1,38.1,53,E54000043
NHS Greater Manchester Integrated Care Board,2021,Bladder,E54000057,All Bladder,Males,610,Age-standardised,56.3,51.8,61,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,2021,Bladder,E54000042,All Bladder,Males,544,Age-standardised,60.4,55.4,65.7,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,2021,Bladder,E54000019,All Bladder,Males,234,Age-standardised,52.2,45.7,59.4,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,2021,Bladder,E54000025,All Bladder,Males,311,Age-standardised,50.1,44.7,56.1,E54000025
NHS Humber and North Yorkshire Integrated Care Board,2021,Bladder,E54000051,All Bladder,Males,498,Age-standardised,55.9,51.1,61.1,E54000051
NHS Kent and Medway Integrated Care Board,2021,Bladder,E54000032,All Bladder,Males,529,Age-standardised,62,56.8,67.6,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,2021,Bladder,E54000048,All Bladder,Males,445,Age-standardised,52.4,47.6,57.6,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2021,Bladder,E54000015,All Bladder,Males,231,Age-standardised,47.6,41.6,54.2,E54000015
NHS Lincolnshire Integrated Care Board,2021,Bladder,E54000013,All Bladder,Males,245,Age-standardised,56.1,49.3,63.7,E54000013
NHS Mid and South Essex Integrated Care Board,2021,Bladder,E54000026,All Bladder,Males,305,Age-standardised,55.6,49.5,62.3,E54000026
NHS Norfolk and Waveney Integrated Care Board,2021,Bladder,E54000022,All Bladder,Males,349,Age-standardised,57.8,51.9,64.2,E54000022
NHS North Central London Integrated Care Board,2021,Bladder,E54000028,All Bladder,Males,239,Age-standardised,55.5,48.5,63.1,E54000028
NHS North East and North Cumbria Integrated Care Board,2021,Bladder,E54000050,All Bladder,Males,838,Age-standardised,58.3,54.4,62.5,E54000050
NHS North East London Integrated Care Board,2021,Bladder,E54000029,All Bladder,Males,282,Age-standardised,58.5,51.6,66,E54000029
NHS North West London Integrated Care Board,2021,Bladder,E54000027,All Bladder,Males,294,Age-standardised,45.2,40,50.8,E54000027
NHS Northamptonshire Integrated Care Board,2021,Bladder,E54000059,All Bladder,Males,193,Age-standardised,57.9,49.9,66.8,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,Bladder,E54000060,All Bladder,Males,280,Age-standardised,55.4,49,62.3,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,Bladder,E54000011,All Bladder,Males,130,Age-standardised,47.5,39.6,56.5,E54000011
NHS Somerset Integrated Care Board,2021,Bladder,E54000038,All Bladder,Males,206,Age-standardised,62.1,53.8,71.2,E54000038
NHS South East London Integrated Care Board,2021,Bladder,E54000030,All Bladder,Males,232,Age-standardised,45.4,39.5,51.8,E54000030
NHS South West London Integrated Care Board,2021,Bladder,E54000031,All Bladder,Males,251,Age-standardised,52.5,46.1,59.6,E54000031
NHS South Yorkshire Integrated Care Board,2021,Bladder,E54000061,All Bladder,Males,351,Age-standardised,58.7,52.6,65.2,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,Bladder,E54000010,All Bladder,Males,297,Age-standardised,53,47,59.4,E54000010
NHS Suffolk and North East Essex Integrated Care Board,2021,Bladder,E54000023,All Bladder,Males,318,Age-standardised,59.7,53.2,66.6,E54000023
NHS Surrey Heartlands Integrated Care Board,2021,Bladder,E54000063,All Bladder,Males,292,Age-standardised,61.6,54.7,69.1,E54000063
NHS Sussex Integrated Care Board,2021,Bladder,E54000064,All Bladder,Males,528,Age-standardised,59.5,54.5,64.8,E54000064
NHS West Yorkshire Integrated Care Board,2021,Bladder,E54000054,All Bladder,Males,604,Age-standardised,63.6,58.6,69,E54000054
