icb23cd,Count,Gender,Year,Geography_name,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,ICB23CD
E54000008,1207,Males,2021,NHS Cheshire and Merseyside Integrated Care Board,Bowel,All Bowel,Age-standardised,100.2,94.6,106.1,E54000008
E54000010,568,Males,2021,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Bowel,All Bowel,Age-standardised,99.1,91.1,107.7,E54000010
E54000011,278,Males,2021,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Bowel,All Bowel,Age-standardised,102.3,90.6,115.2,E54000011
E54000013,427,Males,2021,NHS Lincolnshire Integrated Care Board,Bowel,All Bowel,Age-standardised,100.3,90.9,110.3,E54000013
E54000015,383,Males,2021,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Bowel,All Bowel,Age-standardised,77.9,70.2,86.1,E54000015
E54000018,393,Males,2021,NHS Coventry and Warwickshire Integrated Care Board,Bowel,All Bowel,Age-standardised,94,84.9,103.8,E54000018
E54000019,449,Males,2021,NHS Herefordshire and Worcestershire Integrated Care Board,Bowel,All Bowel,Age-standardised,102.6,93.3,112.6,E54000019
E54000022,540,Males,2021,NHS Norfolk and Waveney Integrated Care Board,Bowel,All Bowel,Age-standardised,91,83.4,99,E54000022
E54000023,465,Males,2021,NHS Suffolk and North East Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,88.5,80.6,97,E54000023
E54000024,316,Males,2021,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Bowel,All Bowel,Age-standardised,82.4,73.5,92.2,E54000024
E54000025,532,Males,2021,NHS Hertfordshire and West Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,83.5,76.5,91,E54000025
E54000026,477,Males,2021,NHS Mid and South Essex Integrated Care Board,Bowel,All Bowel,Age-standardised,86.6,79,94.8,E54000026
E54000027,508,Males,2021,NHS North West London Integrated Care Board,Bowel,All Bowel,Age-standardised,74.1,67.6,81,E54000027
E54000028,372,Males,2021,NHS North Central London Integrated Care Board,Bowel,All Bowel,Age-standardised,82.1,73.8,91.1,E54000028
E54000029,475,Males,2021,NHS North East London Integrated Care Board,Bowel,All Bowel,Age-standardised,87.8,79.7,96.5,E54000029
E54000030,533,Males,2021,NHS South East London Integrated Care Board,Bowel,All Bowel,Age-standardised,94.8,86.7,103.5,E54000030
E54000031,406,Males,2021,NHS South West London Integrated Care Board,Bowel,All Bowel,Age-standardised,79.3,71.6,87.6,E54000031
E54000032,804,Males,2021,NHS Kent and Medway Integrated Care Board,Bowel,All Bowel,Age-standardised,92,85.7,98.6,E54000032
E54000034,316,Males,2021,NHS Frimley Integrated Care Board,Bowel,All Bowel,Age-standardised,103.6,92.4,115.8,E54000034
E54000036,301,Males,2021,NHS Cornwall and the Isles of Scilly Integrated Care Board,Bowel,All Bowel,Age-standardised,90.1,80.1,101,E54000036
E54000037,654,Males,2021,NHS Devon Integrated Care Board,Bowel,All Bowel,Age-standardised,95.9,88.6,103.6,E54000037
E54000038,294,Males,2021,NHS Somerset Integrated Care Board,Bowel,All Bowel,Age-standardised,89.7,79.7,100.7,E54000038
E54000039,392,Males,2021,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Bowel,All Bowel,Age-standardised,95.8,86.5,105.8,E54000039
E54000040,405,Males,2021,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Bowel,All Bowel,Age-standardised,90.3,81.7,99.6,E54000040
E54000041,383,Males,2021,NHS Dorset Integrated Care Board,Bowel,All Bowel,Age-standardised,84.9,76.6,94,E54000041
E54000042,874,Males,2021,NHS Hampshire and Isle of Wight Integrated Care Board,Bowel,All Bowel,Age-standardised,97.2,90.9,103.9,E54000042
E54000043,330,Males,2021,NHS Gloucestershire Integrated Care Board,Bowel,All Bowel,Age-standardised,99.9,89.4,111.4,E54000043
E54000044,741,Males,2021,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Bowel,All Bowel,Age-standardised,95.4,88.6,102.5,E54000044
E54000048,824,Males,2021,NHS Lancashire and South Cumbria Integrated Care Board,Bowel,All Bowel,Age-standardised,96,89.5,102.9,E54000048
E54000050,1484,Males,2021,NHS North East and North Cumbria Integrated Care Board,Bowel,All Bowel,Age-standardised,102.2,97,107.6,E54000050
E54000051,877,Males,2021,NHS Humber and North Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,97.4,91,104.1,E54000051
E54000054,918,Males,2021,NHS West Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,92.5,86.6,98.8,E54000054
E54000055,453,Males,2021,NHS Birmingham and Solihull Integrated Care Board,Bowel,All Bowel,Age-standardised,93,84.5,102,E54000055
E54000056,369,Males,2021,NHS Cambridgeshire and Peterborough Integrated Care Board,Bowel,All Bowel,Age-standardised,93.9,84.5,104.1,E54000056
E54000057,1138,Males,2021,NHS Greater Manchester Integrated Care Board,Bowel,All Bowel,Age-standardised,101,95.2,107.2,E54000057
E54000058,487,Males,2021,NHS Derby and Derbyshire Integrated Care Board,Bowel,All Bowel,Age-standardised,93.3,85.1,102.1,E54000058
E54000059,341,Males,2021,NHS Northamptonshire Integrated Care Board,Bowel,All Bowel,Age-standardised,98.1,87.9,109.2,E54000059
E54000060,488,Males,2021,NHS Nottingham and Nottinghamshire Integrated Care Board,Bowel,All Bowel,Age-standardised,95.3,87,104.3,E54000060
E54000061,600,Males,2021,NHS South Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,96.2,88.6,104.3,E54000061
E54000062,462,Males,2021,NHS Black Country Integrated Care Board,Bowel,All Bowel,Age-standardised,91.7,83.5,100.5,E54000062
E54000063,396,Males,2021,NHS Surrey Heartlands Integrated Care Board,Bowel,All Bowel,Age-standardised,82.5,74.6,91.1,E54000063
E54000064,806,Males,2021,NHS Sussex Integrated Care Board,Bowel,All Bowel,Age-standardised,91.2,85,97.8,E54000064
