Geography_name,Year,icb23cd,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI,Gender,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2022,E54000040,Brain,All Brain,88,Age-standardised,19,15.2,23.4,Males,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2022,E54000024,Brain,All Brain,75,Age-standardised,16.6,13,20.9,Males,E54000024
NHS Birmingham and Solihull Integrated Care Board,2022,E54000055,Brain,All Brain,109,Age-standardised,19.7,16.1,23.8,Males,E54000055
NHS Black Country Integrated Care Board,2022,E54000062,Brain,All Brain,89,Age-standardised,15.8,12.7,19.5,Males,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2022,E54000039,Brain,All Brain,116,Age-standardised,26.1,21.6,31.4,Males,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2022,E54000044,Brain,All Brain,145,Age-standardised,17.7,14.9,20.8,Males,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,2022,E54000056,Brain,All Brain,86,Age-standardised,20,16,24.8,Males,E54000056
NHS Cheshire and Merseyside Integrated Care Board,2022,E54000008,Brain,All Brain,215,Age-standardised,17.2,15,19.7,Males,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,2022,E54000036,Brain,All Brain,80,Age-standardised,25.3,19.9,31.5,Males,E54000036
NHS Coventry and Warwickshire Integrated Care Board,2022,E54000018,Brain,All Brain,68,Age-standardised,15.2,11.8,19.3,Males,E54000018
NHS Derby and Derbyshire Integrated Care Board,2022,E54000058,Brain,All Brain,103,Age-standardised,19.6,16,23.8,Males,E54000058
NHS Devon Integrated Care Board,2022,E54000037,Brain,All Brain,142,Age-standardised,21.8,18.3,25.8,Males,E54000037
NHS Dorset Integrated Care Board,2022,E54000041,Brain,All Brain,77,Age-standardised,17.6,13.8,22.1,Males,E54000041
NHS Frimley Integrated Care Board,2022,E54000034,Brain,All Brain,48,Age-standardised,14.1,10.3,18.7,Males,E54000034
NHS Gloucestershire Integrated Care Board,2022,E54000043,Brain,All Brain,77,Age-standardised,23.4,18.4,29.3,Males,E54000043
NHS Greater Manchester Integrated Care Board,2022,E54000057,Brain,All Brain,188,Age-standardised,15.3,13.1,17.7,Males,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,2022,E54000042,Brain,All Brain,166,Age-standardised,18.3,15.6,21.4,Males,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,2022,E54000019,Brain,All Brain,79,Age-standardised,18.6,14.7,23.2,Males,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,2022,E54000025,Brain,All Brain,122,Age-standardised,17.8,14.8,21.3,Males,E54000025
NHS Humber and North Yorkshire Integrated Care Board,2022,E54000051,Brain,All Brain,262,Age-standardised,29.7,26.2,33.6,Males,E54000051
NHS Kent and Medway Integrated Care Board,2022,E54000032,Brain,All Brain,112,Age-standardised,12.8,10.5,15.4,Males,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,2022,E54000048,Brain,All Brain,103,Age-standardised,12,9.7,14.5,Males,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2022,E54000015,Brain,All Brain,87,Age-standardised,16.4,13.1,20.2,Males,E54000015
NHS Lincolnshire Integrated Care Board,2022,E54000013,Brain,All Brain,93,Age-standardised,22.7,18.2,27.8,Males,E54000013
NHS Mid and South Essex Integrated Care Board,2022,E54000026,Brain,All Brain,84,Age-standardised,14.5,11.6,18,Males,E54000026
NHS Norfolk and Waveney Integrated Care Board,2022,E54000022,Brain,All Brain,104,Age-standardised,18.7,15.2,22.7,Males,E54000022
NHS North Central London Integrated Care Board,2022,E54000028,Brain,All Brain,86,Age-standardised,15,11.9,18.7,Males,E54000028
NHS North East and North Cumbria Integrated Care Board,2022,E54000050,Brain,All Brain,278,Age-standardised,18.9,16.7,21.2,Males,E54000050
NHS North East London Integrated Care Board,2022,E54000029,Brain,All Brain,124,Age-standardised,17.7,14.5,21.4,Males,E54000029
NHS North West London Integrated Care Board,2022,E54000027,Brain,All Brain,180,Age-standardised,21.6,18.4,25.1,Males,E54000027
NHS Northamptonshire Integrated Care Board,2022,E54000059,Brain,All Brain,56,Age-standardised,15.6,11.8,20.4,Males,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,2022,E54000060,Brain,All Brain,106,Age-standardised,20,16.3,24.2,Males,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2022,E54000011,Brain,All Brain,39,Age-standardised,14.5,10.3,19.9,Males,E54000011
NHS Somerset Integrated Care Board,2022,E54000038,Brain,All Brain,63,Age-standardised,20.3,15.5,26,Males,E54000038
NHS South East London Integrated Care Board,2022,E54000030,Brain,All Brain,70,Age-standardised,10.1,7.8,12.9,Males,E54000030
NHS South West London Integrated Care Board,2022,E54000031,Brain,All Brain,82,Age-standardised,13,10.2,16.2,Males,E54000031
NHS South Yorkshire Integrated Care Board,2022,E54000061,Brain,All Brain,102,Age-standardised,15.9,12.9,19.3,Males,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022,E54000010,Brain,All Brain,118,Age-standardised,20.9,17.2,25.1,Males,E54000010
