Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,E54000040,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,15,3.4,1.9,5.6
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,E54000024,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,16,3.5,2,5.8
NHS Birmingham and Solihull Integrated Care Board,2021,E54000055,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,34,6,4.1,8.5
NHS Black Country Integrated Care Board,2021,E54000062,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,20,3.6,2.2,5.6
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,E54000039,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,15,3.2,1.8,5.3
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,E54000044,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,29,3.5,2.3,5
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,E54000056,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,27,6.2,4.1,9.1
NHS Cheshire and Merseyside Integrated Care Board,2021,E54000008,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,52,4.4,3.2,5.7
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,E54000036,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,12,4.2,2.1,7.4
NHS Coventry and Warwickshire Integrated Care Board,2021,E54000018,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,31,7.1,4.8,10.1
NHS Derby and Derbyshire Integrated Care Board,2021,E54000058,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,22,4.3,2.7,6.5
