Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.6,13,20.8,75,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.6,12.7,21.4,62,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19.4,15.7,23.8,96,E54000055
NHS Black Country Integrated Care Board,E54000062,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.1,16.4,24.4,102,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,17.6,13.8,22.2,72,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15,12.3,18,113,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.9,12.2,20.3,64,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.4,17.9,23.2,241,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.2,15.5,25.9,64,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21,16.8,25.9,88,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22,18.1,26.5,114,E54000058
