Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,17.3,13.8,21.6,81
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16.9,13,21.7,64
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.6,15,22.9,91
NHS Black Country Integrated Care Board,E54000062,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.9,18.9,27.5,117
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,20.5,16.3,25.4,84
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.2,15.3,21.4,143
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.8,12.1,20.2,64
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.4,19.8,25.2,272
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19,14.6,24.1,66
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,16,12.4,20.3,68
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.5,15,22.6,98
NHS Devon Integrated Care Board,E54000037,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.8,12.9,19,110
NHS Dorset Integrated Care Board,E54000041,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.8,15,23.3,85
NHS Frimley Integrated Care Board,E54000034,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.3,11.2,20.3,48
NHS Gloucestershire Integrated Care Board,E54000043,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19,14.7,24.1,66
NHS Greater Manchester Integrated Care Board,E54000057,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.9,19.2,24.9,249
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.6,15.9,21.6,169
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,17.2,13.6,21.6,77
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.5,12.6,18.9,99
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18,15.3,20.9,166
NHS Kent and Medway Integrated Care Board,E54000032,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.6,12.2,17.4,128
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.5,18.5,24.8,187
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.4,12.2,19.3,78
NHS Lincolnshire Integrated Care Board,E54000013,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.1,14.3,22.7,78
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.6,12.5,19.3,87
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.3,10.6,16.5,83
NHS North Central London Integrated Care Board,E54000028,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.1,17,25.9,96
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22,19.7,24.6,323
NHS North East London Integrated Care Board,E54000029,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,22.5,18.5,27,123
NHS North West London Integrated Care Board,E54000027,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,23.8,20.2,28,157
NHS Northamptonshire Integrated Care Board,E54000059,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,12.7,9.2,17.1,44
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,21.3,17.4,25.7,110
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,15.2,11,20.5,43
NHS Somerset Integrated Care Board,E54000038,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,13.9,10.2,18.5,47
NHS South East London Integrated Care Board,E54000030,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,25.6,21.5,30.3,143
NHS South West London Integrated Care Board,E54000031,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,14.7,11.5,18.5,74
NHS South Yorkshire Integrated Care Board,E54000061,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,18.8,15.6,22.5,120
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,19,15.5,23,108
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2022,Liver and biliary tract,All Liver and biliary tract,Age-standardised,11.3,8.6,14.6,60
