Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",2021,E54000040,Males,Head and neck,All Head and neck,106,Age-standardised,23,18.8,27.9
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",2021,E54000024,Males,Head and neck,All Head and neck,124,Age-standardised,29.9,24.8,35.7
NHS Birmingham and Solihull Integrated Care Board,2021,E54000055,Males,Head and neck,All Head and neck,147,Age-standardised,28.2,23.8,33.2
NHS Black Country Integrated Care Board,2021,E54000062,Males,Head and neck,All Head and neck,159,Age-standardised,30.1,25.6,35.1
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",2021,E54000039,Males,Head and neck,All Head and neck,107,Age-standardised,25.5,20.9,30.8
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",2021,E54000044,Males,Head and neck,All Head and neck,181,Age-standardised,22.4,19.2,25.9
NHS Cambridgeshire and Peterborough Integrated Care Board,2021,E54000056,Males,Head and neck,All Head and neck,95,Age-standardised,23.2,18.8,28.4
NHS Cheshire and Merseyside Integrated Care Board,2021,E54000008,Males,Head and neck,All Head and neck,451,Age-standardised,36.7,33.4,40.3
NHS Cornwall and the Isles of Scilly Integrated Care Board,2021,E54000036,Males,Head and neck,All Head and neck,111,Age-standardised,34.6,28.3,41.7
NHS Coventry and Warwickshire Integrated Care Board,2021,E54000018,Males,Head and neck,All Head and neck,128,Age-standardised,29.9,24.9,35.5
NHS Derby and Derbyshire Integrated Care Board,2021,E54000058,Males,Head and neck,All Head and neck,160,Age-standardised,29.8,25.3,34.8
NHS Devon Integrated Care Board,2021,E54000037,Males,Head and neck,All Head and neck,218,Age-standardised,32.8,28.5,37.4
NHS Dorset Integrated Care Board,2021,E54000041,Males,Head and neck,All Head and neck,135,Age-standardised,31.4,26.3,37.2
NHS Frimley Integrated Care Board,2021,E54000034,Males,Head and neck,All Head and neck,109,Age-standardised,33.7,27.6,40.8
NHS Gloucestershire Integrated Care Board,2021,E54000043,Males,Head and neck,All Head and neck,78,Age-standardised,23.7,18.7,29.7
NHS Greater Manchester Integrated Care Board,2021,E54000057,Males,Head and neck,All Head and neck,433,Age-standardised,36.1,32.7,39.7
