Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Oesophagus,All Oesophagus,Age-standardised,112,25,20.6,30.2
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Oesophagus,All Oesophagus,Age-standardised,86,22.4,17.8,27.7
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Oesophagus,All Oesophagus,Age-standardised,105,21.9,17.9,26.6
NHS Black Country Integrated Care Board,E54000062,Males,2021,Oesophagus,All Oesophagus,Age-standardised,107,21.4,17.5,25.9
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Oesophagus,All Oesophagus,Age-standardised,116,28.5,23.6,34.3
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Oesophagus,All Oesophagus,Age-standardised,185,24,20.6,27.7
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Oesophagus,All Oesophagus,Age-standardised,101,26.1,21.2,31.7
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Oesophagus,All Oesophagus,Age-standardised,341,28.3,25.4,31.5
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Oesophagus,All Oesophagus,Age-standardised,74,22.5,17.6,28.2
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Oesophagus,All Oesophagus,Age-standardised,111,26.8,22,32.3
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Oesophagus,All Oesophagus,Age-standardised,145,27.3,23,32.2
NHS Devon Integrated Care Board,E54000037,Males,2021,Oesophagus,All Oesophagus,Age-standardised,179,25.9,22.2,30
NHS Dorset Integrated Care Board,E54000041,Males,2021,Oesophagus,All Oesophagus,Age-standardised,99,21.9,17.8,26.7
NHS Frimley Integrated Care Board,E54000034,Males,2021,Oesophagus,All Oesophagus,Age-standardised,63,20.8,16,26.7
NHS Gloucestershire Integrated Care Board,E54000043,Males,2021,Oesophagus,All Oesophagus,Age-standardised,80,23.4,18.5,29.1
NHS Greater Manchester Integrated Care Board,E54000057,Males,2021,Oesophagus,All Oesophagus,Age-standardised,309,27.4,24.4,30.6
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2021,Oesophagus,All Oesophagus,Age-standardised,226,25,21.8,28.4
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2021,Oesophagus,All Oesophagus,Age-standardised,106,24.4,20,29.6
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2021,Oesophagus,All Oesophagus,Age-standardised,130,20.3,16.9,24.1
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2021,Oesophagus,All Oesophagus,Age-standardised,246,27.2,23.9,30.8
NHS Kent and Medway Integrated Care Board,E54000032,Males,2021,Oesophagus,All Oesophagus,Age-standardised,214,24.6,21.4,28.2
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2021,Oesophagus,All Oesophagus,Age-standardised,255,29.3,25.8,33.1
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2021,Oesophagus,All Oesophagus,Age-standardised,110,22,18.1,26.5
NHS Lincolnshire Integrated Care Board,E54000013,Males,2021,Oesophagus,All Oesophagus,Age-standardised,122,28.3,23.4,33.8
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2021,Oesophagus,All Oesophagus,Age-standardised,153,27.7,23.4,32.4
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2021,Oesophagus,All Oesophagus,Age-standardised,144,23.8,20.1,28.1
NHS North Central London Integrated Care Board,E54000028,Males,2021,Oesophagus,All Oesophagus,Age-standardised,76,17.4,13.6,21.9
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2021,Oesophagus,All Oesophagus,Age-standardised,399,26.9,24.3,29.7
NHS North East London Integrated Care Board,E54000029,Males,2021,Oesophagus,All Oesophagus,Age-standardised,108,20.5,16.7,24.9
NHS North West London Integrated Care Board,E54000027,Males,2021,Oesophagus,All Oesophagus,Age-standardised,119,17.4,14.4,20.9
NHS Northamptonshire Integrated Care Board,E54000059,Males,2021,Oesophagus,All Oesophagus,Age-standardised,86,25.6,20.4,31.7
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2021,Oesophagus,All Oesophagus,Age-standardised,146,28.1,23.7,33.1
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2021,Oesophagus,All Oesophagus,Age-standardised,64,23.2,17.8,29.7
NHS Somerset Integrated Care Board,E54000038,Males,2021,Oesophagus,All Oesophagus,Age-standardised,82,25.2,20,31.3
NHS South East London Integrated Care Board,E54000030,Males,2021,Oesophagus,All Oesophagus,Age-standardised,127,24.4,20.2,29.2
NHS South West London Integrated Care Board,E54000031,Males,2021,Oesophagus,All Oesophagus,Age-standardised,79,15.4,12.1,19.3
NHS South Yorkshire Integrated Care Board,E54000061,Males,2021,Oesophagus,All Oesophagus,Age-standardised,178,28.9,24.7,33.5
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2021,Oesophagus,All Oesophagus,Age-standardised,176,30.7,26.3,35.6
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2021,Oesophagus,All Oesophagus,Age-standardised,157,29.9,25.3,34.9
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2021,Oesophagus,All Oesophagus,Age-standardised,115,24.3,20,29.1
NHS Sussex Integrated Care Board,E54000064,Males,2021,Oesophagus,All Oesophagus,Age-standardised,247,28,24.6,31.7
NHS West Yorkshire Integrated Care Board,E54000054,Males,2021,Oesophagus,All Oesophagus,Age-standardised,251,25.4,22.3,28.8
