Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2022,Oesophagus,All Oesophagus,Age-standardised,103,22,17.9,26.6,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2022,Oesophagus,All Oesophagus,Age-standardised,101,25.4,20.6,30.9,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2022,Oesophagus,All Oesophagus,Age-standardised,126,25.7,21.4,30.7,E54000055
NHS Black Country Integrated Care Board,E54000062,Males,2022,Oesophagus,All Oesophagus,Age-standardised,139,26.8,22.5,31.6,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2022,Oesophagus,All Oesophagus,Age-standardised,116,28.4,23.4,34.1,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2022,Oesophagus,All Oesophagus,Age-standardised,203,25.7,22.3,29.5,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2022,Oesophagus,All Oesophagus,Age-standardised,94,23.4,18.9,28.7,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2022,Oesophagus,All Oesophagus,Age-standardised,374,30.6,27.5,33.9,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2022,Oesophagus,All Oesophagus,Age-standardised,93,27.4,22.1,33.7,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2022,Oesophagus,All Oesophagus,Age-standardised,132,30.8,25.7,36.6,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2022,Oesophagus,All Oesophagus,Age-standardised,166,31.3,26.6,36.5,E54000058
NHS Devon Integrated Care Board,E54000037,Males,2022,Oesophagus,All Oesophagus,Age-standardised,202,29,25.1,33.3,E54000037
NHS Dorset Integrated Care Board,E54000041,Males,2022,Oesophagus,All Oesophagus,Age-standardised,103,22.2,18.1,27,E54000041
NHS Frimley Integrated Care Board,E54000034,Males,2022,Oesophagus,All Oesophagus,Age-standardised,59,18.9,14.3,24.4,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Males,2022,Oesophagus,All Oesophagus,Age-standardised,70,20.3,15.8,25.7,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Males,2022,Oesophagus,All Oesophagus,Age-standardised,319,27.8,24.8,31.1,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2022,Oesophagus,All Oesophagus,Age-standardised,229,24.8,21.7,28.3,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2022,Oesophagus,All Oesophagus,Age-standardised,120,27,22.3,32.3,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2022,Oesophagus,All Oesophagus,Age-standardised,166,26.1,22.2,30.4,E54000025
