Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Pancreas,All Pancreas,92,Age-standardised,20.2,16.3,24.8,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Pancreas,All Pancreas,75,Age-standardised,20.1,15.7,25.3,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Pancreas,All Pancreas,79,Age-standardised,16.5,13,20.6,E54000055
NHS Black Country Integrated Care Board,E54000062,Males,2021,Pancreas,All Pancreas,91,Age-standardised,18.3,14.7,22.5,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Pancreas,All Pancreas,78,Age-standardised,19.1,15.1,23.8,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Pancreas,All Pancreas,111,Age-standardised,14.6,12,17.6,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Pancreas,All Pancreas,66,Age-standardised,17,13.1,21.7,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Pancreas,All Pancreas,228,Age-standardised,19.2,16.7,21.9,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Pancreas,All Pancreas,65,Age-standardised,19.4,14.9,24.7,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Pancreas,All Pancreas,76,Age-standardised,17.7,14,22.2,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Pancreas,All Pancreas,96,Age-standardised,18.5,14.9,22.6,E54000058
NHS Devon Integrated Care Board,E54000037,Males,2021,Pancreas,All Pancreas,139,Age-standardised,20.3,17,23.9,E54000037
NHS Dorset Integrated Care Board,E54000041,Males,2021,Pancreas,All Pancreas,109,Age-standardised,24.4,20,29.5,E54000041
NHS Frimley Integrated Care Board,E54000034,Males,2021,Pancreas,All Pancreas,56,Age-standardised,18.4,13.8,23.9,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Males,2021,Pancreas,All Pancreas,51,Age-standardised,15.1,11.3,19.9,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Males,2021,Pancreas,All Pancreas,230,Age-standardised,21,18.4,24,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2021,Pancreas,All Pancreas,176,Age-standardised,19.6,16.8,22.7,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2021,Pancreas,All Pancreas,94,Age-standardised,22,17.7,27,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2021,Pancreas,All Pancreas,109,Age-standardised,17.2,14.1,20.8,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2021,Pancreas,All Pancreas,183,Age-standardised,20.5,17.6,23.7,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Males,2021,Pancreas,All Pancreas,167,Age-standardised,19.5,16.6,22.7,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2021,Pancreas,All Pancreas,146,Age-standardised,16.8,14.2,19.8,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2021,Pancreas,All Pancreas,88,Age-standardised,17.8,14.2,21.9,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Males,2021,Pancreas,All Pancreas,92,Age-standardised,21.5,17.3,26.4,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2021,Pancreas,All Pancreas,101,Age-standardised,18.9,15.3,23,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2021,Pancreas,All Pancreas,125,Age-standardised,21.5,17.9,25.6,E54000022
NHS North Central London Integrated Care Board,E54000028,Males,2021,Pancreas,All Pancreas,70,Age-standardised,16.5,12.8,20.9,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2021,Pancreas,All Pancreas,297,Age-standardised,20.5,18.2,23.1,E54000050
NHS North East London Integrated Care Board,E54000029,Males,2021,Pancreas,All Pancreas,100,Age-standardised,19.7,15.9,24.2,E54000029
NHS North West London Integrated Care Board,E54000027,Males,2021,Pancreas,All Pancreas,147,Age-standardised,22,18.5,25.9,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Males,2021,Pancreas,All Pancreas,65,Age-standardised,18.9,14.5,24.1,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2021,Pancreas,All Pancreas,113,Age-standardised,21.7,17.9,26.1,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2021,Pancreas,All Pancreas,51,Age-standardised,18.4,13.7,24.2,E54000011
NHS Somerset Integrated Care Board,E54000038,Males,2021,Pancreas,All Pancreas,71,Age-standardised,22,17.2,27.8,E54000038
