icb23cd,Geography_Name,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,LCI,Rate,UCI
E54000008,NHS Cheshire and Merseyside Integrated Care Board,Males,2022,Prostate,All Prostate,2321,Age-standardised,181.7,189.4,197.3
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Males,2022,Prostate,All Prostate,1121,Age-standardised,178.9,189.9,201.5
E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Males,2022,Prostate,All Prostate,558,Age-standardised,180.6,196.6,213.7
E54000013,NHS Lincolnshire Integrated Care Board,Males,2022,Prostate,All Prostate,909,Age-standardised,191.2,204.3,218.2
E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Males,2022,Prostate,All Prostate,922,Age-standardised,171,182.7,194.9
E54000018,NHS Coventry and Warwickshire Integrated Care Board,Males,2022,Prostate,All Prostate,798,Age-standardised,174,186.8,200.3
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Males,2022,Prostate,All Prostate,922,Age-standardised,190.8,203.8,217.4
E54000022,NHS Norfolk and Waveney Integrated Care Board,Males,2022,Prostate,All Prostate,1099,Age-standardised,169.1,179.7,190.7
E54000023,NHS Suffolk and North East Essex Integrated Care Board,Males,2022,Prostate,All Prostate,1222,Age-standardised,211.7,224.1,237.1
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Males,2022,Prostate,All Prostate,974,Age-standardised,231.5,246.9,263
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Males,2022,Prostate,All Prostate,1594,Age-standardised,234.5,246.5,259
E54000026,NHS Mid and South Essex Integrated Care Board,Males,2022,Prostate,All Prostate,1068,Age-standardised,178.4,189.7,201.5
E54000027,NHS North West London Integrated Care Board,Males,2022,Prostate,All Prostate,1711,Age-standardised,236.6,248.4,260.7
E54000028,NHS North Central London Integrated Care Board,Males,2022,Prostate,All Prostate,1256,Age-standardised,259.8,275.1,291.1
E54000029,NHS North East London Integrated Care Board,Males,2022,Prostate,All Prostate,1376,Age-standardised,237.7,251.2,265.3
E54000030,NHS South East London Integrated Care Board,Males,2022,Prostate,All Prostate,1526,Age-standardised,250.2,263.7,277.6
E54000031,NHS South West London Integrated Care Board,Males,2022,Prostate,All Prostate,1329,Age-standardised,243.6,257.5,271.9
E54000032,NHS Kent and Medway Integrated Care Board,Males,2022,Prostate,All Prostate,2273,Age-standardised,245,255.4,266.2
E54000034,NHS Frimley Integrated Care Board,Males,2022,Prostate,All Prostate,564,Age-standardised,163.4,177.9,193.3
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Males,2022,Prostate,All Prostate,796,Age-standardised,216.1,232.1,248.9
E54000037,NHS Devon Integrated Care Board,Males,2022,Prostate,All Prostate,1470,Age-standardised,197.2,207.7,218.6
E54000038,NHS Somerset Integrated Care Board,Males,2022,Prostate,All Prostate,698,Age-standardised,188.6,203.5,219.2
E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Males,2022,Prostate,All Prostate,870,Age-standardised,198.6,212.5,227.2
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Males,2022,Prostate,All Prostate,886,Age-standardised,178.7,191.1,204.1
E54000041,NHS Dorset Integrated Care Board,Males,2022,Prostate,All Prostate,973,Age-standardised,196.4,209.4,223.1
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Males,2022,Prostate,All Prostate,2312,Age-standardised,239.3,249.4,259.8
E54000043,NHS Gloucestershire Integrated Care Board,Males,2022,Prostate,All Prostate,638,Age-standardised,173.7,188.1,203.3
E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Males,2022,Prostate,All Prostate,1731,Age-standardised,209.6,219.9,230.5
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Males,2022,Prostate,All Prostate,1574,Age-standardised,168.2,176.9,185.9
E54000050,NHS North East and North Cumbria Integrated Care Board,Males,2022,Prostate,All Prostate,2878,Age-standardised,181.9,188.7,195.8
E54000051,NHS Humber and North Yorkshire Integrated Care Board,Males,2022,Prostate,All Prostate,1743,Age-standardised,179.6,188.4,197.5
E54000054,NHS West Yorkshire Integrated Care Board,Males,2022,Prostate,All Prostate,2264,Age-standardised,214.8,224,233.5
E54000055,NHS Birmingham and Solihull Integrated Care Board,Males,2022,Prostate,All Prostate,879,Age-standardised,168.2,179.9,192.3
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Males,2022,Prostate,All Prostate,891,Age-standardised,206.3,220.6,235.6
E54000057,NHS Greater Manchester Integrated Care Board,Males,2022,Prostate,All Prostate,2088,Age-standardised,174.8,182.7,190.8
E54000058,NHS Derby and Derbyshire Integrated Care Board,Males,2022,Prostate,All Prostate,1024,Age-standardised,175.5,186.8,198.7
E54000059,NHS Northamptonshire Integrated Care Board,Males,2022,Prostate,All Prostate,681,Age-standardised,180.1,194.6,209.9
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Males,2022,Prostate,All Prostate,1044,Age-standardised,186.2,198.1,210.6
E54000061,NHS South Yorkshire Integrated Care Board,Males,2022,Prostate,All Prostate,1370,Age-standardised,205.1,216.5,228.4
E54000062,NHS Black Country Integrated Care Board,Males,2022,Prostate,All Prostate,1043,Age-standardised,190.3,202.5,215.2
E54000063,NHS Surrey Heartlands Integrated Care Board,Males,2022,Prostate,All Prostate,1266,Age-standardised,248.4,262.7,277.6
E54000064,NHS Sussex Integrated Care Board,Males,2022,Prostate,All Prostate,2070,Age-standardised,219.5,229.3,239.5
