Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,30,Age-standardised,6.8,4.5,9.7
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,4.7,2.7,7.7
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,27,Age-standardised,5.6,3.7,8.2
NHS Black Country Integrated Care Board,E54000062,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,31,Age-standardised,6.2,4.2,8.8
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,43,Age-standardised,10.6,7.6,14.2
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,45,Age-standardised,6.1,4.4,8.2
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,16,Age-standardised,4.1,2.4,6.8
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,79,Age-standardised,6.6,5.2,8.3
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,28,Age-standardised,8.6,5.6,12.5
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,27,Age-standardised,6.3,4.2,9.2
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,29,Age-standardised,5.4,3.6,7.8
NHS Devon Integrated Care Board,E54000037,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,40,Age-standardised,5.8,4.1,7.9
NHS Dorset Integrated Care Board,E54000041,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,27,Age-standardised,5.8,3.8,8.4
NHS Frimley Integrated Care Board,E54000034,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,20,Age-standardised,6.8,4.1,10.5
NHS Gloucestershire Integrated Care Board,E54000043,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,22,Age-standardised,6.5,4.1,9.8
NHS Greater Manchester Integrated Care Board,E54000057,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,88,Age-standardised,8,6.4,9.9
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,68,Age-standardised,7.5,5.9,9.6
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,23,Age-standardised,5.3,3.4,8
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,4,2.6,5.9
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,68,Age-standardised,7.5,5.9,9.6
NHS Kent and Medway Integrated Care Board,E54000032,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,62,Age-standardised,7.2,5.5,9.2
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,42,Age-standardised,4.9,3.6,6.7
