Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2021,Small intestine,All Small intestine,Age-standardised,4.2,2.5,6.6,19,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2021,Small intestine,All Small intestine,Age-standardised,5.8,3.7,8.7,23,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2021,Small intestine,All Small intestine,Age-standardised,2.7,1.4,4.5,14,E54000055
NHS Black Country Integrated Care Board,E54000062,Males,2021,Small intestine,All Small intestine,Age-standardised,3.6,2.1,5.6,19,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2021,Small intestine,All Small intestine,Age-standardised,4.4,2.6,7,18,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2021,Small intestine,All Small intestine,Age-standardised,4.5,3.1,6.3,34,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2021,Small intestine,All Small intestine,Age-standardised,3.6,2,6,15,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2021,Small intestine,All Small intestine,Age-standardised,2.7,1.8,3.8,32,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2021,Small intestine,All Small intestine,Age-standardised,3.8,1.9,6.8,12,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2021,Small intestine,All Small intestine,Age-standardised,2.6,1.3,4.7,11,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2021,Small intestine,All Small intestine,Age-standardised,4.4,2.8,6.5,24,E54000058
NHS Devon Integrated Care Board,E54000037,Males,2021,Small intestine,All Small intestine,Age-standardised,3.3,2.1,5,23,E54000037
NHS Dorset Integrated Care Board,E54000041,Males,2021,Small intestine,All Small intestine,Age-standardised,3.4,1.9,5.7,15,E54000041
NHS Frimley Integrated Care Board,E54000034,Males,2021,Small intestine,All Small intestine,Age-standardised,4.2,2.2,7.2,13,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Males,2021,Small intestine,All Small intestine,Age-standardised,,,,7,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Males,2021,Small intestine,All Small intestine,Age-standardised,3,2.1,4.2,36,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2021,Small intestine,All Small intestine,Age-standardised,4.6,3.3,6.3,41,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2021,Small intestine,All Small intestine,Age-standardised,5.3,3.4,7.8,24,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2021,Small intestine,All Small intestine,Age-standardised,3.5,2.2,5.2,22,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2021,Small intestine,All Small intestine,Age-standardised,3.9,2.7,5.4,35,E54000051
