Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,2.9,7.2,21
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,2.8,7.4,19
NHS Birmingham and Solihull Integrated Care Board,E54000055,Males,2022,Small intestine,All Small intestine,Age-standardised,5.3,3.4,7.7,26
NHS Black Country Integrated Care Board,E54000062,Males,2022,Small intestine,All Small intestine,Age-standardised,5.1,3.3,7.5,26
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Males,2022,Small intestine,All Small intestine,Age-standardised,3.3,1.8,5.6,14
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Males,2022,Small intestine,All Small intestine,Age-standardised,3.8,2.6,5.4,31
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,2.8,7.4,19
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,3.6,6.1,58
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Males,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.4,5.4,10
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Males,2022,Small intestine,All Small intestine,Age-standardised,,,,9
NHS Derby and Derbyshire Integrated Care Board,E54000058,Males,2022,Small intestine,All Small intestine,Age-standardised,4.4,2.7,6.6,23
NHS Devon Integrated Care Board,E54000037,Males,2022,Small intestine,All Small intestine,Age-standardised,3.2,2.1,4.9,23
NHS Dorset Integrated Care Board,E54000041,Males,2022,Small intestine,All Small intestine,Age-standardised,5.6,3.6,8.3,25
NHS Frimley Integrated Care Board,E54000034,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,2.6,7.8,15
NHS Gloucestershire Integrated Care Board,E54000043,Males,2022,Small intestine,All Small intestine,Age-standardised,3.8,2,6.5,13
NHS Greater Manchester Integrated Care Board,E54000057,Males,2022,Small intestine,All Small intestine,Age-standardised,3.4,2.4,4.6,41
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Males,2022,Small intestine,All Small intestine,Age-standardised,4,2.8,5.5,36
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Males,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.5,5,13
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Males,2022,Small intestine,All Small intestine,Age-standardised,4,2.6,5.9,26
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2022,Small intestine,All Small intestine,Age-standardised,3.4,2.3,4.8,32
NHS Kent and Medway Integrated Care Board,E54000032,Males,2022,Small intestine,All Small intestine,Age-standardised,4.6,3.3,6.2,41
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,3.4,6.4,41
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2022,Small intestine,All Small intestine,Age-standardised,4.5,2.9,6.8,23
NHS Lincolnshire Integrated Care Board,E54000013,Males,2022,Small intestine,All Small intestine,Age-standardised,4.5,2.7,7,19
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2022,Small intestine,All Small intestine,Age-standardised,2.8,1.6,4.6,16
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2022,Small intestine,All Small intestine,Age-standardised,5.3,3.6,7.5,32
