Geography_name,icb23cd,Main_group,Detailed_group,Gender,Year,Count,type_of_rate,Rate,UCI,LCI,ICB23CD
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E54000040,Stomach,All Stomach,Males,2022,35,Age-standardised,7.6,10.5,5.3,E54000040
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,Stomach,All Stomach,Males,2022,41,Age-standardised,10.1,13.7,7.2,E54000024
NHS Birmingham and Solihull Integrated Care Board,E54000055,Stomach,All Stomach,Males,2022,63,Age-standardised,12.8,16.4,9.8,E54000055
NHS Black Country Integrated Care Board,E54000062,Stomach,All Stomach,Males,2022,76,Age-standardised,14.7,18.4,11.5,E54000062
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,Stomach,All Stomach,Males,2022,37,Age-standardised,9.1,12.6,6.4,E54000039
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Stomach,All Stomach,Males,2022,55,Age-standardised,6.8,8.9,5.1,E54000044
NHS Cambridgeshire and Peterborough Integrated Care Board,E54000056,Stomach,All Stomach,Males,2022,31,Age-standardised,7.9,11.2,5.3,E54000056
NHS Cheshire and Merseyside Integrated Care Board,E54000008,Stomach,All Stomach,Males,2022,147,Age-standardised,12.3,14.5,10.4,E54000008
NHS Cornwall and the Isles of Scilly Integrated Care Board,E54000036,Stomach,All Stomach,Males,2022,33,Age-standardised,9.8,13.7,6.7,E54000036
NHS Coventry and Warwickshire Integrated Care Board,E54000018,Stomach,All Stomach,Males,2022,65,Age-standardised,15.6,19.9,12,E54000018
NHS Derby and Derbyshire Integrated Care Board,E54000058,Stomach,All Stomach,Males,2022,56,Age-standardised,10.4,13.6,7.9,E54000058
NHS Devon Integrated Care Board,E54000037,Stomach,All Stomach,Males,2022,66,Age-standardised,9.8,12.5,7.6,E54000037
NHS Dorset Integrated Care Board,E54000041,Stomach,All Stomach,Males,2022,51,Age-standardised,11.1,14.6,8.2,E54000041
NHS Frimley Integrated Care Board,E54000034,Stomach,All Stomach,Males,2022,25,Age-standardised,7.7,11.3,4.9,E54000034
NHS Gloucestershire Integrated Care Board,E54000043,Stomach,All Stomach,Males,2022,36,Age-standardised,10.5,14.6,7.3,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Stomach,All Stomach,Males,2022,122,Age-standardised,10.8,13,9,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Stomach,All Stomach,Males,2022,95,Age-standardised,10.2,12.5,8.3,E54000042
