SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C90,Multiple myeloma and malignant plasma cell neoplasms,81,Age-standardised,8.8,7,10.9
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C90,Multiple myeloma and malignant plasma cell neoplasms,108,Age-standardised,13.8,11.3,16.6
E38000258,NHS Birmingham and Solihull ICB - 15E,C90,Multiple myeloma and malignant plasma cell neoplasms,105,Age-standardised,10.3,8.4,12.5
E38000259,NHS Black Country ICB - D2P2L,C90,Multiple myeloma and malignant plasma cell neoplasms,73,Age-standardised,6.8,5.3,8.5
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C90,Multiple myeloma and malignant plasma cell neoplasms,88,Age-standardised,10.4,8.4,12.9
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C90,Multiple myeloma and malignant plasma cell neoplasms,62,Age-standardised,9.7,7.4,12.4
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C90,Multiple myeloma and malignant plasma cell neoplasms,46,Age-standardised,8.7,6.4,11.6
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C90,Multiple myeloma and malignant plasma cell neoplasms,51,Age-standardised,12.1,9,15.9
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C90,Multiple myeloma and malignant plasma cell neoplasms,90,Age-standardised,11.2,9,13.7
E38000068,NHS Cheshire and Merseyside ICB - 01F,C90,Multiple myeloma and malignant plasma cell neoplasms,9,Age-standardised,,,
E38000091,NHS Cheshire and Merseyside ICB - 01J,C90,Multiple myeloma and malignant plasma cell neoplasms,8,Age-standardised,,,
E38000161,NHS Cheshire and Merseyside ICB - 01T,C90,Multiple myeloma and malignant plasma cell neoplasms,12,Age-standardised,7.1,3.7,12.5
E38000170,NHS Cheshire and Merseyside ICB - 01V,C90,Multiple myeloma and malignant plasma cell neoplasms,12,Age-standardised,7.7,3.9,13.6
E38000172,NHS Cheshire and Merseyside ICB - 01X,C90,Multiple myeloma and malignant plasma cell neoplasms,9,Age-standardised,,,
E38000194,NHS Cheshire and Merseyside ICB - 02E,C90,Multiple myeloma and malignant plasma cell neoplasms,14,Age-standardised,6.9,3.7,11.5
E38000208,NHS Cheshire and Merseyside ICB - 12F,C90,Multiple myeloma and malignant plasma cell neoplasms,27,Age-standardised,7.6,5,11.1
E38000233,NHS Cheshire and Merseyside ICB - 27D,C90,Multiple myeloma and malignant plasma cell neoplasms,60,Age-standardised,7.5,5.7,9.6
E38000101,NHS Cheshire and Merseyside ICB - 99A,C90,Multiple myeloma and malignant plasma cell neoplasms,32,Age-standardised,8.2,5.6,11.6
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C90,Multiple myeloma and malignant plasma cell neoplasms,74,Age-standardised,10.8,8.5,13.6
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C90,Multiple myeloma and malignant plasma cell neoplasms,85,Age-standardised,9.8,7.8,12.1
E38000261,NHS Derby and Derbyshire ICB - 15M,C90,Multiple myeloma and malignant plasma cell neoplasms,101,Age-standardised,9.2,7.5,11.2
E38000230,NHS Devon ICB - 15N,C90,Multiple myeloma and malignant plasma cell neoplasms,96,Age-standardised,6.7,5.5,8.2
E38000045,NHS Dorset ICB - 11J,C90,Multiple myeloma and malignant plasma cell neoplasms,94,Age-standardised,9.8,7.9,12.1
E38000252,NHS Frimley ICB - D4U1Y,C90,Multiple myeloma and malignant plasma cell neoplasms,66,Age-standardised,10.4,8.1,13.3
E38000062,NHS Gloucestershire ICB - 11M,C90,Multiple myeloma and malignant plasma cell neoplasms,74,Age-standardised,10.8,8.5,13.6
E38000016,NHS Greater Manchester ICB - 00T,C90,Multiple myeloma and malignant plasma cell neoplasms,13,Age-standardised,5.1,2.7,8.7
E38000024,NHS Greater Manchester ICB - 00V,C90,Multiple myeloma and malignant plasma cell neoplasms,15,Age-standardised,8.4,4.7,13.9
E38000135,NHS Greater Manchester ICB - 00Y,C90,Multiple myeloma and malignant plasma cell neoplasms,14,Age-standardised,7,3.8,11.8
E38000080,NHS Greater Manchester ICB - 01D,C90,Multiple myeloma and malignant plasma cell neoplasms,15,Age-standardised,7.9,4.4,13.1
E38000143,NHS Greater Manchester ICB - 01G,C90,Multiple myeloma and malignant plasma cell neoplasms,12,Age-standardised,6,3.1,10.5
E38000174,NHS Greater Manchester ICB - 01W,C90,Multiple myeloma and malignant plasma cell neoplasms,23,Age-standardised,7.7,4.8,11.5
E38000263,NHS Greater Manchester ICB - 01Y,C90,Multiple myeloma and malignant plasma cell neoplasms,12,Age-standardised,5.7,2.9,9.9
E38000187,NHS Greater Manchester ICB - 02A,C90,Multiple myeloma and malignant plasma cell neoplasms,15,Age-standardised,6.7,3.7,11.1
E38000205,NHS Greater Manchester ICB - 02H,C90,Multiple myeloma and malignant plasma cell neoplasms,31,Age-standardised,10,6.8,14.2
E38000217,NHS Greater Manchester ICB - 14L,C90,Multiple myeloma and malignant plasma cell neoplasms,22,Age-standardised,7.8,4.9,11.9
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C90,Multiple myeloma and malignant plasma cell neoplasms,14,Age-standardised,8.9,4.8,14.9
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C90,Multiple myeloma and malignant plasma cell neoplasms,190,Age-standardised,11,9.5,12.7
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C90,Multiple myeloma and malignant plasma cell neoplasms,108,Age-standardised,12.1,9.9,14.6
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C90,Multiple myeloma and malignant plasma cell neoplasms,49,Age-standardised,9.3,6.9,12.3
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C90,Multiple myeloma and malignant plasma cell neoplasms,63,Age-standardised,11.9,9.2,15.3
