SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,12.1,10,14.5,116
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,10.4,8.3,12.8,85
E38000258,NHS Birmingham and Solihull ICB - 15E,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,11.2,9.2,13.4,117
E38000259,NHS Black Country ICB - D2P2L,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,7.3,5.8,9.1,80
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,11.3,9.2,13.8,98
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,11.8,9.3,14.8,78
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,8,5.8,10.7,44
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,9.9,7.2,13.3,44
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,9.7,7.7,12.1,82
E38000068,NHS Cheshire and Merseyside ICB - 01F,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,,,,9
E38000091,NHS Cheshire and Merseyside ICB - 01J,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,,,,0
E38000161,NHS Cheshire and Merseyside ICB - 01T,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,5.6,2.7,10.3,10
E38000170,NHS Cheshire and Merseyside ICB - 01V,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,,,,8
E38000172,NHS Cheshire and Merseyside ICB - 01X,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,6.8,3.6,11.7,13
E38000194,NHS Cheshire and Merseyside ICB - 02E,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,6.2,3.3,10.6,13
E38000208,NHS Cheshire and Merseyside ICB - 12F,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,7,4.5,10.3,25
E38000233,NHS Cheshire and Merseyside ICB - 27D,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,7.5,5.8,9.6,63
E38000101,NHS Cheshire and Merseyside ICB - 99A,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,10.6,7.6,14.4,42
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,8.4,6.4,10.9,61
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,8.8,7,11,78
E38000261,NHS Derby and Derbyshire ICB - 15M,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,11,9.1,13.1,124
E38000230,NHS Devon ICB - 15N,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,6.9,5.6,8.4,100
E38000045,NHS Dorset ICB - 11J,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,9.3,7.5,11.4,94
E38000252,NHS Frimley ICB - D4U1Y,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,9.3,7.1,12,61
E38000062,NHS Gloucestershire ICB - 11M,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,9.2,7.1,11.8,66
E38000016,NHS Greater Manchester ICB - 00T,C90,Multiple myeloma and malignant plasma cell neoplasms,Age-standardised,6.2,3.5,10,16
