SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C15,Malignant neoplasm of oesophagus,105,Age-standardised,11.5,9.4,13.9,13.9
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C15,Malignant neoplasm of oesophagus,115,Age-standardised,14.6,12.1,17.6,17.6
E38000258,NHS Birmingham and Solihull ICB - 15E,C15,Malignant neoplasm of oesophagus,175,Age-standardised,17.1,14.7,19.9,19.9
E38000259,NHS Black Country ICB - D2P2L,C15,Malignant neoplasm of oesophagus,200,Age-standardised,18.5,16,21.2,21.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C15,Malignant neoplasm of oesophagus,128,Age-standardised,15.1,12.6,18,18
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C15,Malignant neoplasm of oesophagus,98,Age-standardised,15.4,12.5,18.8,18.8
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C15,Malignant neoplasm of oesophagus,57,Age-standardised,10.7,8.1,13.8,13.8
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C15,Malignant neoplasm of oesophagus,54,Age-standardised,12.9,9.7,16.9,16.9
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C15,Malignant neoplasm of oesophagus,117,Age-standardised,14.6,12.1,17.5,17.5
E38000068,NHS Cheshire and Merseyside ICB - 01F,C15,Malignant neoplasm of oesophagus,25,Age-standardised,21.1,13.6,31.2,31.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C15,Malignant neoplasm of oesophagus,35,Age-standardised,24.7,17.2,34.4,34.4
E38000161,NHS Cheshire and Merseyside ICB - 01T,C15,Malignant neoplasm of oesophagus,20,Age-standardised,12,7.3,18.5,18.5
E38000170,NHS Cheshire and Merseyside ICB - 01V,C15,Malignant neoplasm of oesophagus,22,Age-standardised,13,8.1,19.8,19.8
E38000172,NHS Cheshire and Merseyside ICB - 01X,C15,Malignant neoplasm of oesophagus,38,Age-standardised,20.5,14.5,28.2,28.2
E38000194,NHS Cheshire and Merseyside ICB - 02E,C15,Malignant neoplasm of oesophagus,34,Age-standardised,16.7,11.5,23.3,23.3
E38000208,NHS Cheshire and Merseyside ICB - 12F,C15,Malignant neoplasm of oesophagus,68,Age-standardised,19.6,15.2,24.9,24.9
E38000233,NHS Cheshire and Merseyside ICB - 27D,C15,Malignant neoplasm of oesophagus,132,Age-standardised,16.6,13.9,19.7,19.7
E38000101,NHS Cheshire and Merseyside ICB - 99A,C15,Malignant neoplasm of oesophagus,72,Age-standardised,18.5,14.4,23.3,23.3
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C15,Malignant neoplasm of oesophagus,91,Age-standardised,13.1,10.5,16.1,16.1
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C15,Malignant neoplasm of oesophagus,147,Age-standardised,17,14.4,20,20
E38000261,NHS Derby and Derbyshire ICB - 15M,C15,Malignant neoplasm of oesophagus,182,Age-standardised,16.7,14.4,19.4,19.4
E38000230,NHS Devon ICB - 15N,C15,Malignant neoplasm of oesophagus,191,Age-standardised,13.6,11.7,15.7,15.7
E38000045,NHS Dorset ICB - 11J,C15,Malignant neoplasm of oesophagus,141,Age-standardised,14.8,12.4,17.4,17.4
E38000252,NHS Frimley ICB - D4U1Y,C15,Malignant neoplasm of oesophagus,75,Age-standardised,11.9,9.3,14.9,14.9
E38000062,NHS Gloucestershire ICB - 11M,C15,Malignant neoplasm of oesophagus,89,Age-standardised,13,10.4,16,16
