SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C15,Malignant neoplasm of oesophagus,Age-standardised,10.2,8.2,12.4,97
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C15,Malignant neoplasm of oesophagus,Age-standardised,12.5,10.2,15.2,101
E38000258,NHS Birmingham and Solihull ICB - 15E,C15,Malignant neoplasm of oesophagus,Age-standardised,11.9,9.9,14.2,126
E38000259,NHS Black Country ICB - D2P2L,C15,Malignant neoplasm of oesophagus,Age-standardised,16.8,14.5,19.4,184
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C15,Malignant neoplasm of oesophagus,Age-standardised,14.2,11.8,17,123
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C15,Malignant neoplasm of oesophagus,Age-standardised,12.1,9.6,15.1,80
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C15,Malignant neoplasm of oesophagus,Age-standardised,10.3,7.8,13.4,57
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C15,Malignant neoplasm of oesophagus,Age-standardised,14.4,11.1,18.4,63
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C15,Malignant neoplasm of oesophagus,Age-standardised,11.8,9.6,14.4,99
E38000068,NHS Cheshire and Merseyside ICB - 01F,C15,Malignant neoplasm of oesophagus,Age-standardised,16.9,10.4,25.9,21
E38000091,NHS Cheshire and Merseyside ICB - 01J,C15,Malignant neoplasm of oesophagus,Age-standardised,17.4,11.3,25.5,26
E38000161,NHS Cheshire and Merseyside ICB - 01T,C15,Malignant neoplasm of oesophagus,Age-standardised,19.4,13.3,27.3,33
E38000170,NHS Cheshire and Merseyside ICB - 01V,C15,Malignant neoplasm of oesophagus,Age-standardised,13.7,8.5,20.8,22
E38000172,NHS Cheshire and Merseyside ICB - 01X,C15,Malignant neoplasm of oesophagus,Age-standardised,14.6,9.7,21.1,28
E38000194,NHS Cheshire and Merseyside ICB - 02E,C15,Malignant neoplasm of oesophagus,Age-standardised,15.8,10.8,22.1,33
E38000208,NHS Cheshire and Merseyside ICB - 12F,C15,Malignant neoplasm of oesophagus,Age-standardised,18.5,14.4,23.6,67
E38000233,NHS Cheshire and Merseyside ICB - 27D,C15,Malignant neoplasm of oesophagus,Age-standardised,13.5,11.1,16.3,113
