SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,118,Age-standardised,24.4,20.2,29.2
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,100,Age-standardised,23.3,19,28.4
E38000258,NHS Birmingham and Solihull ICB - 15E,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,124,Age-standardised,21.7,18,25.9
E38000259,NHS Black Country ICB - D2P2L,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,132,Age-standardised,22.9,19.1,27.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,100,Age-standardised,22,17.9,26.7
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,69,Age-standardised,20.9,16.3,26.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,54,Age-standardised,19.2,14.4,25.1
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,62,Age-standardised,26.5,20.3,34
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,95,Age-standardised,22.3,18.1,27.3
E38000068,NHS Cheshire and Merseyside ICB - 01F,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,19,Age-standardised,28.3,17,44.3
E38000091,NHS Cheshire and Merseyside ICB - 01J,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,11,Age-standardised,15.2,7.5,27.3
E38000161,NHS Cheshire and Merseyside ICB - 01T,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,22,Age-standardised,24.2,15.1,36.8
E38000170,NHS Cheshire and Merseyside ICB - 01V,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,16,Age-standardised,20.8,11.6,34.1
E38000172,NHS Cheshire and Merseyside ICB - 01X,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,23,Age-standardised,23.5,14.9,35.3
E38000194,NHS Cheshire and Merseyside ICB - 02E,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,26,Age-standardised,24.6,16.1,36.1
E38000208,NHS Cheshire and Merseyside ICB - 12F,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,45,Age-standardised,24.9,18.1,33.4
E38000233,NHS Cheshire and Merseyside ICB - 27D,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,90,Age-standardised,22.4,18,27.6
E38000101,NHS Cheshire and Merseyside ICB - 99A,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,53,Age-standardised,24,17.9,31.4
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,90,Age-standardised,26.4,21.2,32.6
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,97,Age-standardised,21.3,17.2,26
E38000261,NHS Derby and Derbyshire ICB - 15M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,125,Age-standardised,22.2,18.4,26.4
E38000230,NHS Devon ICB - 15N,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,153,Age-standardised,21.8,18.4,25.6
E38000045,NHS Dorset ICB - 11J,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,110,Age-standardised,23.9,19.5,28.9
E38000252,NHS Frimley ICB - D4U1Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,88,Age-standardised,26,20.8,32
E38000062,NHS Gloucestershire ICB - 11M,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,81,Age-standardised,22.5,17.8,28
E38000016,NHS Greater Manchester ICB - 00T,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,29,Age-standardised,21.2,14.2,30.5
E38000024,NHS Greater Manchester ICB - 00V,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,25.4,16.3,37.9
E38000135,NHS Greater Manchester ICB - 00Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,19,Age-standardised,16.9,10.1,26.3
E38000080,NHS Greater Manchester ICB - 01D,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,24,Age-standardised,23.2,14.8,34.5
E38000143,NHS Greater Manchester ICB - 01G,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,33,Age-standardised,30.8,21.1,43.4
E38000174,NHS Greater Manchester ICB - 01W,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,36,Age-standardised,23.2,16.2,32.2
E38000263,NHS Greater Manchester ICB - 01Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,25,Age-standardised,22.9,14.8,33.9
E38000187,NHS Greater Manchester ICB - 02A,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,27,Age-standardised,22.2,14.6,32.4
E38000205,NHS Greater Manchester ICB - 02H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,38,Age-standardised,22.8,16.1,31.3
E38000217,NHS Greater Manchester ICB - 14L,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,41,Age-standardised,23.1,16.4,31.7
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,22,Age-standardised,24.1,15,36.6
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,206,Age-standardised,23.2,20.1,26.6
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,102,Age-standardised,22.7,18.5,27.7
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,52,Age-standardised,18.8,14,24.7
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,67,Age-standardised,23.1,17.8,29.3
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,36,Age-standardised,22.4,15.7,31.1
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,44,Age-standardised,22.4,16.1,30.3
E38000085,NHS Humber and North Yorkshire ICB - 03F,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,31,Age-standardised,26.6,18,37.9
E38000119,NHS Humber and North Yorkshire ICB - 03H,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,14,Age-standardised,16.3,8.9,27.4
