SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C25,Malignant neoplasm of pancreas,169,Age-standardised,18.4,15.7,21.4
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C25,Malignant neoplasm of pancreas,129,Age-standardised,16.5,13.8,19.6
E38000258,NHS Birmingham and Solihull ICB - 15E,C25,Malignant neoplasm of pancreas,170,Age-standardised,16.2,13.9,18.9
E38000259,NHS Black Country ICB - D2P2L,C25,Malignant neoplasm of pancreas,170,Age-standardised,15.7,13.4,18.2
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C25,Malignant neoplasm of pancreas,175,Age-standardised,20.6,17.6,23.9
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C25,Malignant neoplasm of pancreas,83,Age-standardised,13,10.4,16.2
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C25,Malignant neoplasm of pancreas,71,Age-standardised,13.1,10.2,16.5
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C25,Malignant neoplasm of pancreas,69,Age-standardised,16.3,12.7,20.6
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C25,Malignant neoplasm of pancreas,132,Age-standardised,16.2,13.6,19.2
E38000068,NHS Cheshire and Merseyside ICB - 01F,C25,Malignant neoplasm of pancreas,20,Age-standardised,16.6,10.1,25.7
E38000091,NHS Cheshire and Merseyside ICB - 01J,C25,Malignant neoplasm of pancreas,32,Age-standardised,23.2,15.8,32.8
E38000161,NHS Cheshire and Merseyside ICB - 01T,C25,Malignant neoplasm of pancreas,27,Age-standardised,15.9,10.5,23.1
E38000170,NHS Cheshire and Merseyside ICB - 01V,C25,Malignant neoplasm of pancreas,21,Age-standardised,14,8.6,21.5
E38000172,NHS Cheshire and Merseyside ICB - 01X,C25,Malignant neoplasm of pancreas,18,Age-standardised,9.6,5.7,15.2
E38000194,NHS Cheshire and Merseyside ICB - 02E,C25,Malignant neoplasm of pancreas,43,Age-standardised,21.5,15.5,28.9
E38000208,NHS Cheshire and Merseyside ICB - 12F,C25,Malignant neoplasm of pancreas,66,Age-standardised,18.6,14.4,23.7
