SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C25,Malignant neoplasm of pancreas,148,Age-standardised,13.2,18.4,15.7
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C25,Malignant neoplasm of pancreas,106,Age-standardised,10.8,16,13.2
E38000258,NHS Birmingham and Solihull ICB - 15E,C25,Malignant neoplasm of pancreas,187,Age-standardised,15.4,20.6,17.9
E38000259,NHS Black Country ICB - D2P2L,C25,Malignant neoplasm of pancreas,210,Age-standardised,16.6,21.9,19.1
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C25,Malignant neoplasm of pancreas,128,Age-standardised,12.3,17.6,14.8
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C25,Malignant neoplasm of pancreas,100,Age-standardised,12.5,18.6,15.3
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C25,Malignant neoplasm of pancreas,99,Age-standardised,14.9,22.3,18.3
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C25,Malignant neoplasm of pancreas,61,Age-standardised,10.7,17.9,14
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C25,Malignant neoplasm of pancreas,145,Age-standardised,14.7,20.5,17.5
E38000068,NHS Cheshire and Merseyside ICB - 01F,C25,Malignant neoplasm of pancreas,16,Age-standardised,7.5,21.5,13.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C25,Malignant neoplasm of pancreas,26,Age-standardised,12.1,27.3,18.6
E38000161,NHS Cheshire and Merseyside ICB - 01T,C25,Malignant neoplasm of pancreas,26,Age-standardised,10,22.4,15.3
E38000170,NHS Cheshire and Merseyside ICB - 01V,C25,Malignant neoplasm of pancreas,25,Age-standardised,10.3,23.7,16
E38000172,NHS Cheshire and Merseyside ICB - 01X,C25,Malignant neoplasm of pancreas,36,Age-standardised,13.2,26.1,18.9
E38000194,NHS Cheshire and Merseyside ICB - 02E,C25,Malignant neoplasm of pancreas,24,Age-standardised,7.5,17.3,11.7
E38000208,NHS Cheshire and Merseyside ICB - 12F,C25,Malignant neoplasm of pancreas,65,Age-standardised,14,23.1,18.1
