SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C61,Malignant neoplasm of prostate,618,Age-standardised,139.1,128.4,150.5
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C61,Malignant neoplasm of prostate,584,Age-standardised,153.6,141.4,166.7
E38000258,NHS Birmingham and Solihull ICB - 15E,C61,Malignant neoplasm of prostate,556,Age-standardised,117.6,108,127.9
E38000259,NHS Black Country ICB - D2P2L,C61,Malignant neoplasm of prostate,664,Age-standardised,132.2,122.3,142.7
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C61,Malignant neoplasm of prostate,625,Age-standardised,157.1,145,170
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C61,Malignant neoplasm of prostate,453,Age-standardised,148.8,135.4,163.2
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C61,Malignant neoplasm of prostate,388,Age-standardised,153.6,138.7,169.7
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C61,Malignant neoplasm of prostate,414,Age-standardised,202.4,183.3,222.9
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C61,Malignant neoplasm of prostate,592,Age-standardised,150.9,139,163.6
E38000068,NHS Cheshire and Merseyside ICB - 01F,C61,Malignant neoplasm of prostate,69,Age-standardised,115,89.3,145.9
E38000091,NHS Cheshire and Merseyside ICB - 01J,C61,Malignant neoplasm of prostate,83,Age-standardised,127.6,101.4,158.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C61,Malignant neoplasm of prostate,97,Age-standardised,123.7,100.2,150.9
E38000170,NHS Cheshire and Merseyside ICB - 01V,C61,Malignant neoplasm of prostate,78,Age-standardised,109.7,86.7,137
E38000172,NHS Cheshire and Merseyside ICB - 01X,C61,Malignant neoplasm of prostate,119,Age-standardised,133.8,110.8,160.2
E38000194,NHS Cheshire and Merseyside ICB - 02E,C61,Malignant neoplasm of prostate,127,Age-standardised,131.9,109.9,157
E38000208,NHS Cheshire and Merseyside ICB - 12F,C61,Malignant neoplasm of prostate,235,Age-standardised,142.2,124.6,161.7
E38000233,NHS Cheshire and Merseyside ICB - 27D,C61,Malignant neoplasm of prostate,470,Age-standardised,120,109.4,131.4
E38000101,NHS Cheshire and Merseyside ICB - 99A,C61,Malignant neoplasm of prostate,230,Age-standardised,125,109.3,142.4
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C61,Malignant neoplasm of prostate,474,Age-standardised,140,127.6,153.2
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C61,Malignant neoplasm of prostate,592,Age-standardised,142.8,131.5,154.8
E38000261,NHS Derby and Derbyshire ICB - 15M,C61,Malignant neoplasm of prostate,672,Age-standardised,127.5,118.1,137.6
E38000230,NHS Devon ICB - 15N,C61,Malignant neoplasm of prostate,970,Age-standardised,142.2,133.4,151.5
E38000045,NHS Dorset ICB - 11J,C61,Malignant neoplasm of prostate,678,Age-standardised,150.1,139,161.9
E38000252,NHS Frimley ICB - D4U1Y,C61,Malignant neoplasm of prostate,442,Age-standardised,146.3,132.9,160.7
E38000062,NHS Gloucestershire ICB - 11M,C61,Malignant neoplasm of prostate,433,Age-standardised,131,119,144
E38000016,NHS Greater Manchester ICB - 00T,C61,Malignant neoplasm of prostate,182,Age-standardised,148.8,127.9,172.2
E38000024,NHS Greater Manchester ICB - 00V,C61,Malignant neoplasm of prostate,137,Age-standardised,160.8,135,190.2
E38000135,NHS Greater Manchester ICB - 00Y,C61,Malignant neoplasm of prostate,140,Age-standardised,148.9,125.1,175.8
E38000080,NHS Greater Manchester ICB - 01D,C61,Malignant neoplasm of prostate,148,Age-standardised,160.9,135.9,189.2
E38000143,NHS Greater Manchester ICB - 01G,C61,Malignant neoplasm of prostate,134,Age-standardised,142.2,118.9,168.6
E38000174,NHS Greater Manchester ICB - 01W,C61,Malignant neoplasm of prostate,197,Age-standardised,139.7,120.9,160.6
E38000263,NHS Greater Manchester ICB - 01Y,C61,Malignant neoplasm of prostate,121,Age-standardised,117.9,97.7,141.1
E38000187,NHS Greater Manchester ICB - 02A,C61,Malignant neoplasm of prostate,121,Age-standardised,121.6,100.8,145.3
E38000205,NHS Greater Manchester ICB - 02H,C61,Malignant neoplasm of prostate,156,Age-standardised,99.8,84.6,116.9
E38000217,NHS Greater Manchester ICB - 14L,C61,Malignant neoplasm of prostate,190,Age-standardised,140.4,120.7,162.4
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C61,Malignant neoplasm of prostate,88,Age-standardised,115.7,92.7,142.6
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C61,Malignant neoplasm of prostate,1255,Age-standardised,151.8,143.5,160.5
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C61,Malignant neoplasm of prostate,658,Age-standardised,150.1,138.8,162.1
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C61,Malignant neoplasm of prostate,397,Age-standardised,163.4,147.7,180.3
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C61,Malignant neoplasm of prostate,350,Age-standardised,143,128.3,158.8
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C61,Malignant neoplasm of prostate,254,Age-standardised,182.5,160.7,206.4
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C61,Malignant neoplasm of prostate,264,Age-standardised,133.2,117.6,150.3
E38000085,NHS Humber and North Yorkshire ICB - 03F,C61,Malignant neoplasm of prostate,119,Age-standardised,122.9,101.6,147.3
E38000119,NHS Humber and North Yorkshire ICB - 03H,C61,Malignant neoplasm of prostate,90,Age-standardised,114.5,92,140.7
E38000122,NHS Humber and North Yorkshire ICB - 03K,C61,Malignant neoplasm of prostate,99,Age-standardised,110.2,89.5,134.2
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C61,Malignant neoplasm of prostate,261,Age-standardised,146.2,129,165
E38000241,NHS Humber and North Yorkshire ICB - 42D,C61,Malignant neoplasm of prostate,358,Age-standardised,141,126.7,156.4
E38000237,NHS Kent and Medway ICB - 91Q,C61,Malignant neoplasm of prostate,1395,Age-standardised,158.5,150.3,167
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C61,Malignant neoplasm of prostate,63,Age-standardised,111.4,85.3,142.9
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C61,Malignant neoplasm of prostate,71,Age-standardised,101.5,79.2,128.2
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C61,Malignant neoplasm of prostate,105,Age-standardised,120.4,98.3,145.8
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C61,Malignant neoplasm of prostate,226,Age-standardised,124.9,109,142.3
