SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C43,Malignant melanoma of skin,278,Age-standardised,30.5,27,34.4
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C43,Malignant melanoma of skin,179,Age-standardised,22.3,19.2,25.9
E38000258,NHS Birmingham and Solihull ICB - 15E,C43,Malignant melanoma of skin,247,Age-standardised,22.7,20,25.8
E38000259,NHS Black Country ICB - D2P2L,C43,Malignant melanoma of skin,197,Age-standardised,17.8,15.4,20.4
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C43,Malignant melanoma of skin,258,Age-standardised,29.7,26.1,33.5
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C43,Malignant melanoma of skin,195,Age-standardised,30.8,26.6,35.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C43,Malignant melanoma of skin,164,Age-standardised,31.1,26.5,36.3
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C43,Malignant melanoma of skin,144,Age-standardised,32.2,27.2,38
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C43,Malignant melanoma of skin,188,Age-standardised,22.9,19.7,26.4
E38000068,NHS Cheshire and Merseyside ICB - 01F,C43,Malignant melanoma of skin,47,Age-standardised,38.2,28,50.8
E38000091,NHS Cheshire and Merseyside ICB - 01J,C43,Malignant melanoma of skin,51,Age-standardised,36.1,26.8,47.6
E38000161,NHS Cheshire and Merseyside ICB - 01T,C43,Malignant melanoma of skin,42,Age-standardised,25.5,18.3,34.5
E38000170,NHS Cheshire and Merseyside ICB - 01V,C43,Malignant melanoma of skin,56,Age-standardised,41,30.6,53.6
E38000172,NHS Cheshire and Merseyside ICB - 01X,C43,Malignant melanoma of skin,60,Age-standardised,32.9,25.1,42.4
E38000194,NHS Cheshire and Merseyside ICB - 02E,C43,Malignant melanoma of skin,70,Age-standardised,33.8,26.3,42.7
E38000208,NHS Cheshire and Merseyside ICB - 12F,C43,Malignant melanoma of skin,118,Age-standardised,34.7,28.7,41.6
E38000233,NHS Cheshire and Merseyside ICB - 27D,C43,Malignant melanoma of skin,259,Age-standardised,33.9,29.9,38.3
E38000101,NHS Cheshire and Merseyside ICB - 99A,C43,Malignant melanoma of skin,108,Age-standardised,25.8,21.1,31.2
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C43,Malignant melanoma of skin,229,Age-standardised,35.1,30.6,40
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C43,Malignant melanoma of skin,219,Age-standardised,25.1,21.9,28.7
E38000261,NHS Derby and Derbyshire ICB - 15M,C43,Malignant melanoma of skin,312,Age-standardised,29,25.8,32.4
E38000230,NHS Devon ICB - 15N,C43,Malignant melanoma of skin,567,Age-standardised,42.8,39.3,46.5
E38000045,NHS Dorset ICB - 11J,C43,Malignant melanoma of skin,330,Age-standardised,37,33.1,41.3
E38000252,NHS Frimley ICB - D4U1Y,C43,Malignant melanoma of skin,195,Age-standardised,29.8,25.7,34.3
E38000062,NHS Gloucestershire ICB - 11M,C43,Malignant melanoma of skin,205,Age-standardised,30.5,26.5,35
E38000016,NHS Greater Manchester ICB - 00T,C43,Malignant melanoma of skin,70,Age-standardised,26.7,20.8,33.7
E38000024,NHS Greater Manchester ICB - 00V,C43,Malignant melanoma of skin,54,Age-standardised,29.5,22.2,38.5
E38000135,NHS Greater Manchester ICB - 00Y,C43,Malignant melanoma of skin,48,Age-standardised,22.7,16.7,30.2
E38000080,NHS Greater Manchester ICB - 01D,C43,Malignant melanoma of skin,46,Age-standardised,23.4,17.1,31.2
E38000143,NHS Greater Manchester ICB - 01G,C43,Malignant melanoma of skin,53,Age-standardised,25.2,18.8,33
E38000174,NHS Greater Manchester ICB - 01W,C43,Malignant melanoma of skin,124,Age-standardised,41.9,34.9,50
