SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C43,Malignant melanoma of skin,275,Age-standardised,26.3,33.5,29.7
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C43,Malignant melanoma of skin,226,Age-standardised,23.6,30.8,27
E38000258,NHS Birmingham and Solihull ICB - 15E,C43,Malignant melanoma of skin,234,Age-standardised,18.6,24.2,21.3
E38000259,NHS Black Country ICB - D2P2L,C43,Malignant melanoma of skin,195,Age-standardised,15.3,20.3,17.7
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C43,Malignant melanoma of skin,267,Age-standardised,27.1,34.6,30.7
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C43,Malignant melanoma of skin,192,Age-standardised,25.5,34.1,29.6
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C43,Malignant melanoma of skin,161,Age-standardised,25.2,34.6,29.7
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C43,Malignant melanoma of skin,136,Age-standardised,25.6,36.2,30.6
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C43,Malignant melanoma of skin,187,Age-standardised,19.4,26,22.5
E38000068,NHS Cheshire and Merseyside ICB - 01F,C43,Malignant melanoma of skin,28,Age-standardised,14.7,32.1,22.2
E38000091,NHS Cheshire and Merseyside ICB - 01J,C43,Malignant melanoma of skin,38,Age-standardised,19.4,37.8,27.5
E38000161,NHS Cheshire and Merseyside ICB - 01T,C43,Malignant melanoma of skin,66,Age-standardised,30.6,50.4,39.6
E38000170,NHS Cheshire and Merseyside ICB - 01V,C43,Malignant melanoma of skin,67,Age-standardised,36.9,61.5,48.1
E38000172,NHS Cheshire and Merseyside ICB - 01X,C43,Malignant melanoma of skin,56,Age-standardised,23.2,39.9,30.7
E38000194,NHS Cheshire and Merseyside ICB - 02E,C43,Malignant melanoma of skin,69,Age-standardised,26,42.3,33.4
E38000208,NHS Cheshire and Merseyside ICB - 12F,C43,Malignant melanoma of skin,116,Age-standardised,27.4,39.9,33.2
E38000233,NHS Cheshire and Merseyside ICB - 27D,C43,Malignant melanoma of skin,289,Age-standardised,33.3,42.2,37.6
E38000101,NHS Cheshire and Merseyside ICB - 99A,C43,Malignant melanoma of skin,94,Age-standardised,17.7,26.9,21.9
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C43,Malignant melanoma of skin,273,Age-standardised,37,47.3,41.9
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C43,Malignant melanoma of skin,207,Age-standardised,20.3,26.9,23.4
E38000261,NHS Derby and Derbyshire ICB - 15M,C43,Malignant melanoma of skin,314,Age-standardised,25.6,32.1,28.7
E38000230,NHS Devon ICB - 15N,C43,Malignant melanoma of skin,610,Age-standardised,41.5,48.8,45
E38000045,NHS Dorset ICB - 11J,C43,Malignant melanoma of skin,283,Age-standardised,27.9,35.5,31.5
E38000252,NHS Frimley ICB - D4U1Y,C43,Malignant melanoma of skin,200,Age-standardised,25.9,34.3,29.9
E38000062,NHS Gloucestershire ICB - 11M,C43,Malignant melanoma of skin,171,Age-standardised,21.6,29.3,25.2
E38000016,NHS Greater Manchester ICB - 00T,C43,Malignant melanoma of skin,66,Age-standardised,19.5,32.1,25.2
E38000024,NHS Greater Manchester ICB - 00V,C43,Malignant melanoma of skin,66,Age-standardised,27.9,45.9,36.1
E38000135,NHS Greater Manchester ICB - 00Y,C43,Malignant melanoma of skin,56,Age-standardised,20.3,34.9,26.8
E38000080,NHS Greater Manchester ICB - 01D,C43,Malignant melanoma of skin,56,Age-standardised,20.9,36,27.7
E38000143,NHS Greater Manchester ICB - 01G,C43,Malignant melanoma of skin,60,Age-standardised,20.7,35.2,27.2
E38000174,NHS Greater Manchester ICB - 01W,C43,Malignant melanoma of skin,110,Age-standardised,30.5,44.7,37.1
E38000263,NHS Greater Manchester ICB - 01Y,C43,Malignant melanoma of skin,65,Age-standardised,23.2,38.4,30.1
E38000187,NHS Greater Manchester ICB - 02A,C43,Malignant melanoma of skin,70,Age-standardised,24.6,40,31.6
E38000205,NHS Greater Manchester ICB - 02H,C43,Malignant melanoma of skin,88,Age-standardised,21.7,33.4,27.1
E38000217,NHS Greater Manchester ICB - 14L,C43,Malignant melanoma of skin,50,Age-standardised,10.2,18.8,14.1
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C43,Malignant melanoma of skin,58,Age-standardised,25,42.7,33
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C43,Malignant melanoma of skin,612,Age-standardised,32.7,38.5,35.5
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C43,Malignant melanoma of skin,287,Age-standardised,29.5,37.4,33.3
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C43,Malignant melanoma of skin,162,Age-standardised,25.9,35.4,30.4
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C43,Malignant melanoma of skin,136,Age-standardised,20.6,29.1,24.6
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C43,Malignant melanoma of skin,93,Age-standardised,25.2,38.3,31.2
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C43,Malignant melanoma of skin,128,Age-standardised,28.6,41.1,34.4
E38000085,NHS Humber and North Yorkshire ICB - 03F,C43,Malignant melanoma of skin,43,Age-standardised,13.4,25,18.5
E38000119,NHS Humber and North Yorkshire ICB - 03H,C43,Malignant melanoma of skin,41,Age-standardised,17.9,33.8,24.9
E38000122,NHS Humber and North Yorkshire ICB - 03K,C43,Malignant melanoma of skin,43,Age-standardised,17.3,32.2,23.9
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C43,Malignant melanoma of skin,96,Age-standardised,20.9,31.5,25.8
E38000241,NHS Humber and North Yorkshire ICB - 42D,C43,Malignant melanoma of skin,131,Age-standardised,22.6,32.2,27.1
E38000237,NHS Kent and Medway ICB - 91Q,C43,Malignant melanoma of skin,509,Age-standardised,25.1,29.9,27.4
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C43,Malignant melanoma of skin,26,Age-standardised,13.2,29.9,20.3
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C43,Malignant melanoma of skin,33,Age-standardised,15.8,32.3,23
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C43,Malignant melanoma of skin,64,Age-standardised,27.2,45.1,35.3
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C43,Malignant melanoma of skin,92,Age-standardised,19.7,30,24.5
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C43,Malignant melanoma of skin,69,Age-standardised,28.3,46,36.3
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C43,Malignant melanoma of skin,129,Age-standardised,29.4,42,35.3
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C43,Malignant melanoma of skin,52,Age-standardised,33.1,58.4,44.4
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C43,Malignant melanoma of skin,96,Age-standardised,32.5,49.7,40.5
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C43,Malignant melanoma of skin,107,Age-standardised,24,35.4,29.3
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C43,Malignant melanoma of skin,27,Age-standardised,6.5,14.7,10
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C43,Malignant melanoma of skin,126,Age-standardised,26,37.2,31.3
E38000238,NHS Lincolnshire ICB - 71E,C43,Malignant melanoma of skin,201,Age-standardised,20.8,27.6,24
E38000106,NHS Mid and South Essex ICB - 06Q,C43,Malignant melanoma of skin,121,Age-standardised,24.6,35.5,29.7
E38000185,NHS Mid and South Essex ICB - 07G,C43,Malignant melanoma of skin,33,Age-standardised,16.1,33.3,23.6
E38000007,NHS Mid and South Essex ICB - 99E,C43,Malignant melanoma of skin,87,Age-standardised,27,41.7,33.8
E38000030,NHS Mid and South Essex ICB - 99F,C43,Malignant melanoma of skin,77,Age-standardised,30.3,48.3,38.5
E38000168,NHS Mid and South Essex ICB - 99G,C43,Malignant melanoma of skin,54,Age-standardised,22,38.3,29.3
E38000239,NHS Norfolk and Waveney ICB - 26A,C43,Malignant melanoma of skin,318,Age-standardised,24.6,30.8,27.6
E38000240,NHS North Central London ICB - 93C,C43,Malignant melanoma of skin,189,Age-standardised,13.7,18.5,16
E38000130,NHS North East and North Cumbria ICB - 00L,C43,Malignant melanoma of skin,158,Age-standardised,36.6,50.6,43.2
E38000163,NHS North East and North Cumbria ICB - 00N,C43,Malignant melanoma of skin,45,Age-standardised,21.2,38.9,29
E38000176,NHS North East and North Cumbria ICB - 00P,C43,Malignant melanoma of skin,116,Age-standardised,34.4,49.9,41.6
E38000215,NHS North East and North Cumbria ICB - 01H,C43,Malignant melanoma of skin,126,Age-standardised,29.7,42.7,35.8
