SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C43,Malignant melanoma of skin,Age-standardised,30,26.6,33.7,283
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C43,Malignant melanoma of skin,Age-standardised,18.3,15.5,21.4,156
E38000258,NHS Birmingham and Solihull ICB - 15E,C43,Malignant melanoma of skin,Age-standardised,17.2,14.8,19.9,186
E38000259,NHS Black Country ICB - D2P2L,C43,Malignant melanoma of skin,Age-standardised,15.8,13.5,18.3,175
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C43,Malignant melanoma of skin,Age-standardised,25.6,22.4,29.2,228
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C43,Malignant melanoma of skin,Age-standardised,23.4,19.9,27.4,155
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C43,Malignant melanoma of skin,Age-standardised,30.4,26,35.4,167
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C43,Malignant melanoma of skin,Age-standardised,21.6,17.5,26.3,98
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C43,Malignant melanoma of skin,Age-standardised,18.9,16.1,22.1,160
E38000068,NHS Cheshire and Merseyside ICB - 01F,C43,Malignant melanoma of skin,Age-standardised,28.7,20.1,39.7,36
E38000091,NHS Cheshire and Merseyside ICB - 01J,C43,Malignant melanoma of skin,Age-standardised,21.8,14.8,31,31
E38000161,NHS Cheshire and Merseyside ICB - 01T,C43,Malignant melanoma of skin,Age-standardised,32.7,24.6,42.6,55
E38000170,NHS Cheshire and Merseyside ICB - 01V,C43,Malignant melanoma of skin,Age-standardised,45,33.9,58.5,59
E38000172,NHS Cheshire and Merseyside ICB - 01X,C43,Malignant melanoma of skin,Age-standardised,31.5,23.9,40.8,58
E38000194,NHS Cheshire and Merseyside ICB - 02E,C43,Malignant melanoma of skin,Age-standardised,28.5,21.7,36.7,60
E38000208,NHS Cheshire and Merseyside ICB - 12F,C43,Malignant melanoma of skin,Age-standardised,24.7,19.7,30.6,85
E38000233,NHS Cheshire and Merseyside ICB - 27D,C43,Malignant melanoma of skin,Age-standardised,27.1,23.6,31,215
E38000101,NHS Cheshire and Merseyside ICB - 99A,C43,Malignant melanoma of skin,Age-standardised,20.8,16.7,25.7,89
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C43,Malignant melanoma of skin,Age-standardised,36.6,32.1,41.6,244
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C43,Malignant melanoma of skin,Age-standardised,18.6,15.9,21.6,168
E38000261,NHS Derby and Derbyshire ICB - 15M,C43,Malignant melanoma of skin,Age-standardised,22.6,19.9,25.6,249
E38000230,NHS Devon ICB - 15N,C43,Malignant melanoma of skin,Age-standardised,31.2,28.3,34.4,431
E38000045,NHS Dorset ICB - 11J,C43,Malignant melanoma of skin,Age-standardised,26.7,23.4,30.4,243
E38000252,NHS Frimley ICB - D4U1Y,C43,Malignant melanoma of skin,Age-standardised,26.1,22.3,30.2,176
E38000062,NHS Gloucestershire ICB - 11M,C43,Malignant melanoma of skin,Age-standardised,22.1,18.7,26,152
