SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C16,Malignant neoplasm of stomach,69,Age-standardised,7.6,5.9,9.6
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C16,Malignant neoplasm of stomach,78,Age-standardised,10,7.9,12.5
E38000258,NHS Birmingham and Solihull ICB - 15E,C16,Malignant neoplasm of stomach,131,Age-standardised,12.6,10.5,15
E38000259,NHS Black Country ICB - D2P2L,C16,Malignant neoplasm of stomach,110,Age-standardised,10.2,8.4,12.3
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C16,Malignant neoplasm of stomach,73,Age-standardised,8.4,6.6,10.5
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C16,Malignant neoplasm of stomach,51,Age-standardised,7.9,5.9,10.4
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C16,Malignant neoplasm of stomach,36,Age-standardised,6.8,4.8,9.5
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C16,Malignant neoplasm of stomach,19,Age-standardised,4.5,2.7,7.1
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C16,Malignant neoplasm of stomach,88,Age-standardised,10.8,8.7,13.3
E38000068,NHS Cheshire and Merseyside ICB - 01F,C16,Malignant neoplasm of stomach,17,Age-standardised,14.5,8.4,23.3
E38000091,NHS Cheshire and Merseyside ICB - 01J,C16,Malignant neoplasm of stomach,23,Age-standardised,16.9,10.7,25.4
E38000161,NHS Cheshire and Merseyside ICB - 01T,C16,Malignant neoplasm of stomach,18,Age-standardised,10.5,6.2,16.6
E38000170,NHS Cheshire and Merseyside ICB - 01V,C16,Malignant neoplasm of stomach,9,Age-standardised,,,
E38000172,NHS Cheshire and Merseyside ICB - 01X,C16,Malignant neoplasm of stomach,29,Age-standardised,15.6,10.4,22.4
E38000194,NHS Cheshire and Merseyside ICB - 02E,C16,Malignant neoplasm of stomach,15,Age-standardised,7.4,4.2,12.3
E38000208,NHS Cheshire and Merseyside ICB - 12F,C16,Malignant neoplasm of stomach,35,Age-standardised,9.9,6.9,13.7
E38000233,NHS Cheshire and Merseyside ICB - 27D,C16,Malignant neoplasm of stomach,65,Age-standardised,8.1,6.2,10.3
E38000101,NHS Cheshire and Merseyside ICB - 99A,C16,Malignant neoplasm of stomach,61,Age-standardised,15.6,11.9,20
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C16,Malignant neoplasm of stomach,65,Age-standardised,9.4,7.2,11.9
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C16,Malignant neoplasm of stomach,75,Age-standardised,8.5,6.7,10.7
E38000261,NHS Derby and Derbyshire ICB - 15M,C16,Malignant neoplasm of stomach,107,Age-standardised,9.8,8,11.8
E38000230,NHS Devon ICB - 15N,C16,Malignant neoplasm of stomach,135,Age-standardised,9.5,7.9,11.2
E38000045,NHS Dorset ICB - 11J,C16,Malignant neoplasm of stomach,63,Age-standardised,6.5,5,8.4
E38000252,NHS Frimley ICB - D4U1Y,C16,Malignant neoplasm of stomach,37,Age-standardised,5.7,4,7.9
E38000062,NHS Gloucestershire ICB - 11M,C16,Malignant neoplasm of stomach,46,Age-standardised,6.7,4.9,8.9
E38000016,NHS Greater Manchester ICB - 00T,C16,Malignant neoplasm of stomach,33,Age-standardised,13,8.9,18.3
E38000024,NHS Greater Manchester ICB - 00V,C16,Malignant neoplasm of stomach,16,Age-standardised,8.8,5,14.3
E38000135,NHS Greater Manchester ICB - 00Y,C16,Malignant neoplasm of stomach,23,Age-standardised,11.4,7.2,17.1
E38000080,NHS Greater Manchester ICB - 01D,C16,Malignant neoplasm of stomach,24,Age-standardised,12.2,7.8,18.2
E38000143,NHS Greater Manchester ICB - 01G,C16,Malignant neoplasm of stomach,23,Age-standardised,11,6.9,16.5
E38000174,NHS Greater Manchester ICB - 01W,C16,Malignant neoplasm of stomach,22,Age-standardised,7.3,4.6,11.1
E38000263,NHS Greater Manchester ICB - 01Y,C16,Malignant neoplasm of stomach,23,Age-standardised,11.1,7,16.7
E38000187,NHS Greater Manchester ICB - 02A,C16,Malignant neoplasm of stomach,21,Age-standardised,9.5,5.8,14.5
E38000205,NHS Greater Manchester ICB - 02H,C16,Malignant neoplasm of stomach,46,Age-standardised,14.9,10.9,20
E38000217,NHS Greater Manchester ICB - 14L,C16,Malignant neoplasm of stomach,33,Age-standardised,11.5,7.8,16.2
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C16,Malignant neoplasm of stomach,15,Age-standardised,9.2,5.1,15.2
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C16,Malignant neoplasm of stomach,159,Age-standardised,9.2,7.8,10.7
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C16,Malignant neoplasm of stomach,65,Age-standardised,7.1,5.5,9.1
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C16,Malignant neoplasm of stomach,48,Age-standardised,9.1,6.7,12.1
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C16,Malignant neoplasm of stomach,54,Age-standardised,10,7.5,13.1
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C16,Malignant neoplasm of stomach,26,Age-standardised,8.4,5.5,12.4
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C16,Malignant neoplasm of stomach,50,Age-standardised,12.2,9.1,16.1
E38000085,NHS Humber and North Yorkshire ICB - 03F,C16,Malignant neoplasm of stomach,36,Age-standardised,17.5,12.2,24.2
