SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C16,Malignant neoplasm of stomach,81,Age-standardised,6.9,10.8,8.6
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C16,Malignant neoplasm of stomach,93,Age-standardised,9.3,14.2,11.6
E38000258,NHS Birmingham and Solihull ICB - 15E,C16,Malignant neoplasm of stomach,152,Age-standardised,12.2,17,14.5
E38000259,NHS Black Country ICB - D2P2L,C16,Malignant neoplasm of stomach,147,Age-standardised,11.3,15.7,13.4
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C16,Malignant neoplasm of stomach,63,Age-standardised,5.5,9.2,7.2
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C16,Malignant neoplasm of stomach,42,Age-standardised,4.6,8.7,6.5
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C16,Malignant neoplasm of stomach,44,Age-standardised,5.9,10.8,8.1
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C16,Malignant neoplasm of stomach,42,Age-standardised,6.8,12.7,9.4
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C16,Malignant neoplasm of stomach,104,Age-standardised,10.2,15.2,12.5
E38000068,NHS Cheshire and Merseyside ICB - 01F,C16,Malignant neoplasm of stomach,18,Age-standardised,8.8,23.4,14.8
E38000091,NHS Cheshire and Merseyside ICB - 01J,C16,Malignant neoplasm of stomach,25,Age-standardised,11.6,26.5,17.9
E38000161,NHS Cheshire and Merseyside ICB - 01T,C16,Malignant neoplasm of stomach,16,Age-standardised,5.2,14.7,9.1
E38000170,NHS Cheshire and Merseyside ICB - 01V,C16,Malignant neoplasm of stomach,9,Age-standardised,,,
E38000172,NHS Cheshire and Merseyside ICB - 01X,C16,Malignant neoplasm of stomach,27,Age-standardised,9.5,20.9,14.4
E38000194,NHS Cheshire and Merseyside ICB - 02E,C16,Malignant neoplasm of stomach,22,Age-standardised,6.6,16.1,10.6
E38000208,NHS Cheshire and Merseyside ICB - 12F,C16,Malignant neoplasm of stomach,37,Age-standardised,7.3,14.4,10.4
E38000233,NHS Cheshire and Merseyside ICB - 27D,C16,Malignant neoplasm of stomach,68,Age-standardised,6.3,10.3,8.2
E38000101,NHS Cheshire and Merseyside ICB - 99A,C16,Malignant neoplasm of stomach,52,Age-standardised,9.9,17.5,13.3
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C16,Malignant neoplasm of stomach,74,Age-standardised,8.3,13.3,10.6
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C16,Malignant neoplasm of stomach,87,Age-standardised,7.9,12.2,9.8
E38000261,NHS Derby and Derbyshire ICB - 15M,C16,Malignant neoplasm of stomach,113,Age-standardised,8.3,12.1,10.1
E38000230,NHS Devon ICB - 15N,C16,Malignant neoplasm of stomach,137,Age-standardised,7.9,11.1,9.4
E38000045,NHS Dorset ICB - 11J,C16,Malignant neoplasm of stomach,86,Age-standardised,7.2,11.1,9
E38000252,NHS Frimley ICB - D4U1Y,C16,Malignant neoplasm of stomach,45,Age-standardised,5,9.2,6.8
E38000062,NHS Gloucestershire ICB - 11M,C16,Malignant neoplasm of stomach,44,Age-standardised,4.5,8.4,6.3
E38000016,NHS Greater Manchester ICB - 00T,C16,Malignant neoplasm of stomach,32,Age-standardised,8.5,17.5,12.4
E38000024,NHS Greater Manchester ICB - 00V,C16,Malignant neoplasm of stomach,15,Age-standardised,4.6,13.6,8.2
E38000135,NHS Greater Manchester ICB - 00Y,C16,Malignant neoplasm of stomach,19,Age-standardised,5.6,14.6,9.3
E38000080,NHS Greater Manchester ICB - 01D,C16,Malignant neoplasm of stomach,25,Age-standardised,8.4,19.2,13
E38000143,NHS Greater Manchester ICB - 01G,C16,Malignant neoplasm of stomach,32,Age-standardised,11,22.8,16.1
E38000174,NHS Greater Manchester ICB - 01W,C16,Malignant neoplasm of stomach,33,Age-standardised,7.4,15.2,10.8
E38000263,NHS Greater Manchester ICB - 01Y,C16,Malignant neoplasm of stomach,23,Age-standardised,7,16.6,11.1
