SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",141,Age-standardised,28.7,24.1,33.9
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",147,Age-standardised,34.7,29.3,40.8
E38000258,NHS Birmingham and Solihull ICB - 15E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",199,Age-standardised,35.3,30.5,40.6
E38000259,NHS Black Country ICB - D2P2L,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",182,Age-standardised,31.9,27.4,37
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",147,Age-standardised,32.4,27.3,38.1
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",71,Age-standardised,20.9,16.3,26.4
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",72,Age-standardised,25.6,20,32.2
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",56,Age-standardised,24.7,18.6,32
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",137,Age-standardised,32.5,27.3,38.4
E38000068,NHS Cheshire and Merseyside ICB - 01F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",21,Age-standardised,31,19.2,47.4
E38000091,NHS Cheshire and Merseyside ICB - 01J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",19,Age-standardised,22.9,13.8,35.8
E38000161,NHS Cheshire and Merseyside ICB - 01T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",28,Age-standardised,30.3,20.1,43.9
E38000170,NHS Cheshire and Merseyside ICB - 01V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",12,Age-standardised,14.7,7.4,26
E38000172,NHS Cheshire and Merseyside ICB - 01X,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",41,Age-standardised,40.8,29.3,55.5
E38000194,NHS Cheshire and Merseyside ICB - 02E,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",31,Age-standardised,28.3,19.2,40.1
E38000208,NHS Cheshire and Merseyside ICB - 12F,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",54,Age-standardised,29.2,21.9,38.2
E38000233,NHS Cheshire and Merseyside ICB - 27D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",98,Age-standardised,23.3,18.9,28.4
E38000101,NHS Cheshire and Merseyside ICB - 99A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",62,Age-standardised,29,22.2,37.2
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",102,Age-standardised,27.5,22.4,33.4
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",133,Age-standardised,29.5,24.7,35
E38000261,NHS Derby and Derbyshire ICB - 15M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",169,Age-standardised,29.5,25.2,34.3
E38000230,NHS Devon ICB - 15N,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",206,Age-standardised,27.2,23.5,31.2
E38000045,NHS Dorset ICB - 11J,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",128,Age-standardised,25.5,21.2,30.4
E38000252,NHS Frimley ICB - D4U1Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",88,Age-standardised,25.3,20.3,31.3
E38000062,NHS Gloucestershire ICB - 11M,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",93,Age-standardised,25.9,20.9,31.8
E38000016,NHS Greater Manchester ICB - 00T,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",41,Age-standardised,30.2,21.6,40.9
E38000024,NHS Greater Manchester ICB - 00V,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",27,Age-standardised,27.9,18.4,40.6
E38000135,NHS Greater Manchester ICB - 00Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",30,Age-standardised,27.1,18.3,38.8
E38000080,NHS Greater Manchester ICB - 01D,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",35,Age-standardised,33.9,23.6,47.1
E38000143,NHS Greater Manchester ICB - 01G,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",38,Age-standardised,36.1,25.5,49.7
E38000174,NHS Greater Manchester ICB - 01W,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",43,Age-standardised,27.1,19.6,36.6
E38000263,NHS Greater Manchester ICB - 01Y,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",28,Age-standardised,25.5,16.9,36.8
E38000187,NHS Greater Manchester ICB - 02A,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",27,Age-standardised,22.4,14.7,32.7
