SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",C67,Malignant neoplasm of bladder,136,Age-standardised,12,17,14.3
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",C67,Malignant neoplasm of bladder,130,Age-standardised,13.7,19.5,16.4
E38000258,NHS Birmingham and Solihull ICB - 15E,C67,Malignant neoplasm of bladder,171,Age-standardised,14.1,19.2,16.5
E38000259,NHS Black Country ICB - D2P2L,C67,Malignant neoplasm of bladder,205,Age-standardised,16.1,21.3,18.6
E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",C67,Malignant neoplasm of bladder,169,Age-standardised,16.4,22.3,19.2
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",C67,Malignant neoplasm of bladder,93,Age-standardised,11.4,17.3,14.1
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",C67,Malignant neoplasm of bladder,79,Age-standardised,11.3,17.8,14.3
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",C67,Malignant neoplasm of bladder,74,Age-standardised,13.4,21.5,17.1
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,C67,Malignant neoplasm of bladder,114,Age-standardised,11.3,16.4,13.7
E38000068,NHS Cheshire and Merseyside ICB - 01F,C67,Malignant neoplasm of bladder,28,Age-standardised,15.3,33.3,23
E38000091,NHS Cheshire and Merseyside ICB - 01J,C67,Malignant neoplasm of bladder,22,Age-standardised,9.8,23.9,15.7
E38000161,NHS Cheshire and Merseyside ICB - 01T,C67,Malignant neoplasm of bladder,21,Age-standardised,7.5,18.5,12.1
E38000170,NHS Cheshire and Merseyside ICB - 01V,C67,Malignant neoplasm of bladder,34,Age-standardised,13.7,27.8,19.8
E38000172,NHS Cheshire and Merseyside ICB - 01X,C67,Malignant neoplasm of bladder,27,Age-standardised,9.5,21.1,14.5
E38000194,NHS Cheshire and Merseyside ICB - 02E,C67,Malignant neoplasm of bladder,31,Age-standardised,10.3,21.5,15.2
E38000208,NHS Cheshire and Merseyside ICB - 12F,C67,Malignant neoplasm of bladder,61,Age-standardised,13,21.9,17
E38000233,NHS Cheshire and Merseyside ICB - 27D,C67,Malignant neoplasm of bladder,142,Age-standardised,14.5,20.2,17.2
E38000101,NHS Cheshire and Merseyside ICB - 99A,C67,Malignant neoplasm of bladder,66,Age-standardised,13.1,21.6,17
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C67,Malignant neoplasm of bladder,122,Age-standardised,14.3,20.6,17.2
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C67,Malignant neoplasm of bladder,154,Age-standardised,14.7,20.3,17.3
E38000261,NHS Derby and Derbyshire ICB - 15M,C67,Malignant neoplasm of bladder,200,Age-standardised,15.4,20.5,17.8
E38000230,NHS Devon ICB - 15N,C67,Malignant neoplasm of bladder,255,Age-standardised,15.1,19.4,17.1
E38000045,NHS Dorset ICB - 11J,C67,Malignant neoplasm of bladder,161,Age-standardised,13.5,18.6,15.9
E38000252,NHS Frimley ICB - D4U1Y,C67,Malignant neoplasm of bladder,83,Age-standardised,10.3,16.1,13
E38000062,NHS Gloucestershire ICB - 11M,C67,Malignant neoplasm of bladder,104,Age-standardised,11.9,17.6,14.6
E38000016,NHS Greater Manchester ICB - 00T,C67,Malignant neoplasm of bladder,33,Age-standardised,8.8,18,12.8
E38000024,NHS Greater Manchester ICB - 00V,C67,Malignant neoplasm of bladder,26,Age-standardised,9.3,21,14.3
E38000135,NHS Greater Manchester ICB - 00Y,C67,Malignant neoplasm of bladder,39,Age-standardised,13.8,26.6,19.5
E38000080,NHS Greater Manchester ICB - 01D,C67,Malignant neoplasm of bladder,38,Age-standardised,14.1,27.5,20
E38000143,NHS Greater Manchester ICB - 01G,C67,Malignant neoplasm of bladder,36,Age-standardised,12.8,25.4,18.3
E38000174,NHS Greater Manchester ICB - 01W,C67,Malignant neoplasm of bladder,67,Age-standardised,16.8,27.5,21.6
E38000263,NHS Greater Manchester ICB - 01Y,C67,Malignant neoplasm of bladder,41,Age-standardised,14.2,27,19.9
E38000187,NHS Greater Manchester ICB - 02A,C67,Malignant neoplasm of bladder,44,Age-standardised,14.5,26.8,19.9
E38000205,NHS Greater Manchester ICB - 02H,C67,Malignant neoplasm of bladder,45,Age-standardised,10.4,19,14.2
E38000217,NHS Greater Manchester ICB - 14L,C67,Malignant neoplasm of bladder,36,Age-standardised,8.9,17.8,12.8
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C67,Malignant neoplasm of bladder,22,Age-standardised,8.3,20.2,13.3
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C67,Malignant neoplasm of bladder,306,Age-standardised,15.1,19,17
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C67,Malignant neoplasm of bladder,155,Age-standardised,14.1,19.4,16.6
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C67,Malignant neoplasm of bladder,97,Age-standardised,14.7,22.2,18.2
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C67,Malignant neoplasm of bladder,88,Age-standardised,12.7,19.6,15.9
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C67,Malignant neoplasm of bladder,43,Age-standardised,10.2,19,14.1
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C67,Malignant neoplasm of bladder,87,Age-standardised,16.5,25.4,20.6
E38000085,NHS Humber and North Yorkshire ICB - 03F,C67,Malignant neoplasm of bladder,43,Age-standardised,15,28,20.7
E38000119,NHS Humber and North Yorkshire ICB - 03H,C67,Malignant neoplasm of bladder,29,Age-standardised,11.3,24.3,16.9
E38000122,NHS Humber and North Yorkshire ICB - 03K,C67,Malignant neoplasm of bladder,42,Age-standardised,16.3,30.6,22.6
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C67,Malignant neoplasm of bladder,67,Age-standardised,13.4,22,17.3
E38000241,NHS Humber and North Yorkshire ICB - 42D,C67,Malignant neoplasm of bladder,105,Age-standardised,15.7,23.2,19.2
E38000237,NHS Kent and Medway ICB - 91Q,C67,Malignant neoplasm of bladder,355,Age-standardised,16.9,20.8,18.8
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C67,Malignant neoplasm of bladder,22,Age-standardised,11.9,28.8,19
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C67,Malignant neoplasm of bladder,35,Age-standardised,16.6,33.2,23.8
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C67,Malignant neoplasm of bladder,29,Age-standardised,10.9,23.4,16.3
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C67,Malignant neoplasm of bladder,80,Age-standardised,16.7,26.2,21.1
